filename,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Archbishop,11,12,89,19,7,19,10,3,43,34,31,23,13,18,7,17,43,17,2,22,26,35,59,5,9,0,15,47,42,5,56,4,3,23,12,21,5,22,0
1H4_Bardolph,18,12,50,16,5,20,10,1,33,17,20,11,11,13,3,4,26,17,6,11,24,27,44,3,8,0,7,31,37,5,38,2,1,22,8,19,14,16,0
1H4_Bedford,5,6,11,6,1,8,3,1,13,7,5,4,6,4,3,5,11,11,1,6,10,8,7,2,0,0,0,9,12,1,16,1,0,5,3,7,2,5,0
1H4_Blunt,20,30,89,19,8,18,15,10,59,36,33,21,16,17,11,20,47,31,5,19,36,27,61,10,7,1,17,45,57,8,66,6,5,23,16,16,13,18,0
1H4_Chamberlain,8,20,38,13,3,12,7,1,20,16,9,8,10,11,4,14,22,11,1,12,23,13,34,5,9,0,5,23,10,1,33,7,2,9,8,13,4,10,0
1H4_DRAWERS.Francis,2,5,10,8,2,10,5,1,14,2,2,6,1,3,1,3,8,5,0,3,14,7,12,1,3,0,1,10,11,1,11,0,3,6,1,3,2,3,0
1H4_Douglas,23,28,89,20,18,33,20,3,50,55,28,18,11,17,8,23,70,30,3,31,44,32,67,15,20,0,11,54,38,4,72,10,2,11,21,26,8,26,1
1H4_Falstaff,330,602,1321,307,213,545,317,67,726,592,425,310,255,363,181,356,777,523,47,379,669,547,1132,137,226,14,252,709,548,95,1072,108,106,306,346,352,133,394,2
1H4_Gadshill,15,41,83,16,12,19,14,7,36,49,24,28,28,18,10,21,47,31,3,39,36,39,77,14,17,1,15,46,43,8,62,3,4,24,16,20,7,24,0
1H4_Glendower,34,54,170,44,13,52,28,9,92,57,46,43,33,29,17,41,89,73,4,48,81,68,139,22,17,0,36,89,68,30,110,13,7,42,41,45,31,58,1
1H4_HenryIV,139,205,770,153,102,178,145,70,446,271,263,198,105,151,65,186,422,302,34,168,374,251,641,38,102,10,136,397,414,65,524,39,35,170,177,192,76,265,4
1H4_HenryV,255,413,1160,268,196,395,242,58,637,542,419,263,201,289,134,256,665,429,61,307,598,436,890,108,183,12,207,647,633,91,851,81,64,214,257,327,117,297,1
1H4_Hotspur,263,326,1175,256,132,362,220,63,680,431,407,328,223,239,113,331,730,425,54,358,581,496,974,125,193,9,211,598,572,93,890,80,77,244,269,322,109,378,3
1H4_LadyPercy,24,30,106,24,12,48,25,7,51,48,39,21,15,26,13,27,58,50,5,21,56,40,101,7,17,0,15,57,67,4,93,13,5,30,27,28,20,32,2
1H4_MESSENGERS.1,1,0,0,2,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,1,0
1H4_MESSENGERS.2,1,0,3,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,2,1,2,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0
1H4_MESSENGERS.X,5,2,10,6,0,9,2,2,10,4,6,4,1,6,1,7,9,6,0,4,5,10,6,0,0,0,1,12,4,1,7,1,0,0,2,1,1,12,0
1H4_MistressQuickly,26,33,75,32,20,50,14,3,59,34,23,23,16,12,5,41,39,38,11,23,37,47,85,11,30,2,13,46,54,4,48,15,10,29,20,20,21,28,0
1H4_Mortimer,28,46,134,26,14,47,23,11,75,49,42,45,18,31,8,32,85,50,7,36,58,48,120,15,11,1,31,62,63,14,101,9,8,27,23,33,22,46,1
1H4_Northumberland,9,12,49,14,3,15,9,2,35,19,16,11,11,10,6,14,40,19,2,13,18,20,38,8,4,1,14,35,23,8,35,4,5,9,7,15,6,20,1
1H4_Ostler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H4_Peto,3,7,24,4,3,12,6,1,23,6,5,6,4,2,4,8,10,11,0,6,7,11,17,3,4,0,5,8,11,0,19,2,4,5,4,8,1,5,0
1H4_Poins,30,77,121,39,24,42,24,11,75,67,69,39,18,52,14,47,72,54,15,41,81,56,94,11,27,3,18,98,94,9,105,3,8,26,35,51,19,46,1
1H4_SERVANTS.HOTSPUR.1,0,1,2,5,2,3,1,0,3,0,0,1,0,0,1,3,4,3,0,0,3,3,4,0,1,0,0,5,1,0,2,0,0,0,1,1,0,2,0
1H4_Sheriff,6,4,14,6,1,9,3,0,13,4,5,3,1,3,3,5,9,5,1,5,12,11,16,1,4,0,1,15,9,1,10,3,1,4,2,3,1,1,0
1H4_SirMichael,2,2,14,8,1,6,3,0,16,5,10,6,1,1,5,2,6,5,1,0,12,7,13,0,2,0,2,14,4,1,9,0,3,1,3,4,1,5,0
1H4_TRAVELERS.CARRIERS,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
1H4_TRAVELERS.CARRIERS.1,17,17,34,3,3,15,15,3,19,19,11,10,11,8,4,10,25,17,1,18,10,9,35,7,6,1,8,17,15,0,30,5,5,5,10,8,2,12,0
1H4_TRAVELERS.CARRIERS.2,4,13,40,11,4,12,8,3,23,16,10,6,10,7,6,7,20,19,6,12,21,11,35,5,3,0,5,19,16,0,18,1,1,5,7,10,2,14,0
1H4_TRAVELERS.CARRIERS.X,0,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
1H4_TRAVELERS.GENTLEMEN,1,0,5,0,1,0,2,0,2,0,2,3,0,1,0,0,0,3,1,0,1,0,3,0,2,0,0,1,3,0,0,1,0,0,1,2,0,2,0
1H4_TRAVELERS.GENTLEMEN.0.1,1,1,12,2,4,1,4,0,5,2,4,6,1,2,1,2,1,5,1,2,7,1,6,0,2,1,0,2,4,1,1,1,1,0,1,5,0,5,0
1H4_Vernon,26,32,144,32,10,38,25,11,88,43,39,41,27,26,15,34,98,45,8,34,79,57,102,18,17,0,27,70,65,6,81,9,4,23,28,34,18,52,0
1H4_Vintner,2,3,9,4,1,2,0,1,5,6,3,1,0,1,1,1,6,0,1,2,7,3,5,1,1,0,0,4,5,1,6,0,1,1,0,3,0,1,0
1H4_Westmoreland,20,18,91,25,5,19,15,10,44,37,37,16,23,12,6,16,45,24,7,22,38,34,61,8,6,0,17,50,46,8,62,7,4,21,18,25,11,26,0
1H4_Worcester,73,100,443,111,44,109,94,26,240,120,129,119,86,99,34,92,258,130,21,118,184,121,352,41,53,3,80,216,234,34,315,29,21,89,94,108,70,137,4
1H6_Alanson,19,32,91,33,11,19,19,7,58,41,36,29,23,18,4,29,44,44,7,27,55,36,71,5,12,4,28,76,63,5,64,9,9,17,25,21,8,30,1
1H6_Basset,8,16,65,18,4,15,15,6,31,26,19,12,5,7,7,9,38,24,2,16,24,24,37,11,6,0,6,39,34,3,35,3,2,11,17,14,6,18,0
1H6_Bastard,11,16,60,14,8,12,16,5,40,22,16,19,10,17,6,22,42,30,5,14,26,12,45,8,10,0,12,37,41,7,33,7,3,10,13,18,7,21,1
1H6_Bedford,30,44,136,49,22,53,36,8,88,62,71,41,44,55,17,39,98,65,13,35,92,67,125,16,26,2,25,122,99,10,123,15,2,30,43,50,8,76,0
1H6_Boy,3,2,7,3,0,7,1,1,1,4,4,3,3,5,0,1,2,0,0,2,2,6,7,0,2,0,1,4,2,1,8,0,0,3,2,1,3,0,0
1H6_Burgundy,27,27,81,22,11,30,20,5,51,39,27,35,21,17,9,24,42,50,2,30,46,41,75,8,14,0,17,59,45,7,70,5,6,12,26,28,8,33,0
1H6_CardinalBeaufort,30,59,208,56,31,55,48,16,98,88,54,54,31,45,26,47,143,86,12,57,93,73,149,20,25,2,47,129,118,25,164,11,9,47,46,51,15,56,0
1H6_Charles,55,88,267,67,58,87,61,16,131,139,98,84,52,82,30,55,165,115,10,72,139,99,236,25,39,5,56,168,175,32,212,8,13,38,73,90,8,80,1
1H6_Countess,18,36,87,22,16,38,25,8,39,54,27,24,17,19,11,28,62,45,3,22,35,41,78,5,10,1,17,60,56,11,72,11,4,12,16,19,7,45,0
1H6_Exeter,18,37,119,41,14,34,36,11,80,50,48,40,21,38,10,29,111,54,6,40,63,40,106,16,17,1,21,91,67,15,81,12,7,20,36,49,10,50,2
1H6_Fastolf,3,4,16,4,0,9,3,0,7,4,3,6,8,5,4,3,5,2,0,3,9,6,8,0,3,0,0,12,8,2,13,1,0,8,7,5,2,3,0
1H6_Gargrave,1,4,2,4,0,1,0,0,3,2,1,1,1,2,1,1,1,2,0,1,3,3,4,1,2,0,0,5,2,0,3,2,0,0,1,1,0,2,0
1H6_General,13,16,67,10,14,15,12,4,33,43,23,13,8,17,5,6,37,26,2,8,27,10,51,7,6,2,13,45,30,7,45,5,0,9,11,11,2,13,0
1H6_Glansdale,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0
1H6_Gloucester,78,131,388,96,56,130,80,41,219,161,132,101,78,90,49,97,241,154,21,116,192,142,307,30,52,5,99,266,246,41,317,18,15,101,78,78,55,136,2
1H6_HenryVI,59,103,432,126,35,102,89,34,208,127,163,119,61,103,53,55,219,133,16,132,191,137,317,43,52,9,81,289,227,38,289,34,21,99,102,103,74,112,2
1H6_JAILERS.0.1,1,2,9,3,1,2,1,2,5,2,3,4,1,1,0,2,7,2,0,3,6,7,8,1,0,0,1,5,2,0,6,0,0,3,1,4,2,3,0
1H6_JohnTalbot,25,42,89,29,5,58,38,3,48,41,26,26,28,48,7,13,51,28,3,15,73,48,86,3,22,2,10,51,52,9,95,6,6,24,23,31,21,18,0
1H6_Lawyer,2,0,9,3,0,6,2,0,4,1,2,0,0,1,1,1,3,2,0,2,6,3,7,1,2,0,1,3,6,0,4,0,1,2,0,3,2,2,0
1H6_Legate,1,0,2,1,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1
1H6_Lucy,28,49,192,56,14,33,53,8,110,66,65,50,35,51,19,41,94,52,10,52,118,52,120,17,22,0,17,120,90,17,132,13,10,36,52,43,22,58,0
1H6_MESSENGERS.ENGLISH.1,10,8,36,13,2,7,10,2,18,6,9,9,7,8,3,4,22,9,2,10,22,8,26,8,6,0,6,18,20,3,31,5,3,8,8,16,8,13,0
1H6_MESSENGERS.ENGLISH.2,2,3,11,3,2,2,2,1,10,6,3,2,1,4,1,3,16,2,1,6,6,4,6,2,2,1,4,7,5,1,11,1,1,4,7,2,1,10,0
1H6_MESSENGERS.ENGLISH.3,20,27,105,20,12,14,22,6,61,39,38,21,15,23,8,37,59,32,8,31,55,31,79,11,13,0,18,66,67,4,80,8,6,24,16,24,9,31,1
1H6_MESSENGERS.ENGLISH.X.1,2,2,11,2,2,2,0,1,6,6,2,2,2,3,2,3,5,2,3,1,4,3,7,0,2,1,3,7,2,0,3,0,0,2,1,3,0,3,0
