play,character,gender,role,genre
H5,MESSENGERS.X.1,m,other,history
H5,MESSENGERS.X.3,m,other,history
H5,MESSENGERS.X.2,m,other,history
MV,Gratiano,m,other,comedy
Jn,Essex,m,other,history
WT,Cleomenes,m,other,comedy
TNK,KNIGHTS.PALAMON,m,other,comedy
Cor,CITIZENS.ROMAN.0.3,m,other,tragedy
Tim,Apemantus,m,other,tragedy
Ado,Margaret,f,other,comedy
R3,Lovell,m,other,history
Tit,Aemilius,m,other,tragedy
Ant,ATTENDANTS.ANTONY,m,other,tragedy
1H6,SOLDIERS.ENGLISH.1,m,other,history
H5,SOLDIERS.ENGLISH.Bates,m,other,history
TNK,Brother,m,other,comedy
Tim,Timandra,f,other,tragedy
Ant,Silius,m,other,tragedy
3H6,Montague,m,other,history
R3,PrinceEdward,m,other,history
WT,Dorcas,f,other,comedy
TGV,Proteus,m,antag,comedy
H8,SERVANTS.LARDER.1,m,other,history
Lr,Burgundy,m,other,tragedy
Tmp,SPIRITS.Ceres,f,other,comedy
MND,Egeus,m,other,comedy
Mac,LadyMacduff,f,other,tragedy
Jn,Pandulph,m,other,history
1H4,TRAVELERS.CARRIERS.2,m,other,history
Ado,Benedick,m,other,comedy
TNK,COUNTRYMEN.0.2,m,other,comedy
Mac,Ross,m,other,tragedy
Tit,Lavinia,f,other,tragedy
Oth,GENTLEMEN.2,m,other,tragedy
Oth,GENTLEMEN.3,m,other,tragedy
Oth,GENTLEMEN.1,m,other,tragedy
R2,Green,m,other,history
R2,Fitzwater,m,other,history
Rom,PrinceEscalus,m,other,tragedy
Cor,Herald,m,other,tragedy
1H4,Mortimer,m,other,history
Wiv,Bardolph,m,other,comedy
AYL,Corin,m,other,comedy
2H4,LadyNorthumberland,f,other,history
2H6,Holland,m,other,history
Shr,SERVANTS.PETRUCHIO.Peter,m,other,comedy
3H6,MESSENGERS.X.4,m,other,history
WT,Autolycus,m,other,comedy
AWW,Bertram,m,antag,comedy
Ado,Hero,f,other,comedy
3H6,Father,m,other,history
Ant,Iras,f,other,tragedy
MV,Nerissa,f,other,comedy
2H6,Suffolk,m,other,history
AYL,DukeSenior,m,other,comedy
2H6,Gloucester,m,other,history
Oth,Othello,m,protag,tragedy
TNK,Valerius,m,other,comedy
Cym,Cornelius,m,other,tragedy
R3,MESSENGERS.1,m,other,history
R3,MESSENGERS.3,m,other,history
R3,MESSENGERS.2,m,other,history
R3,MESSENGERS.4,m,other,history
AYL,William,m,other,comedy
R3,ClarencesBoy,m,other,history
JC,Cinna,m,other,tragedy
Err,Messenger,m,other,comedy
Ado,LeonatosBrother,m,other,comedy
LLL,Boyet,m,other,comedy
Shr,Messenger,m,other,comedy
Cym,JAILERS.1,m,other,tragedy
1H6,Mayor,m,other,history
H5,Constable,m,other,history
1H4,MistressQuickly,f,other,history
JC,Messenger,m,other,tragedy
R3,Pursuivant,m,other,history
Jn,Constance,f,other,history
Ado,DonJohn,m,antag,comedy
Cym,Posthumus,m,other,tragedy
Wiv,WilliamPage,m,other,comedy
MV,Duke,m,other,comedy
Ham,ATTENDANTS.GUARDS,m,other,tragedy
Tmp,Antonio,m,antag,comedy
Mac,MacduffsSon,m,other,tragedy
Per,SUPPLIANTS.1,m,other,comedy
TGV,Lance,m,other,comedy
Jn,Salisbury,m,other,history
Wiv,MistressPage,f,other,comedy
MND,Quince,m,other,comedy
Mac,Menteith,m,other,tragedy
Ham,Gertrude,f,other,tragedy
Tim,STRANGERS.3,m,other,tragedy
3H6,ATTENDANTS.EDWARD.1,m,other,history
Tim,STRANGERS.1,m,other,tragedy
1H6,Porter,m,other,history
3H6,SOLDIERS.MONTGOMERY,m,other,history
Jn,Austria,m,other,history
Rom,SERVANTS.CAPULET.Peter,m,other,tragedy
Jn,KingJohn,m,protag,history
R3,Tyrrel,m,other,history
1H4,Gadshill,m,other,history
JC,SOLDIERS.ANTONY.0.2,m,other,tragedy
JC,SOLDIERS.ANTONY.0.1,m,other,tragedy
Cym,GHOSTS.Father,m,other,tragedy
AWW,Epilogue,m,other,comedy
LLL,Berowne,m,other,comedy
Lr,SERVANTS.0.1,m,other,tragedy
Lr,SERVANTS.0.2,m,other,tragedy
Lr,SERVANTS.0.3,m,other,tragedy
LLL,LORDS.0,m,other,comedy
Cor,SOLDIERS.ROMAN,m,other,tragedy
Tim,Alcibiades,m,other,tragedy
Ham,MESSENGERS.2,m,other,tragedy
Ham,MESSENGERS.1,m,other,tragedy
Per,GENTLEMEN.TYRE.0.1,m,other,comedy
Cym,LADIES.QUEEN,f,other,tragedy
H8,Sands,m,other,history
2H4,Hastings,m,other,history
Tim,ATTENDANTS.TIMON.0.1,m,other,tragedy
TGV,Lucetta,f,other,comedy
2H4,DollTearsheet,f,other,history
H8,SECRETARIES.0.1,m,other,history
1H6,Charles,m,antag,history
AYL,LORDS.SENIOR.Amiens,m,other,comedy
Tit,TRIBUNES.0.1,m,other,tragedy
Ham,Laertes,m,other,tragedy
Cor,SOLDIERS.VOLSCIAN.Lieutenant,m,other,tragedy
JC,SOLDIERS.BRUTUS.Claudius,m,other,tragedy
3H6,QueenMargaret,f,other,history
Cym,SOLDIERS.BRITON.0.2,m,other,tragedy
TGV,Julia,f,other,comedy
Mac,SOLDIERS.MALCOLM.0.1,m,other,tragedy
MV,Salerio,m,other,comedy
Cor,AEDILES,m,other,tragedy
Per,Antiochus,m,antag,comedy
Cym,MESSENGERS.2,m,other,tragedy
Cym,MESSENGERS.1,m,other,tragedy
1H4,Blunt,m,other,history
Shr,Grumio,m,other,comedy
Ant,WATCHMEN.Sentry,m,other,tragedy
Ant,Enobarbus,m,other,tragedy
1H4,Glendower,m,other,history
H5,Alice,f,other,history
Per,CITIZENS.TARSUS,m,other,comedy
Tim,Flavius,m,other,tragedy
Oth,GENTLEMEN.0.1,m,other,tragedy
TNK,Jailer,m,other,comedy
2H6,Hume,m,other,history
R2,DuchessOfGloucester,f,other,history
H5,Bedford,m,other,history
Tro,SOLDIERS.TROJAN,m,other,tragedy
Ant,GUARDS,m,other,tragedy
R3,Cardinal,m,other,history
Mac,Malcolm,m,other,tragedy
Tro,Hector,m,other,tragedy
Tim,BANDITS.1,m,other,tragedy
Jn,Bigot,m,other,history
Tim,BANDITS.2,m,other,tragedy
Ant,SERVANTS,m,other,tragedy
2H6,SOLDIERS.1,m,other,history
WT,Polixenes,m,antag,comedy
WT,Hermione,f,other,comedy
R3,Stanley,m,other,history
2H6,Spirit,m,other,history
Tit,Nurse,f,other,tragedy
Rom,LadyCapulet,f,other,tragedy
Err,Adriana,f,other,comedy
Mac,Angus,m,other,tragedy
H5,Burgundy,m,other,history
2H6,Jourdain,f,other,history
LLL,Forester,m,other,comedy
Cym,Soothsayer,m,other,tragedy
R3,BISHOPS,m,other,history
Tim,SERVANTS.Titus,m,other,tragedy
Tro,Achilles,m,other,tragedy
Tim,SERVANTS.ISIDORE.1,m,other,tragedy
Ham,Marcellus,m,other,tragedy
LLL,Marcade,m,other,comedy
Ado,MESSENGERS.LEONATO.1,m,other,comedy
2H6,Cade,m,other,history
2H4,Harcourt,m,other,history
1H4,Archbishop,m,other,history
Oth,MESSENGERS.X.1,m,other,tragedy
Oth,MESSENGERS.X.2,m,other,tragedy
JC,COMMONERS.Cobbler,m,other,tragedy
2H6,WilliamStafford,m,other,history
2H4,LadyPercy,f,other,history
3H6,SOLDIERS.YORK.0.1,m,other,history
Ant,WATCHMEN.1,m,other,tragedy
Ant,WATCHMEN.2,m,other,tragedy
Rom,Cousin,m,other,tragedy
Cym,ATTENDANTS.0.1,m,other,tragedy
Cym,ATTENDANTS.0.2,m,other,tragedy
2H6,NEIGHBORS.1,m,other,history
2H6,NEIGHBORS.3,m,other,history
2H6,NEIGHBORS.2,m,other,history
R2,Jailer,m,other,history
Per,Pander,m,other,comedy
Tim,FRIENDS.Sempronius,m,other,tragedy
Ant,Charmian,f,other,tragedy
Jn,Pembroke,m,other,history
2H4,Chorus,m,other,history
Shr,Vincentio,m,other,comedy
MM,Provost,m,other,comedy
Jn,Arthur,m,other,history
TGV,Pantino,m,other,comedy
H8,Porter,m,other,history
Cym,Arviragus,m,other,tragedy
Tro,Thersites,m,other,tragedy
1H4,LadyPercy,f,other,history
Cor,MESSENGERS.X.4,m,other,tragedy
Cor,MESSENGERS.X.1,m,other,tragedy
Mac,Doctor2,m,other,tragedy
Cor,MESSENGERS.X.3,m,other,tragedy
Cor,MESSENGERS.X.2,m,other,tragedy
2H6,HenryVI,m,other,history
Cor,SENATORS.ROMAN.0.1,m,other,tragedy
Cor,SENATORS.ROMAN.0.2,m,other,tragedy
JC,Publius,m,other,tragedy
Rom,WATCHMEN.0.2,m,other,tragedy
