play,character,phoneme,zscore
1H4,Chamberlain,EY,1.390680992
1H4,Chamberlain,D,-0.326205644
1H4,Chamberlain,ER,-1.140829734
1H4,Chamberlain,DH,0.207871326
1H4,Chamberlain,AY,-0.081963086
1H4,Chamberlain,AE,3.181886949
1H4,Chamberlain,HH,1.105016206
1H4,Chamberlain,JH,-0.846841207
1H4,Chamberlain,L,1.667760869
1H4,Chamberlain,P,-1.26637238
1H4,Chamberlain,B,-0.709633602
1H4,Chamberlain,ZH,-0.671145379
1H4,Chamberlain,Y,-0.519309913
1H4,Chamberlain,W,0.803445714
1H4,Chamberlain,V,-0.207251421
1H4,Chamberlain,IY,-1.483915424
1H4,Chamberlain,OY,-1.034298694
1H4,DRAWERS.Francis,OW,0.331780219
1H4,DRAWERS.Francis,SH,-0.59104267
1H4,DRAWERS.Francis,TH,-2.553235737
1H4,DRAWERS.Francis,NG,-0.630421311
1H4,DRAWERS.Francis,T,-0.611896767
1H4,DRAWERS.Francis,CH,0.041905594
1H4,DRAWERS.Francis,R,1.001687739
1H4,DRAWERS.Francis,Z,-2.148595547
1H4,DRAWERS.Francis,UH,4.724292148
1H4,DRAWERS.Francis,AW,0.48480135
1H4,DRAWERS.Francis,AH,-2.586106375
1H4,DRAWERS.Francis,AO,5.288452456
1H4,DRAWERS.Francis,G,-1.137428859
1H4,DRAWERS.Francis,K,-1.356280958
1H4,DRAWERS.Francis,N,-0.128028567
1H4,DRAWERS.Francis,M,0.349431764
1H4,DRAWERS.Francis,S,2.10303068
1H4,DRAWERS.Francis,AA,-1.540068672
1H4,DRAWERS.Francis,IH,-1.122806059
1H4,DRAWERS.Francis,UW,2.093578308
1H4,DRAWERS.Francis,F,-0.781351092
1H4,DRAWERS.Francis,EH,-3.546100419
1H4,DRAWERS.Francis,EY,-2.790459064
1H4,DRAWERS.Francis,D,3.955624791
1H4,DRAWERS.Francis,ER,1.647960305
1H4,DRAWERS.Francis,DH,-3.045709858
1H4,DRAWERS.Francis,AY,3.414165478
1H4,DRAWERS.Francis,AE,0.165127372
1H4,DRAWERS.Francis,HH,-1.11404132
1H4,DRAWERS.Francis,JH,-1.866040876
1H4,DRAWERS.Francis,L,5.848906703
1H4,DRAWERS.Francis,P,-2.67553979
1H4,DRAWERS.Francis,B,2.111946775
1H4,DRAWERS.Francis,ZH,-0.671145379
1H4,DRAWERS.Francis,Y,-0.140673841
1H4,DRAWERS.Francis,W,-1.449000555
1H4,DRAWERS.Francis,V,-3.150284554
1H4,DRAWERS.Francis,IY,-1.002042749
1H4,DRAWERS.Francis,OY,-1.034298694
1H4,Douglas,OW,0.927535554
1H4,Douglas,SH,-1.169162823
1H4,Douglas,TH,1.428449248
1H4,Douglas,NG,1.738647874
1H4,Douglas,T,0.432206782
1H4,Douglas,CH,-1.08262619
1H4,Douglas,R,0.487812559
1H4,Douglas,Z,-0.661645891
1H4,Douglas,UH,-1.436457165
1H4,Douglas,AW,2.095769183
1H4,Douglas,AH,0.276406947
1H4,Douglas,AO,-0.234945144
1H4,Douglas,G,-0.436555777
1H4,Douglas,K,1.175434112
1H4,Douglas,N,-0.4488301
1H4,Douglas,M,-0.739395139
1H4,Douglas,S,-1.599888232
1H4,Douglas,AA,1.054466061
1H4,Douglas,IH,1.796857042
1H4,Douglas,UW,-2.078742639
1H4,Douglas,F,-0.8572424
1H4,Douglas,EH,-0.553818274
1H4,Douglas,EY,-1.534486403
1H4,Douglas,D,0.129040774
1H4,Douglas,ER,-1.232438014
1H4,Douglas,DH,2.496433373
1H4,Douglas,AY,0.524953936
1H4,Douglas,AE,0.011335117
1H4,Douglas,HH,-0.280967027
1H4,Douglas,JH,-0.54598119
1H4,Douglas,L,0.263604498
1H4,Douglas,P,-1.407517379
1H4,Douglas,B,0.133204742
1H4,Douglas,ZH,1.346350779
1H4,Douglas,Y,-0.728426948
1H4,Douglas,W,0.078716053
1H4,Douglas,V,0.362771432
1H4,Douglas,IY,-0.845032027
1H4,Douglas,OY,-1.034298694
1H4,Falstaff,OW,-0.213850945
1H4,Falstaff,SH,-0.434389337
1H4,Falstaff,TH,0.280157814
1H4,Falstaff,NG,0.204226436
1H4,Falstaff,T,0.263254068
1H4,Falstaff,CH,-0.509952781
1H4,Falstaff,R,-0.503045241
1H4,Falstaff,Z,-0.668428701
1H4,Falstaff,UH,0.566169643
1H4,Falstaff,AW,1.104473677
1H4,Falstaff,AH,0.096714133
1H4,Falstaff,AO,-0.186902971
1H4,Falstaff,G,0.801677104
1H4,Falstaff,K,0.058785361
1H4,Falstaff,N,0.5942684
1H4,Falstaff,M,-0.218276189
1H4,Falstaff,S,-1.874112786
1H4,Falstaff,AA,0.769617337
1H4,Falstaff,IH,-0.512059849
1H4,Falstaff,UW,-0.463492047
1H4,Falstaff,F,0.717780269
1H4,Falstaff,EH,-0.553264931
1H4,Falstaff,EY,-0.139115968
1H4,Falstaff,D,-0.139067237
1H4,Falstaff,ER,-0.813210786
1H4,Falstaff,DH,0.456177787
1H4,Falstaff,AY,0.864248995
1H4,Falstaff,AE,2.029653403
1H4,Falstaff,HH,-0.21383128
1H4,Falstaff,JH,-0.50338402
1H4,Falstaff,L,0.275729471
1H4,Falstaff,P,-0.046756299
1H4,Falstaff,B,0.330652753
1H4,Falstaff,ZH,-0.405280737
1H4,Falstaff,Y,-0.602248563
1H4,Falstaff,W,-0.416069089
1H4,Falstaff,V,0.777669246
1H4,Falstaff,IY,-0.214760899
1H4,Falstaff,OY,-0.192714752
1H4,Gadshill,OW,0.421113477
1H4,Gadshill,SH,0.243810015
1H4,Gadshill,TH,-1.307212034
1H4,Gadshill,NG,1.636872048
1H4,Gadshill,T,-0.473605214
1H4,Gadshill,CH,0.658920047
1H4,Gadshill,R,-0.330525063
1H4,Gadshill,Z,-0.827193891
1H4,Gadshill,UH,-0.563565778
1H4,Gadshill,AW,0.72527919
1H4,Gadshill,AH,0.054512768
1H4,Gadshill,AO,-0.932142332
1H4,Gadshill,G,0.330256878
1H4,Gadshill,K,2.969008549
1H4,Gadshill,N,1.382620521
1H4,Gadshill,M,0.380068111
1H4,Gadshill,S,-0.606683774
1H4,Gadshill,AA,-0.612523437
1H4,Gadshill,IH,-0.778398607
1H4,Gadshill,UW,0.395579885
1H4,Gadshill,F,-0.45281899
1H4,Gadshill,EH,-1.093319653
1H4,Gadshill,EY,2.84454581
1H4,Gadshill,D,-1.412963516
1H4,Gadshill,ER,0.704507172
1H4,Gadshill,DH,2.000617938
1H4,Gadshill,AY,-1.011962333
1H4,Gadshill,AE,2.566491929
1H4,Gadshill,HH,-0.441840944
1H4,Gadshill,JH,-0.489047677
1H4,Gadshill,L,-0.712579721
1H4,Gadshill,P,-0.279180623
1H4,Gadshill,B,-1.068032557
1H4,Gadshill,ZH,-0.671145379
1H4,Gadshill,Y,-0.843825915
1H4,Gadshill,W,-0.826881206
1H4,Gadshill,V,-0.631894608
1H4,Gadshill,IY,-0.514789793
1H4,Gadshill,OY,-0.082617733
1H4,Glendower,OW,-1.432914902
1H4,Glendower,SH,2.94415827
1H4,Glendower,TH,0.319356482
1H4,Glendower,NG,1.021721815
1H4,Glendower,T,-0.922201339
1H4,Glendower,CH,-0.275123802
1H4,Glendower,R,-0.139038291
1H4,Glendower,Z,0.400007657
1H4,Glendower,UH,-0.679191683
1H4,Glendower,AW,-0.60036245
1H4,Glendower,AH,0.766323054
1H4,Glendower,AO,0.695728898
1H4,Glendower,G,0.015832732
1H4,Glendower,K,0.367423208
1H4,Glendower,N,0.945255096
1H4,Glendower,M,0.000393063
1H4,Glendower,S,-1.63792955
1H4,Glendower,AA,0.117878612
1H4,Glendower,IH,-0.733630159
1H4,Glendower,UW,0.091175356
1H4,Glendower,F,-1.063533837
1H4,Glendower,EH,-1.003579761
1H4,Glendower,EY,0.224514444
1H4,Glendower,D,0.259930273
1H4,Glendower,ER,-0.219103371
1H4,Glendower,DH,-0.48447654
1H4,Glendower,AY,0.041982953
1H4,Glendower,AE,0.351828108
1H4,Glendower,HH,-0.317210463
1H4,Glendower,JH,-0.889262194
1H4,Glendower,L,0.407741792
1H4,Glendower,P,0.772615198
1H4,Glendower,B,-0.859861798
1H4,Glendower,ZH,0.448490314
1H4,Glendower,Y,0.793019493
1H4,Glendower,W,-0.102262091
1H4,Glendower,V,0.767445041
1H4,Glendower,IY,0.640453715
1H4,Glendower,OY,-1.034298694
1H4,HenryIV,OW,-0.679450535
1H4,HenryIV,SH,0.184058827
1H4,HenryIV,TH,-0.603493645
1H4,HenryIV,NG,-0.88899348
1H4,HenryIV,T,-0.335301573
1H4,HenryIV,CH,1.260977181
1H4,HenryIV,R,-0.077146849
1H4,HenryIV,Z,0.586185479
1H4,HenryIV,UH,-0.474358622
1H4,HenryIV,AW,0.797623218
1H4,HenryIV,AH,0.980519216
1H4,HenryIV,AO,-0.401258424
1H4,HenryIV,G,-0.38568492
1H4,HenryIV,K,-0.659662993
1H4,HenryIV,N,1.404886987
1H4,HenryIV,M,-0.801911589
1H4,HenryIV,S,0.425938429
1H4,HenryIV,AA,-0.203164903
1H4,HenryIV,IH,-0.292329713
1H4,HenryIV,UW,-0.254981699
1H4,HenryIV,F,-0.411157892
1H4,HenryIV,EH,0.35997352
1H4,HenryIV,EY,-1.009311843
1H4,HenryIV,D,0.872214405
1H4,HenryIV,ER,-0.046769697
1H4,HenryIV,DH,-0.179147974
1H4,HenryIV,AY,-0.716959858
1H4,HenryIV,AE,-0.379773946
1H4,HenryIV,HH,-0.228945427
1H4,HenryIV,JH,0.012397585
1H4,HenryIV,L,0.711597557
1H4,HenryIV,P,0.067798539
1H4,HenryIV,B,-0.26616272
1H4,HenryIV,ZH,0.342109627
1H4,HenryIV,Y,-0.473453589
1H4,HenryIV,W,-0.254935984
1H4,HenryIV,V,0.645213007
1H4,HenryIV,IY,0.273946686
1H4,HenryIV,OY,0.111211277
1H4,HenryV,OW,-0.320464603
1H4,HenryV,SH,-0.139107391
1H4,HenryV,TH,-0.012966528
1H4,HenryV,NG,0.070555413
