orpheus,'AO R F IY AH S', s, AO IY
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
trees,'T R IY Z', s, IY
and,'AH N D', s, 
the,'DH AH', s, 
mountaintops,'M AW N T AH N T AA P S', s, AA
that,'DH AE T', s, AE
when,'ʍ e N', s, 
he,'HH IY', s, IY
did,'D IH D', s, IH
to,'T UW', s, UW
his,'HH IH Z', s, IH
plants,'P L AW N T S', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
sun,'S AH N', s, 
and,'AH N D', s, 
had,'HH AE D', s, AE
a,'AH', s, 
everything,'e V r ǝ IH ˌ TH IH NG', s, IH IH
that,'DH AE T', s, AE
him,'HH IH M', s, IH
even,'IY V IH N', s, IY IH
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
sea,'S IY', s, IY
their,'DH EH R', s, 
heads,'HH EH D Z', s, 
and,'AH N D', s, 
then,'DH EH N', s, 
by,'B AY', s, AY
in,'IH N', s, IH
sweet,'S W IY T', s, IY
is,'IH Z', s, IH
art,'AA R T', s, AA
and,'AH N D', s, 
grief,'G R IY F', s, IY
of,'AH V', s, 
heart,'HH AA R T', s, AA
fall,'F AA L', s, AA
asleep,'AH S L IY P', s, IY
or,'AO R', s, AO
