lepidus, ˈ L e P IH D ǝ S, s, 
is, IH1 Z , s, 
as, AE1 Z , s, 
they, DH EY1 , s, 
pinch, P IH1 N CH , s, 
one, W AH1 N , s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
by, B AY1 , s, 
the, DH AH0 , s, 
disposition, D IH2 S P AH0 Z IH1 SH AH0 N , s, 
he, HH IY1 , s, 
cries, K R AY1 Z , s, 
out, AW1 T , s, 
no, N OW :, s, 
more, M AO1 R , s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
them, DH EH1 M , s, 
to, T UW1 , s, 
his, HH IH1 Z , s, 
entreaty, EH0 N T R IY1 T IY0 , s, 
and, AH0 N D , s, 
himself, HH IH0 M S EH1 L F , s, 
to, T UW1 , s, 
drink, D R IH1 NG K , s, 
why, ʍ ǝ IH, s, 
this, DH IH1 S , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
to, T UW1 , s, 
have, HH AE1 V , s, 
a, AH0 , s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
men's, M EH1 N Z , s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
i, AY1 , s, 
had, HH AE1 D , s, 
as, AE1 Z , s, 
lief, L IY1 F , s, 
have, HH AE1 V , s, 
a, AH0 , s, 
reed, R IY1 D , s, 
that, DH AE1 T , s, 
will, W IH1 L , s, 
do, D OW :, s, 
me, M IY1 , s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
as, AE1 Z , s, 
a, AH0 , s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
i, AY1 , s, 
could, K UH1 D , s, 
not, N AA1 T , s, 
heave, IY : V, s, 
the, DH AH0 , s, 
gods, G AA1 D Z , s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
is, IH1 Z , s, 
as, AE1 Z , s, 
they, DH EY1 , s, 
pinch, P IH1 N CH , s, 
one, W AH1 N , s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
by, B AY1 , s, 
the, DH AH0 , s, 
disposition, D IH2 S P AH0 Z IH1 SH AH0 N , s, 
he, HH IY1 , s, 
cries, K R AY1 Z , s, 
out, AW1 T , s, 
no, N OW :, s, 
more, M AO1 R , s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
them, DH EH1 M , s, 
to, T UW1 , s, 
his, HH IH1 Z , s, 
entreaty, EH0 N T R IY1 T IY0 , s, 
and, AH0 N D , s, 
himself, HH IH0 M S EH1 L F , s, 
to, T UW1 , s, 
drink, D R IH1 NG K , s, 
why, ʍ ǝ IH, s, 
this, DH IH1 S , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
to, T UW1 , s, 
have, HH AE1 V , s, 
a, AH0 , s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
men's, M EH1 N Z , s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
i, AY1 , s, 
had, HH AE1 D , s, 
as, AE1 Z , s, 
lief, L IY1 F , s, 
have, HH AE1 V , s, 
a, AH0 , s, 
reed, R IY1 D , s, 
that, DH AE1 T , s, 
will, W IH1 L , s, 
do, D OW :, s, 
me, M IY1 , s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
as, AE1 Z , s, 
a, AH0 , s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
i, AY1 , s, 
could, K UH1 D , s, 
not, N AA1 T , s, 
heave, IY : V, s, 
the, DH AH0 , s, 
gods, G AA1 D Z , s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
is, IH1 Z , s, 
as, AE1 Z , s, 
they, DH EY1 , s, 
pinch, P IH1 N CH , s, 
one, W AH1 N , s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
by, B AY1 , s, 
the, DH AH0 , s, 
disposition, D IH2 S P AH0 Z IH1 SH AH0 N , s, 
he, HH IY1 , s, 
cries, K R AY1 Z , s, 
out, AW1 T , s, 
no, N OW :, s, 
more, M AO1 R , s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
them, DH EH1 M , s, 
to, T UW1 , s, 
his, HH IH1 Z , s, 
entreaty, EH0 N T R IY1 T IY0 , s, 
and, AH0 N D , s, 
himself, HH IH0 M S EH1 L F , s, 
to, T UW1 , s, 
drink, D R IH1 NG K , s, 
why, ʍ ǝ IH, s, 
this, DH IH1 S , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
to, T UW1 , s, 
have, HH AE1 V , s, 
a, AH0 , s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
men's, M EH1 N Z , s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
i, AY1 , s, 
had, HH AE1 D , s, 
as, AE1 Z , s, 
lief, L IY1 F , s, 
have, HH AE1 V , s, 
a, AH0 , s, 
reed, R IY1 D , s, 
that, DH AE1 T , s, 
will, W IH1 L , s, 
do, D OW :, s, 
me, M IY1 , s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
as, AE1 Z , s, 
a, AH0 , s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
i, AY1 , s, 
could, K UH1 D , s, 
not, N AA1 T , s, 
heave, IY : V, s, 
the, DH AH0 , s, 
gods, G AA1 D Z , s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
no, N OW :, s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
why, ʍ ǝ IH, s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
do, D OW :, s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
heave, IY : V, s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
no, N OW :, s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
why, ʍ ǝ IH, s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
do, D OW :, s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
heave, IY : V, s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
no, N OW :, s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
why, ʍ ǝ IH, s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
do, D OW :, s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
heave, IY : V, s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
no, N OW :, s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
why, ʍ ǝ IH, s, 
name, N EH: : M, s, 
in, IH N, s, 
great, G r e T, s, 
fellowship, ˈ F e L ǝ SH IH P, s, 
do, D OW :, s, 
no, N OW :, s, 
service, ˈ S ɐ : R V IH S, s, 
partisan, ˈ P AA : R T IH ˌ Z AW N, s, 
heave, IY : V, s, 
forbid, F ǝ R ˈ B IH D, s, 
lepidus, ˈ L e P IH D ǝ S, s, 
another, ǝ ˈ N ɤ DH ǝ R, s, 
no, N OW :, s, 
reconciles, ˈ r e K ǝ N ˌ S ǝ IH L Z, s, 
why, ʍ ǝ IH, s, 
name, N EH: : M, s, 
in, IH N, s, 
