we,'W IY', s, IY
will,'W IH L', s, IH
be,'B IY', s, IY
satisfied,'S AE T AH S F AY D', s, AE AY
let,'L EH T', s, 
us,'AH S', s, 
be,'B IY', s, IY
satisfied,'S AE T AH S F AY D', s, AE AY
i,'AY', s, AY
will,'W IH L', s, IH
and,'AH N D', s, 
their,'DH EH R', s, 
reasons,'r EH Z ǝ N Z', s, 
when,'ʍ e N', s, 
we,'W IY', s, IY
them,'DH EH M', s, 
brutus,'B R UW T AH S', s, UW
brutus,'B R UW T AH S', s, UW
him,'HH IH M', s, IH
a,'AH', s, 
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
brutus,'B R UW T AH S', s, UW
speaks,'S P IY K S', s, IY
antony,'AE N T AH N IY', s, AE IY
go,'G OW', s, 
up,'AH P', s, 
let,'L EH T', s, 
us,'AH S', s, 
what,'W AH T', s, 
antony,'AE N T AH N IY', s, AE IY
can,'K AE N', s, AE
ho,'HH OW', s, 
let,'L EH T', s, 
us,'AH S', s, 
him,'HH IH M', s, IH
if,'IH F', s, IH
thou,'DH AW', s, 
rightly,'r ǝ IH T L ǝ IH', s, IH IH
of,'AH V', s, 
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
had,'HH AE D', s, AE
great,'G r e T', s, 
poor,'P UH R', s, UH
soul,'S OW L', s, 
his,'HH IH Z', s, IH
red,'R EH D', s, 
as,'AE Z', s, AE
with,'W IH DH', s, IH
the,'DH AH', s, 
will,'W IH L', s, IH
the,'DH AH', s, 
will,'W IH L', s, IH
we,'W IY', s, IY
will,'W IH L', s, IH
will,'W IH L', s, IH
you,'Y UW', s, UW
shall,'SH AE L', s, AE
read,'r e D', s, 
us,'AH S', s, 
the,'DH AH', s, 
will,'W IH L', s, IH
will,'W IH L', s, IH
the,'DH AH', s, 
will,'W IH L', s, IH
the,'DH AH', s, 
testament,'T EH S T AH M AH N T', s, 
wre,'W ER', s, 
villains,'V IH L AH N Z', s, IH
the,'DH AH', s, 
will,'W IH L', s, IH
read,'r e D', s, 
the,'DH AH', s, 
will,'W IH L', s, IH
down,'D ǝ UH N', s, UH
descend,'D IH S EH N D', s, IH
room,'R UW M', s, UW
for,'F AO R', s, AO
antony,'AE N T AH N IY', s, AE IY
most,'M OW S T', s, 
antony,'AE N T AH N IY', s, AE IY
stand,'S T AE N D', s, AE
back,'B AE K', s, AE
room,'R UW M', s, UW
bear,'B EH R', s, 
back,'B AE K', s, AE
o,'OW', s, 
we,'W IY', s, IY
will,'W IH L', s, IH
be,'B IY', s, IY
seek,'S IY K', s, IY
kill,'K IH L', s, IH
let,'L EH T', s, 
not,'N AA T', s, AA
a,'AH', s, 
him,'HH IH M', s, IH
him,'HH IH M', s, IH
with,'W IH DH', s, IH
him,'HH IH M', s, IH
ho,'HH OW', s, 
antony,'AE N T AH N IY', s, AE IY
most,'M OW S T', s, 
antony,'AE N T AH N IY', s, AE IY
most,'M OW S T', s, 
true,'T R UW', s, UW
the,'DH AH', s, 
will,'W IH L', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
will,'W IH L', s, IH
most,'M OW S T', s, 
his,'HH IH Z', s, IH
death,'D EH TH', s, 
ho,'HH OW', s, 
go,'G OW', s, 
you,'Y UW', s, UW
going,'G OW IH N', s, IH
every,'e V r ǝ IH', s, IH
man,'M AE N', s, AE
as,'AE Z', s, AE
as,'AE Z', s, AE
to,'T UW', s, UW
fools,'F UW L Z', s, UW
that,'DH AE T', s, AE
marrry,'M AW r ǝ IH', s, IH
bear,'B EH R', s, 
me,'M IY', s, IY
a,'AH', s, 
for,'F AO R', s, AO
that,'DH AE T', s, AE
i,'AY', s, AY
fear,'F IY R', s, IY
proceed,'P R AH S IY D', s, IY
that,'DH AE T', s, AE
matter,'M AW T ǝ R', s, 
is,'IH Z', s, IH
