i,'AY', s, AY
am,'AE M', s, AE
to,'T UW', s, UW
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
so,'S OW', s, 
well,'W EH L', s, 
that,'DH AE T', s, AE
what,'W AH T', s, 
you,'Y UW', s, UW
bid,'B IH D', s, IH
me,'M IY', s, IY
that,'DH AE T', s, AE
my,'M AY', s, AY
death,'D EH TH', s, 
wre,'W ER', s, 
to,'T UW', s, UW
my,'M AY', s, AY
act,'AE K T', s, AE
by,'B AY', s, AY
heaven,'HH EH V AH N', s, 
i,'AY', s, AY
do,'D OW', s, 
it,'IH T', s, IH
and,'AH N D', s, 
keep,'K IY P', s, IY
him,'HH IH M', s, IH
so,'S OW', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
shall,'SH AE L', s, AE
not,'N AA T', s, AA
offend,'AH F EH N D', s, 
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
he,'HH IY', s, IY
shall,'SH AE L', s, AE
not,'N AA T', s, AA
me,'M IY', s, IY
hot,'HH AA T', s, AA
and,'AH N D', s, 
look,'L UH K', s, UH
thou,'DH AW', s, 
stand,'S T AE N D', s, AE
within,'W IH DH IH N', s, IH IH
the,'DH AH', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
my,'M AY', s, AY
foot,'F UH T', s, UH
upon,'AH P AA N', s, AA
the,'DH AH', s, 
bosom,'B UH Z AH M', s, UH
of,'AH V', s, 
the,'DH AH', s, 
rush,'r ɤ SH', s, 
forth,'F AO R TH', s, AO
and,'AH N D', s, 
bind,'B AY N D', s, AY
the,'DH AH', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
with,'W IH DH', s, IH
me,'M IY', s, IY
fast,'F AW S T', s, 
to,'T UW', s, UW
the,'DH AH', s, 
chair,'CH EH R', s, 
be,'B IY', s, IY
and,'AH N D', s, 
watch,'W AA T SH', s, AA
sccruples,'S K R UW P AH L Z', s, UW
fear,'F IY R', s, IY
not,'N AA T', s, AA
you,'Y UW', s, UW
look,'L UH K', s, UH
to,'T UW', s, UW
lad,'L AE D', s, AE
forth,'F AO R TH', s, AO
i,'AY', s, AY
to,'T UW', s, UW
with,'W IH DH', s, IH
you,'Y UW', s, UW
good,'G UH D', s, UH
indeed,'IH N D IY D', s, IH IY
i,'AY', s, AY
been,'B IH N', s, IH
if,'IH F', s, IH
i,'AY', s, AY
to,'T UW', s, UW
him,'HH IH M', s, IH
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
he,'HH IY', s, IY
will,'W IH L', s, IH
my,'M AY', s, AY
dead,'D EH D', s, 
therefre,'DH EH R F AO R', s, AO
i,'AY', s, AY
will,'W IH L', s, IH
be,'B IY', s, IY
sudden,'S AH D AH N', s, 
and,'AH N D', s, 
his,'HH IH Z', s, IH
do,'D OW', s, 
of,'AH V', s, 
my,'M AY', s, AY
bosom,'B UH Z AH M', s, UH
read,'r e D', s, 
foolish,'F UW L IH SH', s, UW IH
out,'AW T', s, 
of,'AH V', s, 
door,'D AO R', s, AO
i,'AY', s, AY
must,'M AH S T', s, 
be,'B IY', s, IY
brief,'B R IY F', s, IY
lest,'L EH S T', s, 
drop,'D R AA P', s, AA
out,'AW T', s, 
at,'AE T', s, AE
in,'IH N', s, IH
