my, M AY1 , s, 
masters, ˈ M AW S T ǝ R Z, s, 
let's, L EH1 T S , s, 
stand, S T AE1 N D , s, 
close, K L OW : Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
protector, P R AH0 T EH1 K T ER0 , s, 
will, W IH1 L , s, 
come, K ɤ M, s, 
this, DH IH1 S , s, 
way, W EY1 , s, 
by, B AY1 , s, 
and, AH0 N D , s, 
by, B AY1 , s, 
and, AH0 N D , s, 
then, DH EH1 N , s, 
we, W IY1 , s, 
may, M EH: :, s, 
deliver, D IH ˈ L IH V ǝ R, s, 
our, OW : R, s, 
supplications, ˌ S ɤ P L IH ˈ K EH: : S IH ǝ N Z, s, 
in, IH N, s, 
the, DH AH0 , s, 
quill, K W IH1 L , s, 
here, HH IY1 R , s, 
he, HH IY1 , s, 
comes, K ɤ M Z, s, 
methinks, M IH ˈ TH IH NG K S, s, 
and, AH0 N D , s, 
the, DH AH0 , s, 
queen, K W IY1 N , s, 
with, W IH1 DH , s, 
him, HH IH1 M , s, 
i'll, AY1 L , s, 
be, B IY1 , s, 
the, DH AH0 , s, 
first, F ER1 S T , s, 
sure, SH UW : R, s, 
i, AY1 , s, 
pray, P r EH: :, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
pardon, ˈ P AA : R D ǝ N, s, 
me, M IY1 , s, 
i, AY1 , s, 
took, T UH1 K , s, 
you, Y UW1 , s, 
for, F AO1 R , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
protector, P R AH0 T EH1 K T ER0 , s, 
mine, M ǝ IH N, s, 
is, IH1 Z , s, 
an, AE1 N , s, 
please, P L IY1 Z , s, 
your, Y AO1 R , s, 
grace, G r EH: : S, s, 
against, AH0 G EH1 N S T , s, 
john, JH AA1 N , s, 
goodman, G UH1 D M AH0 N , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
cardinal's, K AA1 R D AH0 N AH0 L Z , s, 
man, M AE1 N , s, 
for, F AO1 R , s, 
keeping, ˈ K IY : P IH N, s, 
my, M AY1 , s, 
house, ǝ UH Z, s, 
and, AH0 N D , s, 
lands, L AE1 N D Z , s, 
and, AH0 N D , s, 
wife, W AY1 F , s, 
and, AH0 N D , s, 
all, AA : L, s, 
from, F R AH1 M , s, 
me, M IY1 , s, 
come, K ɤ M, s, 
let's, L EH1 T S , s, 
be, B IY1 , s, 
gone, G OW : N, s, 
my, M AY1 , s, 
masters, ˈ M AW S T ǝ R Z, s, 
let's, L EH1 T S , s, 
stand, S T AE1 N D , s, 
close, K L OW : Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
protector, P R AH0 T EH1 K T ER0 , s, 
will, W IH1 L , s, 
come, K ɤ M, s, 
this, DH IH1 S , s, 
way, W EY1 , s, 
by, B AY1 , s, 
and, AH0 N D , s, 
by, B AY1 , s, 
and, AH0 N D , s, 
then, DH EH1 N , s, 
we, W IY1 , s, 
may, M EH: :, s, 
deliver, D IH ˈ L IH V ǝ R, s, 
our, OW : R, s, 
supplications, ˌ S ɤ P L IH ˈ K EH: : S IH ǝ N Z, s, 
in, IH N, s, 
the, DH AH0 , s, 
quill, K W IH1 L , s, 
here, HH IY1 R , s, 
he, HH IY1 , s, 
comes, K ɤ M Z, s, 
methinks, M IH ˈ TH IH NG K S, s, 
and, AH0 N D , s, 
the, DH AH0 , s, 
queen, K W IY1 N , s, 
with, W IH1 DH , s, 
him, HH IH1 M , s, 
i'll, AY1 L , s, 
be, B IY1 , s, 
the, DH AH0 , s, 
first, F ER1 S T , s, 
sure, SH UW : R, s, 
i, AY1 , s, 
pray, P r EH: :, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
pardon, ˈ P AA : R D ǝ N, s, 
me, M IY1 , s, 
i, AY1 , s, 
took, T UH1 K , s, 
you, Y UW1 , s, 
for, F AO1 R , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
protector, P R AH0 T EH1 K T ER0 , s, 
mine, M ǝ IH N, s, 
is, IH1 Z , s, 
an, AE1 N , s, 
please, P L IY1 Z , s, 
your, Y AO1 R , s, 
grace, G r EH: : S, s, 
against, AH0 G EH1 N S T , s, 
john, JH AA1 N , s, 
goodman, G UH1 D M AH0 N , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
cardinal's, K AA1 R D AH0 N AH0 L Z , s, 
man, M AE1 N , s, 
for, F AO1 R , s, 
keeping, ˈ K IY : P IH N, s, 
my, M AY1 , s, 
house, ǝ UH Z, s, 
and, AH0 N D , s, 
lands, L AE1 N D Z , s, 
and, AH0 N D , s, 
wife, W AY1 F , s, 
and, AH0 N D , s, 
all, AA : L, s, 
from, F R AH1 M , s, 
me, M IY1 , s, 
come, K ɤ M, s, 
let's, L EH1 T S , s, 
be, B IY1 , s, 
gone, G OW : N, s, 
my, M AY1 , s, 
masters, ˈ M AW S T ǝ R Z, s, 
let's, L EH1 T S , s, 
stand, S T AE1 N D , s, 
close, K L OW : Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
protector, P R AH0 T EH1 K T ER0 , s, 
will, W IH1 L , s, 
come, K ɤ M, s, 
this, DH IH1 S , s, 
way, W EY1 , s, 
by, B AY1 , s, 
and, AH0 N D , s, 
by, B AY1 , s, 
and, AH0 N D , s, 
then, DH EH1 N , s, 
we, W IY1 , s, 
may, M EH: :, s, 
deliver, D IH ˈ L IH V ǝ R, s, 
our, OW : R, s, 
supplications, ˌ S ɤ P L IH ˈ K EH: : S IH ǝ N Z, s, 
in, IH N, s, 
the, DH AH0 , s, 
quill, K W IH1 L , s, 
here, HH IY1 R , s, 
he, HH IY1 , s, 
comes, K ɤ M Z, s, 
methinks, M IH ˈ TH IH NG K S, s, 
and, AH0 N D , s, 
the, DH AH0 , s, 
queen, K W IY1 N , s, 
with, W IH1 DH , s, 
him, HH IH1 M , s, 
i'll, AY1 L , s, 
be, B IY1 , s, 
the, DH AH0 , s, 
first, F ER1 S T , s, 
sure, SH UW : R, s, 
i, AY1 , s, 
pray, P r EH: :, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
pardon, ˈ P AA : R D ǝ N, s, 
me, M IY1 , s, 
i, AY1 , s, 
took, T UH1 K , s, 
you, Y UW1 , s, 
for, F AO1 R , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
protector, P R AH0 T EH1 K T ER0 , s, 
mine, M ǝ IH N, s, 
is, IH1 Z , s, 
an, AE1 N , s, 
please, P L IY1 Z , s, 
your, Y AO1 R , s, 
grace, G r EH: : S, s, 
against, AH0 G EH1 N S T , s, 
john, JH AA1 N , s, 
goodman, G UH1 D M AH0 N , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
cardinal's, K AA1 R D AH0 N AH0 L Z , s, 
man, M AE1 N , s, 
for, F AO1 R , s, 
keeping, ˈ K IY : P IH N, s, 
my, M AY1 , s, 
house, ǝ UH Z, s, 
and, AH0 N D , s, 
lands, L AE1 N D Z , s, 
and, AH0 N D , s, 
wife, W AY1 F , s, 
and, AH0 N D , s, 
all, AA : L, s, 
from, F R AH1 M , s, 
me, M IY1 , s, 
come, K ɤ M, s, 
let's, L EH1 T S , s, 
be, B IY1 , s, 
gone, G OW : N, s, 
