i,'AY', s, AY
do,'D OW', s, 
affect,'ǝ F e K T', s, 
a,'AH', s, 
indeed,'IH N D IY D', s, IH IY
but,'B AH T', s, 
i,'AY', s, AY
it,'IH T', s, IH
too,'T UW', s, UW
o,'OW', s, 
wre,'W ER', s, 
that,'DH AE T', s, AE
all,'AA L', s, AA
i,'AY', s, AY
think,'TH IH NG K', s, IH
not,'N AA T', s, AA
on,'AA N', s, AA
my,'M AY', s, AY
and,'AH N D', s, 
great,'G r e T', s, 
tears,'T EH R Z', s, 
his,'HH IH Z', s, IH
than,'DH AE N', s, AE
i,'AY', s, AY
shed,'SH EH D', s, 
for,'F AO R', s, AO
him,'HH IH M', s, IH
what,'W AH T', s, 
was,'W AA Z', s, AA
he,'HH IY', s, IY
i,'AY', s, AY
forgot,'F ǝ R G ɒ T', s, 
him,'HH IH M', s, IH
my,'M AY', s, AY
imagination,'IH M AE JH AH N EY SH AH N', s, IH AE EY
no,'N OW', s, 
in,'IH N', s, IH
but,'B AH T', s, 
i,'AY', s, AY
am,'AE M', s, AE
is,'IH Z', s, IH
no,'N OW', s, 
if,'IH F', s, IH
bertram,'B ɐ R T r ə M', s, 
be,'B IY', s, IY
all,'AA L', s, AA
that,'DH AE T', s, AE
i,'AY', s, AY
a,'AH', s, 
star,'S T AA R', s, AA
and,'AH N D', s, 
think,'TH IH NG K', s, IH
to,'T UW', s, UW
wed,'W EH D', s, 
it,'IH T', s, IH
he,'HH IY', s, IY
is,'IH Z', s, IH
so,'S OW', s, 
me,'M IY', s, IY
in,'IH N', s, IH
his,'HH IH Z', s, IH
and,'AH N D', s, 
collateral,'K ǝ L AW T ǝ r AA L', s, AA
must,'M AH S T', s, 
i,'AY', s, AY
be,'B IY', s, IY
not,'N AA T', s, AA
in,'IH N', s, IH
his,'HH IH Z', s, IH
sphre,'S F IY R', s, IY
ambition,'AE M B IH SH AH N', s, AE IH
in,'IH N', s, IH
my,'M AY', s, AY
thus,'DH ɤ S', s, 
itself,'IH T S EH L F', s, IH
the,'DH AH', s, 
hind,'ǝ IH N D', s, IH
that,'DH AE T', s, AE
be,'B IY', s, IY
mated,'M EH T IH D', s, IH
by,'B AY', s, AY
the,'DH AH', s, 
must,'M AH S T', s, 
for,'F AO R', s, AO
prettty,'P r IH T ǝ IH', s, IH IH
a,'AH', s, 
to,'T UW', s, UW
see,'S IY', s, IY
him,'HH IH M', s, IH
every,'e V r ǝ IH', s, IH
to,'T UW', s, UW
sit,'S IH T', s, IH
and,'AH N D', s, 
his,'HH IH Z', s, IH
brows,'B r ə UH Z', s, UH
his,'HH IH Z', s, IH
his,'HH IH Z', s, IH
in,'IH N', s, IH
our,'OW R', s, 
too,'T UW', s, UW
of,'AH V', s, 
every,'e V r ǝ IH', s, IH
and,'AH N D', s, 
trick,'T R IH K', s, IH
of,'AH V', s, 
his,'HH IH Z', s, IH
sweet,'S W IY T', s, IY
but,'B AH T', s, 
and,'AH N D', s, 
my,'M AY', s, AY
idolatrous,'AY D AA L AH T R AH S', s, AY AA
fancy,'F AE N S IY', s, AE IY
must,'M AH S T', s, 
his,'HH IH Z', s, IH
relics,'R EH L IH K S', s, IH
who,'HH UW', s, UW
that,'DH AE T', s, AE
goes,'G OW Z', s, 
with,'W IH DH', s, IH
him,'HH IH M', s, IH
i,'AY', s, AY
him,'HH IH M', s, IH
for,'F AO R', s, AO
his,'HH IH Z', s, IH
and,'AH N D', s, 
yet,'Y EH T', s, 
i,'AY', s, AY
him,'HH IH M', s, IH
a,'AH', s, 
liar,'L AY ER', s, AY
think,'TH IH NG K', s, IH
him,'HH IH M', s, IH
a,'AH', s, 
great,'G r e T', s, 
fool,'F UH L', s, UH
a,'AH', s, 
yet,'Y EH T', s, 
fixed,'F IH K S T', s, IH
evils,'IY V AH L Z', s, IY
sit,'S IH T', s, IH
so,'S OW', s, 
fit,'F IH T', s, IH
in,'IH N', s, IH
him,'HH IH M', s, IH
that,'DH AE T', s, AE
when,'ʍ e N', s, 
looks,'L UH K S', s, UH
bleak,'B L IY K', s, IY
cold,'K OW L D', s, 
withal,'W IH DH AA L', s, IH AA
full,'F UH L', s, UH
oft,'AO F T', s, AO
we,'W IY', s, IY
see,'S IY', s, IY
cold,'K OW L D', s, 
wisdom,'W IH Z D AH M', s, IH
on,'AA N', s, AA
follly,'F ɒ L ǝ IH', s, IH
and,'AH N D', s, 
you,'Y UW', s, UW
monarch,'M AA N AA R K', s, AA AA
and,'AH N D', s, 
no,'N OW', s, 
you,'Y UW', s, UW
stain,'S T EH N', s, 
of,'AH V', s, 
in,'IH N', s, IH
you,'Y UW', s, UW
let,'L EH T', s, 
me,'M IY', s, IY
ask,'AW S K', s, 
you,'Y UW', s, UW
a,'AH', s, 
man,'M AE N', s, AE
is,'IH Z', s, IH
enemy,'EH N AH M IY', s, IY
to,'T UW', s, UW
we,'W IY', s, IY
barricado,'B AW r IH K AA D OW', s, IH AA
it,'IH T', s, IH
against,'AH G EH N S T', s, 
him,'HH IH M', s, IH
but,'B AH T', s, 
he,'HH IY', s, IY
assails,'ǝ S EH L Z', s, 
and,'AH N D', s, 
our,'OW R', s, 
in,'IH N', s, IH
the,'DH AH', s, 
yet,'Y EH T', s, 
is,'IH Z', s, IH
weak,'W IY K', s, IY
unfold,'ɤ N F OW L D', s, 
to,'T UW', s, UW
us,'AH S', s, 
bless,'B L EH S', s, 
our,'OW R', s, 
poor,'P UH R', s, UH
from,'F R AH M', s, 
and,'AH N D', s, 
is,'IH Z', s, IH
no,'N OW', s, 
military,'M IH L AH T EH R IY', s, IH IY
up,'AH P', s, 
men,'M EH N', s, 
i,'AY', s, AY
will,'W IH L', s, IH
stand,'S T AE N D', s, AE
for,'F AO R', s, AO
a,'AH', s, 
therefre,'DH EH R F AO R', s, AO
i,'AY', s, AY
a,'AH', s, 
do,'D OW', s, 
to,'T UW', s, UW
it,'IH T', s, IH
to,'T UW', s, UW
liking,'L ǝ IH K IH N', s, IH IH
not,'N AA T', s, AA
my,'M AY', s, AY
yet,'Y EH T', s, 
shall,'SH AE L', s, AE
your,'Y AO R', s, AO
master,'M AW S T ǝ R', s, 
a,'AH', s, 
a,'AH', s, 
and,'AH N D', s, 
a,'AH', s, 
mistress,'M IH S T R AH S', s, IH
and,'AH N D', s, 
a,'AH', s, 
friend,'F R EH N D', s, 
a,'AH', s, 
phoenix,'F IY N IH K S', s, IY IH
captain,'K AE P T AH N', s, AE
and,'AH N D', s, 
an,'AE N', s, AE
enemy,'EH N AH M IY', s, IY
a,'AH', s, 
a,'AH', s, 
goddess,'G ɒ D e S', s, 
and,'AH N D', s, 
a,'AH', s, 
a,'AH', s, 
a,'AH', s, 
and,'AH N D', s, 
a,'AH', s, 
dear,'D IY R', s, IY
his,'HH IH Z', s, IH
ambition,'AE M B IH SH AH N', s, AE IH
his,'HH IH Z', s, IH
jarring,'D ZH AA R IH N', s, AA IH
concord,'K AA N K AO R D', s, AA AO
and,'AH N D', s, 
his,'HH IH Z', s, IH
