mighty,'M ǝ IH T ǝ IH', s, IH IH
is,'IH Z', s, IH
a,'AH', s, 
brief,'B R IY F', s, IY
sports,'S P AO R T S', s, AO
of,'AH V', s, 
your,'Y AO R', s, AO
will,'W IH L', s, IH
see,'S IY', s, IY
a,'AH', s, 
is,'IH Z', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
ten,'T EH N', s, 
is,'IH Z', s, IH
as,'AE Z', s, AE
brief,'B R IY F', s, IY
as,'AE Z', s, AE
i,'AY', s, AY
a,'AH', s, 
but,'B AH T', s, 
by,'B AY', s, AY
ten,'T EH N', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
too,'T UW', s, UW
it,'IH T', s, IH
for,'F AO R', s, AO
in,'IH N', s, IH
all,'AA L', s, AA
the,'DH AH', s, 
is,'IH Z', s, IH
not,'N AA T', s, AA
apt,'AE P T', s, AE
fitted,'F IH T AH D', s, IH
and,'AH N D', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
for,'F AO R', s, AO
therein,'DH EH R IH N', s, IH
doth,'D AO TH', s, AO
kill,'K IH L', s, IH
himself,'HH IH M S EH L F', s, IH
when,'ʍ e N', s, 
i,'AY', s, AY
i,'AY', s, AY
must,'M AH S T', s, 
confess,'K AH N F EH S', s, 
water,'W AA T ǝ R', s, AA
but,'B AH T', s, 
merrry,'M e r ǝ IH', s, IH
tears,'T EH R Z', s, 
the,'DH AH', s, 
passion,'P AE SH AH N', s, AE
of,'AH V', s, 
never,'N e V ǝ R', s, 
shed,'SH EH D', s, 
men,'M EH N', s, 
that,'DH AE T', s, AE
work,'W AO R K', s, AO
in,'IH N', s, IH
athens,'AW T ǝ N Z', s, 
never,'N e V ǝ R', s, 
in,'IH N', s, IH
their,'DH EH R', s, 
till,'T IH L', s, IH
and,'AH N D', s, 
their,'DH EH R', s, 
with,'W IH DH', s, IH
this,'DH IH S', s, IH
against,'AH G EH N S T', s, 
your,'Y AO R', s, AO
nuptial,'N AH P CH AH L', s, 
no,'N OW', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
for,'F AO R', s, AO
you,'Y UW', s, UW
i,'AY', s, AY
it,'IH T', s, IH
over,'OW V ǝ R', s, 
and,'AH N D', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
unless,'ɤ N L e S', s, 
you,'Y UW', s, UW
can,'K AE N', s, AE
sport,'S P AO R T', s, AO
in,'IH N', s, IH
their,'DH EH R', s, 
intents,'IH N T EH N T S', s, IH
extremely,'IH K S T R IY M L IY', s, IH IY IY
and,'AH N D', s, 
with,'W IH DH', s, IH
pain,'P EH N', s, 
to,'T UW', s, UW
do,'D OW', s, 
you,'Y UW', s, UW
so,'S OW', s, 
your,'Y AO R', s, AO
the,'DH AH', s, 
is,'IH Z', s, IH
