i,'AY', s, AY
seen,'S IY N', s, IY
by,'B AY', s, AY
sea,'S IY', s, IY
and,'AH N D', s, 
by,'B AY', s, AY
i,'AY', s, AY
am,'AE M', s, AE
not,'N AA T', s, AA
to,'T UW', s, UW
it,'IH T', s, IH
is,'IH Z', s, IH
a,'AH', s, 
sea,'S IY', s, IY
for,'F AO R', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
sky,'S K AY', s, AY
the,'DH AH', s, 
and,'AH N D', s, 
it,'IH T', s, IH
you,'Y UW', s, UW
cannot,'K AE N AA T', s, AE AA
a,'AH', s, 
i,'AY', s, AY
you,'Y UW', s, UW
did,'D IH D', s, IH
but,'B AH T', s, 
see,'S IY', s, IY
it,'IH T', s, IH
it,'IH T', s, IH
it,'IH T', s, IH
up,'AH P', s, 
the,'DH AH', s, 
but,'B AH T', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
the,'DH AH', s, 
o,'OW', s, 
the,'DH AH', s, 
most,'M OW S T', s, 
of,'AH V', s, 
the,'DH AH', s, 
poor,'P UH R', s, UH
souls,'S OW L Z', s, 
to,'T UW', s, UW
see,'S IY', s, IY
and,'AH N D', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
see,'S IY', s, IY
the,'DH AH', s, 
ship,'SH IH P', s, IH
the,'DH AH', s, 
moon,'M UW N', s, UW
with,'W IH DH', s, IH
mainmast,'M EH N M AW S T', s, 
and,'AH N D', s, 
with,'W IH DH', s, IH
yeast,'Y IY S T', s, IY
and,'AH N D', s, 
froth,'F R AO TH', s, AO
as,'AE Z', s, AE
a,'AH', s, 
cork,'K ɒ R K', s, 
into,'IH N T UW', s, IH UW
a,'AH', s, 
and,'AH N D', s, 
then,'DH EH N', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
land,'L AE N D', s, AE
to,'T UW', s, UW
see,'S IY', s, IY
the,'DH AH', s, 
bear,'B EH R', s, 
out,'AW T', s, 
his,'HH IH Z', s, IH
he,'HH IY', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
for,'F AO R', s, AO
and,'AH N D', s, 
said,'S EH D', s, 
his,'HH IH Z', s, IH
was,'W AA Z', s, AA
a,'AH', s, 
nobleman,'N OW B AH L M AH N', s, 
but,'B AH T', s, 
to,'T UW', s, UW
an,'AE N', s, AE
end,'EH N D', s, 
of,'AH V', s, 
the,'DH AH', s, 
ship,'SH IH P', s, IH
to,'T UW', s, UW
see,'S IY', s, IY
the,'DH AH', s, 
sea,'S IY', s, IY
it,'IH T', s, IH
but,'B AH T', s, 
the,'DH AH', s, 
poor,'P UH R', s, UH
souls,'S OW L Z', s, 
and,'AH N D', s, 
the,'DH AH', s, 
sea,'S IY', s, IY
them,'DH EH M', s, 
and,'AH N D', s, 
the,'DH AH', s, 
poor,'P UH R', s, UH
gentleman,'JH EH N T AH L M AH N', s, 
and,'AH N D', s, 
the,'DH AH', s, 
bear,'B EH R', s, 
him,'HH IH M', s, IH
both,'B OW TH', s, 
than,'DH AE N', s, AE
the,'DH AH', s, 
sea,'S IY', s, IY
or,'AO R', s, AO
i,'AY', s, AY
not,'N AA T', s, AA
i,'AY', s, AY
the,'DH AH', s, 
men,'M EH N', s, 
not,'N AA T', s, AA
yet,'Y EH T', s, 
cold,'K OW L D', s, 
under,'ɤ N D ǝ R', s, 
water,'W AA T ǝ R', s, AA
nor,'N AO R', s, AO
the,'DH AH', s, 
bear,'B EH R', s, 
dined,'D ǝ IH N D', s, IH
on,'AA N', s, AA
the,'DH AH', s, 
gentleman,'JH EH N T AH L M AH N', s, 
at,'AE T', s, AE
it,'IH T', s, IH
i,'AY', s, AY
you,'Y UW', s, UW
had,'HH AE D', s, AE
been,'B IH N', s, IH
by,'B AY', s, AY
the,'DH AH', s, 
ship,'SH IH P', s, IH
to,'T UW', s, UW
your,'Y AO R', s, AO
charity,'CH EH R IH T IY', s, IH IY
youre,'Y UH R', s, UH
a,'AH', s, 
old,'OW L D', s, 
man,'M AE N', s, AE
if,'IH F', s, IH
the,'DH AH', s, 
sins,'S IH N Z', s, IH
of,'AH V', s, 
your,'Y AO R', s, AO
youth,'Y UW TH', s, UW
forgiven,'F ǝ R G IH V ǝ N', s, IH
you,'Y UW', s, UW
youre,'Y UH R', s, UH
well,'W EH L', s, 
to,'T UW', s, UW
gold,'G OW L D', s, 
all,'AA L', s, AA
gold,'G OW L D', s, 
go,'G OW', s, 
you,'Y UW', s, UW
the,'DH AH', s, 
with,'W IH DH', s, IH
your,'Y AO R', s, AO
go,'G OW', s, 
see,'S IY', s, IY
if,'IH F', s, IH
the,'DH AH', s, 
bear,'B EH R', s, 
be,'B IY', s, IY
from,'F R AH M', s, 
the,'DH AH', s, 
gentleman,'JH EH N T AH L M AH N', s, 
and,'AH N D', s, 
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
eaten,'e T ǝ N', s, 
never,'N e V ǝ R', s, 
curst,'K ɐ R S T', s, 
but,'B AH T', s, 
when,'ʍ e N', s, 
hungry,'ɤ NG G r ǝ IH', s, IH
if,'IH F', s, IH
be,'B IY', s, IY
of,'AH V', s, 
him,'HH IH M', s, IH
left,'L EH F T', s, 
it,'IH T', s, IH
marrry,'M AW r ǝ IH', s, IH
will,'W IH L', s, IH
i,'AY', s, AY
and,'AH N D', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
to,'T UW', s, UW
put,'P UH T', s, UH
him,'HH IH M', s, IH
let,'L EH T', s, 
me,'M IY', s, IY
see,'S IY', s, IY
every,'e V r ǝ IH', s, IH
every,'e V r ǝ IH', s, IH
tod,'T AA D', s, AA
yields,'Y IY L D Z', s, IY
and,'AH N D', s, 
odd,'AA D', s, AA
fifteen,'F IH F T IY N', s, IH IY
shorn,'SH AO R N', s, AO
what,'W AH T', s, 
the,'DH AH', s, 
wool,'W UH L', s, UH
to,'T UW', s, UW
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
do,'D OW', s, 
let,'L EH T', s, 
me,'M IY', s, IY
see,'S IY', s, IY
what,'W AH T', s, 
am,'AE M', s, AE
i,'AY', s, AY
to,'T UW', s, UW
buy,'B ə IH', s, IH
for,'F AO R', s, AO
our,'OW R', s, 
feast,'F e S T', s, 
of,'AH V', s, 
sugar,'SH UH G ǝ R', s, UH
of,'AH V', s, 
will,'W IH L', s, IH
this,'DH IH S', s, IH
of,'AH V', s, 
do,'D OW', s, 
with,'W IH DH', s, IH
but,'B AH T', s, 
my,'M AY', s, AY
hath,'HH AE TH', s, AE
mistress,'M IH S T R AH S', s, IH
of,'AH V', s, 
the,'DH AH', s, 
feast,'F e S T', s, 
and,'AH N D', s, 
she,'SH IY', s, IY
it,'IH T', s, IH
on,'AA N', s, AA
she,'SH IY', s, IY
hath,'HH AE TH', s, AE
me,'M IY', s, IY
for,'F AO R', s, AO
the,'DH AH', s, 
men,'M EH N', s, 
all,'AA L', s, AA
and,'AH N D', s, 
very,'V EH R IY', s, IY
good,'G UH D', s, UH
ones,'W AH N Z', s, 
but,'B AH T', s, 
most,'M OW S T', s, 
of,'AH V', s, 
them,'DH EH M', s, 
means,'M IY N Z', s, IY
and,'AH N D', s, 
basses,'B AE S IH Z', s, AE IH
but,'B AH T', s, 
them,'DH EH M', s, 
and,'AH N D', s, 
he,'HH IY', s, IY
to,'T UW', s, UW
i,'AY', s, AY
must,'M AH S T', s, 
to,'T UW', s, UW
the,'DH AH', s, 
warden,'W AA R D ǝ N', s, AA
out,'AW T', s, 
of,'AH V', s, 
my,'M AY', s, AY
seven,'S EH V AH N', s, 
a,'AH', s, 
or,'AO R', s, AO
of,'AH V', s, 
but,'B AH T', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
beg,'B EH G', s, 
four,'F AO R', s, AO
of,'AH V', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
of,'AH V', s, 
raisins,'R EY Z AH N Z', s, EY
sun,'S AH N', s, 
of,'AH V', s, 
me,'M IY', s, IY
poor,'P UH R', s, UH
soul,'S OW L', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
need,'N IY D', s, IY
of,'AH V', s, 
rags,'R AE G Z', s, AE
to,'T UW', s, UW
on,'AA N', s, AA
thee,'DH IY', s, IY
than,'DH AE N', s, AE
off,'AO F', s, AO
alas,'AH L AE S', s, AE
poor,'P UH R', s, UH
man,'M AE N', s, AE
a,'AH', s, 
of,'AH V', s, 
to,'T UW', s, UW
a,'AH', s, 
great,'G r e T', s, 
matter,'M AW T ǝ R', s, 
what,'W AH T', s, 
by,'B AY', s, AY
a,'AH', s, 
or,'AO R', s, AO
a,'AH', s, 
footman,'F UH T M AH N', s, UH
indeed,'IH N D IY D', s, IH IY
he,'HH IY', s, IY
be,'B IY', s, IY
a,'AH', s, 
footman,'F UH T M AH N', s, UH
by,'B AY', s, AY
the,'DH AH', s, 
garments,'G AA R M AH N T S', s, AA
he,'HH IY', s, IY
left,'L EH F T', s, 
with,'W IH DH', s, IH
thee,'DH IY', s, IY
if,'IH F', s, IH
this,'DH IH S', s, IH
be,'B IY', s, IY
a,'AH', s, 
coat,'K OW T', s, 
it,'IH T', s, IH
hath,'HH AE TH', s, AE
seen,'S IY N', s, IY
very,'V EH R IY', s, IY
hot,'HH AA T', s, AA
lend,'L EH N D', s, 
me,'M IY', s, IY
thee,'DH IY', s, IY
lend,'L EH N D', s, 
me,'M IY', s, IY
alas,'AH L AE S', s, AE
poor,'P UH R', s, UH
soul,'S OW L', s, 
stand,'S T AE N D', s, AE
dost,'D AA S T', s, AA
lack,'L AE K', s, AE
i,'AY', s, AY
a,'AH', s, 
for,'F AO R', s, AO
thee,'DH IY', s, IY
what,'W AH T', s, 
of,'AH V', s, 
was,'W AA Z', s, AA
he,'HH IY', s, IY
that,'DH AE T', s, AE
you,'Y UW', s, UW
his,'HH IH Z', s, IH
vices,'V AY S AH Z', s, AY
you,'Y UW', s, UW
no,'N OW', s, 
out,'AW T', s, 
of,'AH V', s, 
the,'DH AH', s, 
court,'K AO R T', s, AO
cherish,'CH EH R IH SH', s, IH
it,'IH T', s, IH
to,'T UW', s, UW
it,'IH T', s, IH
and,'AH N D', s, 
yet,'Y EH T', s, 
it,'IH T', s, IH
will,'W IH L', s, IH
no,'N OW', s, 
but,'B AH T', s, 
out,'AW T', s, 
upon,'AH P AA N', s, AA
him,'HH IH M', s, IH
prig,'P R IH G', s, IH
for,'F AO R', s, AO
my,'M AY', s, AY
prig,'P R IH G', s, IH
he,'HH IY', s, IY
fairs,'F EH R Z', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
a,'AH', s, 
in,'IH N', s, IH
all,'AA L', s, AA
if,'IH F', s, IH
you,'Y UW', s, UW
had,'HH AE D', s, AE
but,'B AH T', s, 
big,'B IH G', s, IH
and,'AH N D', s, 
spit,'S P IH T', s, IH
at,'AE T', s, AE
him,'HH IH M', s, IH
run,'r ɤ N', s, 
do,'D OW', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
i,'AY', s, AY
thee,'DH IY', s, IY
on,'AA N', s, AA
the,'DH AH', s, 
then,'DH EH N', s, 
thee,'DH IY', s, IY
well,'W EH L', s, 
i,'AY', s, AY
must,'M AH S T', s, 
go,'G OW', s, 
buy,'B ə IH', s, IH
for,'F AO R', s, AO
our,'OW R', s, 
on,'AA N', s, AA
up,'AH P', s, 
not,'N AA T', s, AA
a,'AH', s, 
a,'AH', s, 
we,'W IY', s, IY
stand,'S T AE N D', s, AE
upon,'AH P AA N', s, AA
our,'OW R', s, 
up,'AH P', s, 
he,'HH IY', s, IY
never,'N e V ǝ R', s, 
better,'B e T ə R', s, 
he,'HH IY', s, IY
shall,'SH AE L', s, AE
in,'IH N', s, IH
i,'AY', s, AY
a,'AH', s, 
ballad,'B AE L AH D', s, AE
but,'B AH T', s, 
even,'IY V IH N', s, IY IH
too,'T UW', s, UW
well,'W EH L', s, 
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
matter,'M AW T ǝ R', s, 
merrily,'M EH R AH L IY', s, IY
set,'S EH T', s, 
down,'D ǝ UH N', s, UH
or,'AO R', s, AO
a,'AH', s, 
very,'V EH R IY', s, IY
pleasant,'P L EH Z AH N T', s, 
indeed,'IH N D IY D', s, IH IY
and,'AH N D', s, 
me,'M IY', s, IY
thou,'DH AW', s, 
of,'AH V', s, 
an,'AE N', s, AE
conceited,'K ǝ N S IY T IH D', s, IY IH
he,'HH IY', s, IY
unbraided,'ɤ N B r EH D IH D', s, IH
prithee,'P r e DH IY', s, IY
him,'HH IH M', s, IH
in,'IH N', s, IH
and,'AH N D', s, 
let,'L EH T', s, 
him,'HH IH M', s, IH
appproach,'ǝ P r OW T SH', s, 
you,'Y UW', s, UW
of,'AH V', s, 
that,'DH AE T', s, AE
in,'IH N', s, IH
them,'DH EH M', s, 
than,'DH AE N', s, AE
think,'TH IH NG K', s, IH
if,'IH F', s, IH
i,'AY', s, AY
wre,'W ER', s, 
not,'N AA T', s, AA
in,'IH N', s, IH
with,'W IH DH', s, IH
mopsa,'M ɒ P S ǝ', s, 
thou,'DH AW', s, 
no,'N OW', s, 
of,'AH V', s, 
me,'M IY', s, IY
but,'B AH T', s, 
being,'B IY IH NG', s, IY IH
as,'AE Z', s, AE
i,'AY', s, AY
am,'AE M', s, AE
it,'IH T', s, IH
