that,'DH AE T', s, AE
will,'W IH L', s, IH
be,'B IY', s, IY
the,'DH AH', s, 
set,'S EH T', s, 
of,'AH V', s, 
sun,'S AH N', s, 
to,'T UW', s, UW
meet,'M IY T', s, IY
with,'W IH DH', s, IH
macbeth,'M AH K B EH TH', s, 
fair,'F EH R', s, 
is,'IH Z', s, IH
and,'AH N D', s, 
is,'IH Z', s, IH
fair,'F EH R', s, 
the,'DH AH', s, 
fog,'F AA G', s, AA
and,'AH N D', s, 
filthhy,'F IH L TH ǝ IH', s, IH IH
air,'EH R', s, 
thou,'DH AW', s, 
and,'AH N D', s, 
i,'AY', s, AY
another,'ǝ N ɤ DH ǝ R', s, 
a,'AH', s, 
drum,'D R AH M', s, 
a,'AH', s, 
drum,'D R AH M', s, 
macbeth,'M AH K B EH TH', s, 
doth,'D AO TH', s, AO
the,'DH AH', s, 
in,'IH N', s, IH
of,'AH V', s, 
the,'DH AH', s, 
sea,'S IY', s, IY
and,'AH N D', s, 
land,'L AE N D', s, AE
thus,'DH ɤ S', s, 
do,'D OW', s, 
go,'G OW', s, 
to,'T UW', s, UW
and,'AH N D', s, 
to,'T UW', s, UW
and,'AH N D', s, 
again,'ǝ ɡ EH N', s, 
to,'T UW', s, UW
up,'AH P', s, 
the,'DH AH', s, 
up,'AH P', s, 
all,'AA L', s, AA
hail,'HH EY L', s, EY
macbeth,'M AH K B EH TH', s, 
that,'DH AE T', s, AE
shalt,'SH AE L T', s, AE
be,'B IY', s, IY
hail,'HH EY L', s, EY
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
get,'G EH T', s, 
thou,'DH AW', s, 
be,'B IY', s, IY
so,'S OW', s, 
all,'AA L', s, AA
hail,'HH EY L', s, EY
macbeth,'M AH K B EH TH', s, 
and,'AH N D', s, 
cries,'K R AY Z', s, AY
and,'AH N D', s, 
and,'AH N D', s, 
cauldron,'K AO L D r ǝ N', s, AO
and,'AH N D', s, 
and,'AH N D', s, 
cauldron,'K AO L D r ǝ N', s, AO
of,'AH V', s, 
dragon,'D R AE G AH N', s, AE
tooth,'T UH TH', s, UH
of,'AH V', s, 
wolf,'W UH L F', s, UH
and,'AH N D', s, 
gulf,'G AH L F', s, 
of,'AH V', s, 
the,'DH AH', s, 
shark,'SH AA R K', s, AA
root,'R UW T', s, UW
of,'AH V', s, 
dark,'D AA R K', s, AA
liver,'L IH V ǝ R', s, IH
of,'AH V', s, 
gall,'G AA L', s, AA
of,'AH V', s, 
goat,'G OW T', s, 
and,'AH N D', s, 
slips,'S L IH P S', s, IH
of,'AH V', s, 
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
lips,'L IH P S', s, IH
of,'AH V', s, 
by,'B AY', s, AY
a,'AH', s, 
drab,'D R AE B', s, AE
the,'DH AH', s, 
thick,'TH IH K', s, IH
and,'AH N D', s, 
slab,'S L AE B', s, AE
add,'AE D', s, AE
a,'AH', s, 
for,'F AO R', s, AO
of,'AH V', s, 
our,'OW R', s, 
cauldron,'K AO L D r ǝ N', s, AO
and,'AH N D', s, 
and,'AH N D', s, 
cauldron,'K AO L D r ǝ N', s, AO
a,'AH', s, 
deed,'D IY D', s, IY
a,'AH', s, 
or,'AO R', s, AO
and,'AH N D', s, 
but,'B AH T', s, 
speak,'S P IY K', s, IY
not,'N AA T', s, AA
to,'T UW', s, UW
seek,'S IY K', s, IY
to,'T UW', s, UW
no,'N OW', s, 
his,'HH IH Z', s, IH
and,'AH N D', s, 
his,'HH IH Z', s, IH
heart,'HH AA R T', s, AA
so,'S OW', s, 
depart,'D IH P AA R T', s, IH AA
