this,'DH IH S', s, IH
again,'ǝ ɡ EH N', s, 
but,'B AH T', s, 
that,'DH AE T', s, AE
your,'Y AO R', s, AO
was,'W AA Z', s, AA
you,'Y UW', s, UW
wre,'W ER', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
was,'W AA Z', s, AA
off,'AO F', s, AO
the,'DH AH', s, 
of,'AH V', s, 
men,'M EH N', s, 
with,'W IH DH', s, IH
revolt,'r IH V ɒ L T', s, IH
fresh,'F R EH SH', s, 
troubled,'T r ɤ B ǝ L D', s, 
not,'N AA T', s, AA
the,'DH AH', s, 
land,'L AE N D', s, AE
with,'W IH DH', s, IH
or,'AO R', s, AO
better,'B e T ə R', s, 
but,'B AH T', s, 
that,'DH AE T', s, AE
your,'Y AO R', s, AO
pleasre,'P L EH ZH ER', s, 
must,'M AH S T', s, 
be,'B IY', s, IY
this,'DH IH S', s, IH
act,'AE K T', s, AE
is,'IH Z', s, IH
as,'AE Z', s, AE
an,'AE N', s, AE
ancient,'EY N CH AH N T', s, EY
told,'T OW L D', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
last,'L AE S T', s, AE
troublesme,'T r ɤ B ǝ L S ǝ', s, 
being,'B IY IH NG', s, IY IH
at,'AE T', s, AE
a,'AH', s, 
when,'ʍ e N', s, 
to,'T UW', s, UW
do,'D OW', s, 
better,'B e T ə R', s, 
than,'DH AE N', s, AE
well,'W EH L', s, 
do,'D OW', s, 
confound,'K AA N F AW N D', s, AA
their,'DH EH R', s, 
skill,'S K IH L', s, IH
in,'IH N', s, IH
and,'AH N D', s, 
of,'AH V', s, 
a,'AH', s, 
fault,'F AO L T', s, AO
doth,'D AO TH', s, AO
the,'DH AH', s, 
fault,'F AO L T', s, AO
the,'DH AH', s, 
by,'B AY', s, AY
as,'AE Z', s, AE
set,'S EH T', s, 
upon,'AH P AA N', s, AA
a,'AH', s, 
breach,'B R IY CH', s, IY
disccredit,'D IH S K R EH D AH T', s, IH
in,'IH N', s, IH
of,'AH V', s, 
the,'DH AH', s, 
fault,'F AO L T', s, AO
than,'DH AE N', s, AE
did,'D IH D', s, IH
the,'DH AH', s, 
fault,'F AO L T', s, AO
it,'IH T', s, IH
was,'W AA Z', s, AA
so,'S OW', s, 
then,'DH EH N', s, 
i,'AY', s, AY
as,'AE Z', s, AE
that,'DH AE T', s, AE
am,'AE M', s, AE
the,'DH AH', s, 
of,'AH V', s, 
to,'T UW', s, UW
the,'DH AH', s, 
purposes,'P ɐ R P ǝ S IH Z', s, IH
of,'AH V', s, 
all,'AA L', s, AA
their,'DH EH R', s, 
hearts,'HH AA R T S', s, AA
both,'B OW TH', s, 
for,'F AO R', s, AO
myself,'M AY S EH L F', s, AY
and,'AH N D', s, 
them,'DH EH M', s, 
but,'B AH T', s, 
chief,'CH IY F', s, IY
of,'AH V', s, 
all,'AA L', s, AA
your,'Y AO R', s, AO
safety,'S EH F T ǝ IH', s, IH
for,'F AO R', s, AO
the,'DH AH', s, 
myself,'M AY S EH L F', s, AY
and,'AH N D', s, 
them,'DH EH M', s, 
bend,'B EH N D', s, 
their,'DH EH R', s, 
best,'B EH S T', s, 
studies,'S T AH D IY Z', s, IY
of,'AH V', s, 
doth,'D AO TH', s, AO
the,'DH AH', s, 
lips,'L IH P S', s, IH
of,'AH V', s, 
to,'T UW', s, UW
break,'B R EY K', s, EY
into,'IH N T UW', s, IH UW
this,'DH IH S', s, IH
if,'IH F', s, IH
what,'W AH T', s, 
in,'IH N', s, IH
rest,'R EH S T', s, 
you,'Y UW', s, UW
in,'IH N', s, IH
you,'Y UW', s, UW
whhy,'ʍ ǝ IH', s, IH
then,'DH EH N', s, 
your,'Y AO R', s, AO
fears,'F IY R Z', s, IY
as,'AE Z', s, AE
attend,'AH T EH N D', s, 
the,'DH AH', s, 
steps,'S T EH P S', s, 
of,'AH V', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
mew,'M Y UW', s, UW
up,'AH P', s, 
your,'Y AO R', s, AO
tender,'T e N D ǝ R', s, 
kinsman,'K IH N Z M AE N', s, IH AE
and,'AH N D', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
with,'W IH DH', s, IH
ignorace,'IH G N ER AH N S', s, IH
and,'AH N D', s, 
his,'HH IH Z', s, IH
youth,'Y UW TH', s, UW
the,'DH AH', s, 
rich,'R IH CH', s, IH
of,'AH V', s, 
good,'G UH D', s, UH
that,'DH AE T', s, AE
the,'DH AH', s, 
enemies,'EH N AH M IY Z', s, IY
not,'N AA T', s, AA
this,'DH IH S', s, IH
to,'T UW', s, UW
let,'L EH T', s, 
it,'IH T', s, IH
be,'B IY', s, IY
our,'OW R', s, 
suit,'SH UW T', s, UW
that,'DH AE T', s, AE
you,'Y UW', s, UW
bid,'B IH D', s, IH
us,'AH S', s, 
ask,'AW S K', s, 
his,'HH IH Z', s, IH
for,'F AO R', s, AO
our,'OW R', s, 
goods,'G UH D Z', s, UH
we,'W IY', s, IY
do,'D OW', s, 
no,'N OW', s, 
ask,'AW S K', s, 
than,'DH AE N', s, AE
whereupon,'ʍ EH R ǝ P ɒ N', s, 
our,'OW R', s, 
on,'AA N', s, AA
you,'Y UW', s, UW
it,'IH T', s, IH
your,'Y AO R', s, AO
he,'HH IY', s, IY
his,'HH IH Z', s, IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
man,'M AE N', s, AE
do,'D OW', s, 
the,'DH AH', s, 
bloody,'B L AH D IY', s, IY
deed,'D IY D', s, IY
he,'HH IY', s, IY
his,'HH IH Z', s, IH
warrant,'W AA r ǝ N T', s, AA
to,'T UW', s, UW
a,'AH', s, 
friend,'F R EH N D', s, 
of,'AH V', s, 
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
wicked,'W IH K AH D', s, IH
heinous,'HH EY N AH S', s, EY
fault,'F AO L T', s, AO
in,'IH N', s, IH
his,'HH IH Z', s, IH
that,'DH AE T', s, AE
aspect,'ǝ S P e K T', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
doth,'D AO TH', s, AO
the,'DH AH', s, 
mood,'M UW D', s, UW
of,'AH V', s, 
a,'AH', s, 
troubled,'T r ɤ B ǝ L D', s, 
breast,'B R EH S T', s, 
and,'AH N D', s, 
i,'AY', s, AY
do,'D OW', s, 
what,'W AH T', s, 
we,'W IY', s, IY
so,'S OW', s, 
he,'HH IY', s, IY
had,'HH AE D', s, AE
a,'AH', s, 
to,'T UW', s, UW
do,'D OW', s, 
and,'AH N D', s, 
when,'ʍ e N', s, 
it,'IH T', s, IH
breaks,'B R EY K S', s, EY
i,'AY', s, AY
fear,'F IY R', s, IY
will,'W IH L', s, IH
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
sweet,'S W IY T', s, IY
death,'D EH TH', s, 
indeed,'IH N D IY D', s, IH IY
we,'W IY', s, IY
near,'N IY R', s, IY
his,'HH IH Z', s, IH
death,'D EH TH', s, 
he,'HH IY', s, IY
was,'W AA Z', s, AA
the,'DH AH', s, 
child,'CH AY L D', s, AY
himself,'HH IH M S EH L F', s, IH
felt,'F EH L T', s, 
he,'HH IY', s, IY
was,'W AA Z', s, AA
sick,'S IH K', s, IH
this,'DH IH S', s, IH
must,'M AH S T', s, 
be,'B IY', s, IY
either,'EH DH ǝ R', s, 
or,'AO R', s, AO
yet,'Y EH T', s, 
lord,'L AO R D', s, AO
go,'G OW', s, 
with,'W IH DH', s, IH
thee,'DH IY', s, IY
and,'AH N D', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
poor,'P UH R', s, UH
child,'CH AY L D', s, AY
