go,'G OW', s, 
watch,'W AA T SH', s, AA
out,'AW T', s, 
alas,'AH L AE S', s, AE
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
ready,'R EH D IY', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
past,'P AW S T', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
to,'T UW', s, UW
meet,'M IY T', s, IY
he,'HH IY', s, IY
is,'IH Z', s, IH
he,'HH IY', s, IY
your,'Y AO R', s, AO
worship,'W AO R SH IH P', s, AO IH
kill,'K IH L', s, IH
him,'HH IH M', s, IH
if,'IH F', s, IH
he,'HH IY', s, IY
alas,'AH L AE S', s, AE
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
forbear,'F ǝ R B EH R', s, 
company,'K AH M P AH N IY', s, IY
