but,'B AH T', s, 
angry,'AE NG G R IY', s, AE IY
and,'AH N D', s, 
to,'T UW', s, UW
blood,'B L AH D', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
go,'G OW', s, 
therefre,'DH EH R F AO R', s, AO
yield,'Y IY L D', s, IY
or,'AO R', s, AO
and,'AH N D', s, 
what,'W AH T', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
jack,'JH AE K', s, AE
the,'DH AH', s, 
of,'AH V', s, 
york,'Y AO R K', s, AO
hath,'HH AE TH', s, AE
you,'Y UW', s, UW
this,'DH IH S', s, IH
well,'W EH L', s, 
seeing,'S IY IH N', s, IY IH
will,'W IH L', s, IH
not,'N AA T', s, AA
prevail,'P R IH V EY L', s, IH EY
assail,'ǝ S EH L', s, 
them,'DH EH M', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
