then,'DH EH N', s, 
i,'AY', s, AY
juge,'JH AH JH', s, 
a,'AH', s, 
your,'Y AO R', s, AO
we,'W IY', s, IY
think,'TH IH NG K', s, IH
soonest,'S UW N AH S T', s, UW
his,'HH IH Z', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
himself,'HH IH M S EH L F', s, IH
marrry,'M AW r ǝ IH', s, IH
and,'AH N D', s, 
will,'W IH L', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
with,'W IH DH', s, IH
all,'AA L', s, AA
my,'M AY', s, AY
heart,'HH AA R T', s, AA
is,'IH Z', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
of,'AH V', s, 
i,'AY', s, AY
sent,'S EH N T', s, 
for,'F AO R', s, AO
