i,'AY', s, AY
depart,'D IH P AA R T', s, IH AA
with,'W IH DH', s, IH
i,'AY', s, AY
i,'AY', s, AY
cast,'K AW S T', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
not,'N AA T', s, AA
alas,'AH L AE S', s, AE
the,'DH AH', s, 
prison,'P R IH Z AH N', s, IH
i,'AY', s, AY
keep,'K IY P', s, IY
it,'IH T', s, IH
be,'B IY', s, IY
for,'F AO R', s, AO
great,'G r e T', s, 
ones,'W AH N Z', s, 
yet,'Y EH T', s, 
seldom,'S EH L D AH M', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
a,'AH', s, 
of,'AH V', s, 
i,'AY', s, AY
am,'AE M', s, AE
given,'G IH V AH N', s, IH
out,'AW T', s, 
to,'T UW', s, UW
be,'B IY', s, IY
better,'B e T ə R', s, 
than,'DH AE N', s, AE
it,'IH T', s, IH
can,'K AE N', s, AE
appear,'ǝ P IY R', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
report,'r IH P AO R T', s, IH AO
is,'IH Z', s, IH
a,'AH', s, 
true,'T R UW', s, UW
i,'AY', s, AY
i,'AY', s, AY
wre,'W ER', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
am,'AE M', s, AE
to,'T UW', s, UW
be,'B IY', s, IY
marrry,'M AW r ǝ IH', s, IH
what,'W AH T', s, 
i,'AY', s, AY
be,'B IY', s, IY
it,'IH T', s, IH
what,'W AH T', s, 
it,'IH T', s, IH
will,'W IH L', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
upon,'AH P AA N', s, AA
my,'M AY', s, AY
at,'AE T', s, AE
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
death,'D EH TH', s, 
well,'W EH L', s, 
we,'W IY', s, IY
will,'W IH L', s, IH
of,'AH V', s, 
this,'DH IH S', s, IH
when,'ʍ e N', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
past,'P AW S T', s, 
but,'B AH T', s, 
you,'Y UW', s, UW
a,'AH', s, 
full,'F UH L', s, UH
of,'AH V', s, 
when,'ʍ e N', s, 
that,'DH AE T', s, AE
shall,'SH AE L', s, AE
be,'B IY', s, IY
seen,'S IY N', s, IY
i,'AY', s, AY
tender,'T e N D ǝ R', s, 
my,'M AY', s, AY
consent,'K AH N S EH N T', s, 
your,'Y AO R', s, AO
friend,'F R EH N D', s, 
and,'AH N D', s, 
i,'AY', s, AY
to,'T UW', s, UW
you,'Y UW', s, UW
upon,'AH P AA N', s, AA
the,'DH AH', s, 
old,'OW L D', s, 
but,'B AH T', s, 
no,'N OW', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
so,'S OW', s, 
soon,'S UW N', s, UW
as,'AE Z', s, AE
the,'DH AH', s, 
court,'K AO R T', s, AO
is,'IH Z', s, IH
over,'OW V ǝ R', s, 
we,'W IY', s, IY
will,'W IH L', s, IH
an,'AE N', s, AE
end,'EH N D', s, 
of,'AH V', s, 
it,'IH T', s, IH
look,'L UH K', s, UH
