ask, AW S K, s, 
what, W AH1 T , s, 
thou, DH AW1 , s, 
wilt, W IH1 L T , s, 
that, DH AE1 T , s, 
i, AY1 , s, 
had, HH AE1 D , s, 
said, S EH1 D , s, 
and, AH0 N D , s, 
done, D AH1 N , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
yet, Y EH1 T , s, 
lives, L IH1 V Z , s, 
that, DH AE1 T , s, 
henry, HH EH1 N R IY0 , s, 
shall, SH AE1 L , s, 
depose, D IH ˈ P OW : Z, s, 
but, B AH1 T , s, 
him, HH IH1 M , s, 
outlive, AW2 T L IH1 V , s, 
and, AH0 N D , s, 
die, D ǝ IH, s, 
a, AH0 , s, 
violent, ˈ V ǝ IH ǝ ˌ L e N T, s, 
death, D EH1 TH , s, 
by, B AY1 , s, 
water, ˈ W AA T ǝ R, s, 
shall, SH AE1 L , s, 
he, HH IY1 , s, 
die, D ǝ IH, s, 
and, AH0 N D , s, 
take, T EY1 K , s, 
his, HH IH1 Z , s, 
end, EH1 N D , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
shun, SH ɤ N, s, 
castles, K AE1 S AH0 L Z , s, 
safer, ˈ S EH: : F · ǝ R, s, 
shall, SH AE1 L , s, 
he, HH IY1 , s, 
be, B IY1 , s, 
upon, AH0 P AA1 N , s, 
the, DH AH0 , s, 
sandy, S AE1 N D IY0 , s, 
plains, P L EY1 N Z , s, 
than, DH AE1 N , s, 
where, ʍ EH: : R, s, 
castles, K AE1 S AH0 L Z , s, 
mounted, M ǝ UH N T IH D, s, 
stand, S T AE1 N D , s, 
have, HH AE1 V , s, 
done, D AH1 N , s, 
for, F AO1 R , s, 
more, M AO1 R , s, 
i, AY1 , s, 
hardly, HH AA1 R D L IY0 , s, 
can, K AE1 N , s, 
endure, e N ˈ D Y UW : R, s, 
ask, AW S K, s, 
what, W AH1 T , s, 
thou, DH AW1 , s, 
wilt, W IH1 L T , s, 
that, DH AE1 T , s, 
i, AY1 , s, 
had, HH AE1 D , s, 
said, S EH1 D , s, 
and, AH0 N D , s, 
done, D AH1 N , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
yet, Y EH1 T , s, 
lives, L IH1 V Z , s, 
that, DH AE1 T , s, 
henry, HH EH1 N R IY0 , s, 
shall, SH AE1 L , s, 
depose, D IH ˈ P OW : Z, s, 
but, B AH1 T , s, 
him, HH IH1 M , s, 
outlive, AW2 T L IH1 V , s, 
and, AH0 N D , s, 
die, D ǝ IH, s, 
a, AH0 , s, 
violent, ˈ V ǝ IH ǝ ˌ L e N T, s, 
death, D EH1 TH , s, 
by, B AY1 , s, 
water, ˈ W AA T ǝ R, s, 
shall, SH AE1 L , s, 
he, HH IY1 , s, 
die, D ǝ IH, s, 
and, AH0 N D , s, 
take, T EY1 K , s, 
his, HH IH1 Z , s, 
end, EH1 N D , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
shun, SH ɤ N, s, 
castles, K AE1 S AH0 L Z , s, 
safer, ˈ S EH: : F · ǝ R, s, 
shall, SH AE1 L , s, 
he, HH IY1 , s, 
be, B IY1 , s, 
upon, AH0 P AA1 N , s, 
the, DH AH0 , s, 
sandy, S AE1 N D IY0 , s, 
plains, P L EY1 N Z , s, 
than, DH AE1 N , s, 
where, ʍ EH: : R, s, 
castles, K AE1 S AH0 L Z , s, 
mounted, M ǝ UH N T IH D, s, 
stand, S T AE1 N D , s, 
have, HH AE1 V , s, 
done, D AH1 N , s, 
for, F AO1 R , s, 
more, M AO1 R , s, 
i, AY1 , s, 
hardly, HH AA1 R D L IY0 , s, 
can, K AE1 N , s, 
endure, e N ˈ D Y UW : R, s, 
ask, AW S K, s, 
what, W AH1 T , s, 
thou, DH AW1 , s, 
wilt, W IH1 L T , s, 
that, DH AE1 T , s, 
i, AY1 , s, 
had, HH AE1 D , s, 
said, S EH1 D , s, 
and, AH0 N D , s, 
done, D AH1 N , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
yet, Y EH1 T , s, 
lives, L IH1 V Z , s, 
that, DH AE1 T , s, 
henry, HH EH1 N R IY0 , s, 
shall, SH AE1 L , s, 
depose, D IH ˈ P OW : Z, s, 
but, B AH1 T , s, 
him, HH IH1 M , s, 
outlive, AW2 T L IH1 V , s, 
and, AH0 N D , s, 
die, D ǝ IH, s, 
a, AH0 , s, 
violent, ˈ V ǝ IH ǝ ˌ L e N T, s, 
death, D EH1 TH , s, 
by, B AY1 , s, 
water, ˈ W AA T ǝ R, s, 
shall, SH AE1 L , s, 
he, HH IY1 , s, 
die, D ǝ IH, s, 
and, AH0 N D , s, 
take, T EY1 K , s, 
his, HH IH1 Z , s, 
end, EH1 N D , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
shun, SH ɤ N, s, 
castles, K AE1 S AH0 L Z , s, 
safer, ˈ S EH: : F · ǝ R, s, 
shall, SH AE1 L , s, 
he, HH IY1 , s, 
be, B IY1 , s, 
upon, AH0 P AA1 N , s, 
the, DH AH0 , s, 
sandy, S AE1 N D IY0 , s, 
plains, P L EY1 N Z , s, 
than, DH AE1 N , s, 
where, ʍ EH: : R, s, 
castles, K AE1 S AH0 L Z , s, 
mounted, M ǝ UH N T IH D, s, 
stand, S T AE1 N D , s, 
have, HH AE1 V , s, 
done, D AH1 N , s, 
for, F AO1 R , s, 
more, M AO1 R , s, 
i, AY1 , s, 
hardly, HH AA1 R D L IY0 , s, 
can, K AE1 N , s, 
endure, e N ˈ D Y UW : R, s, 
