nothing, N AH1 TH IH0 NG , s, 
but, B AH1 T , s, 
bonfires, ˈ B ɒ N F ə IH R Z, s, 
the, DH AH0 , s, 
oracle, AO1 R AH0 K AH0 L , s, 
is, IH1 Z , s, 
fulfilled, F UH0 L F IH1 L D , s, 
the, DH AH0 , s, 
king's, K IH1 NG Z , s, 
daughter, D AO1 T ER0 , s, 
is, IH1 Z , s, 
found, F ǝ UH N D, s, 
such, S ɤ T SH, s, 
a, AH0 , s, 
deal, D EH: : L, s, 
of, AH1 V , s, 
wonder, ˈ W ɤ N D ǝ R, s, 
is, IH1 Z , s, 
broken, B R OW1 K AH0 N , s, 
out, AW1 T , s, 
within, W IH0 DH IH1 N , s, 
this, DH IH1 S , s, 
hour, AW1 ER0 , s, 
that, DH AE1 T , s, 
ballad, B AE1 L AH0 D , s, 
makers, ˈ M EH: : K ǝ R Z, s, 
cannot, K AE1 N AA0 T , s, 
be, B IY1 , s, 
able, EY1 B AH0 L , s, 
to, T UW1 , s, 
express, IH K ˈ S P r e S, s, 
it, IH1 T , s, 
here, HH IY1 R , s, 
comes, K ɤ M Z, s, 
the, DH AH0 , s, 
lady, L EY1 D IY0 , s, 
steward, ˈ S T Y UW : ǝ R D, s, 
he, HH IY1 , s, 
can, K AE1 N , s, 
deliver, D IH ˈ L IH V ǝ R, s, 
you, Y UW1 , s, 
goes, G OW : Z, s, 
it, IH1 T , s, 
now, N AW1 , s, 
sir, S ER1 , s, 
this, DH IH1 S , s, 
news, N UW1 Z , s, 
which, ʍ IH T SH, s, 
is, IH1 Z , s, 
called, K AO1 L D , s, 
true, T R UW1 , s, 
is, IH1 Z , s, 
so, S OW :, s, 
like, L ǝ IH K, s, 
an, AE1 N , s, 
old, OW : L D, s, 
tale, T EH: : L, s, 
that, DH AE1 T , s, 
the, DH AH0 , s, 
verity, ˈ V e r IH T ǝ IH, s, 
of, AH1 V , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
in, IH N, s, 
strong, S T R AO1 NG , s, 
suspicion, S AH0 S P IH1 SH AH0 N , s, 
has, AW Z, s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
found, F ǝ UH N D, s, 
his, HH IH1 Z , s, 
heir, EH1 R , s, 
no, N OW :, s, 
what, W AH1 T , s, 
pray, P r EH: :, s, 
you, Y UW1 , s, 
became, B IH0 K EY1 M , s, 
of, AH1 V , s, 
that, DH AE1 T , s, 
carried, ˈ K AW r ǝ IH D, s, 
hence, HH EH1 N S , s, 
the, DH AH0 , s, 
child, CH AY1 L D , s, 
i, AY1 , s, 
thought, TH AO1 T , s, 
she, SH IY1 , s, 
had, HH AE1 D , s, 
some, S AH1 M , s, 
great, G r e T, s, 
matter, ˈ M AW T ǝ R, s, 
there, DH EH1 R , s, 
in, IH N, s, 
hand, AW N D, s, 
for, F AO1 R , s, 
she, SH IY1 , s, 
hath, HH AE1 TH , s, 
privately, ˈ P r ǝ IH V ǝ T ˌ L ǝ IH, s, 
twice, T W AY1 S , s, 
or, AO : R, s, 
thrice, TH r ǝ IH S, s, 
a, AH0 , s, 
day, D EY1 , s, 
