o,'OW', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
the,'DH AH', s, 
of,'AH V', s, 
dead,'D EH D', s, 
slain,'S L EH N', s, 
by,'B AY', s, AY
his,'HH IH Z', s, IH
servant,'S ɐ R V ǝ N T', s, 
going,'G OW IH N', s, IH
to,'T UW', s, UW
put,'P UH T', s, UH
out,'AW T', s, 
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
servant,'S ɐ R V ǝ N T', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
bred,'B R EH D', s, 
with,'W IH DH', s, IH
against,'AH G EH N S T', s, 
the,'DH AH', s, 
act,'AE K T', s, AE
his,'HH IH Z', s, IH
to,'T UW', s, UW
his,'HH IH Z', s, IH
great,'G r e T', s, 
master,'M AW S T ǝ R', s, 
who,'HH UW', s, UW
on,'AA N', s, AA
him,'HH IH M', s, IH
and,'AH N D', s, 
them,'DH EH M', s, 
him,'HH IH M', s, IH
dead,'D EH D', s, 
but,'B AH T', s, 
not,'N AA T', s, AA
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
him,'HH IH M', s, IH
after,'AW F T ǝ R', s, 
both,'B OW TH', s, 
both,'B OW TH', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
this,'DH IH S', s, IH
madam,'M AE D AH M', s, AE
a,'AH', s, 
from,'F R AH M', s, 
your,'Y AO R', s, AO
with,'W IH DH', s, IH
my,'M AY', s, AY
lady,'L EY D IY', s, EY IY
no,'N OW', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
i,'AY', s, AY
met,'M EH T', s, 
him,'HH IH M', s, IH
back,'B AE K', s, AE
again,'ǝ ɡ EH N', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
he,'HH IY', s, IY
against,'AH G EH N S T', s, 
him,'HH IH M', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
on,'AA N', s, AA
that,'DH AE T', s, AE
their,'DH EH R', s, 
punishhment,'P ɤ N IH SH ˌ M e N T', s, IH
the,'DH AH', s, 
