let,'L EH T', s, 
me,'M IY', s, IY
sit,'S IH T', s, IH
heavy,'e V ǝ IH', s, IH
on,'AA N', s, AA
soul,'S OW L', s, 
think,'TH IH NG K', s, IH
thou,'DH AW', s, 
me,'M IY', s, IY
in,'IH N', s, IH
my,'M AY', s, AY
of,'AH V', s, 
youth,'Y UW TH', s, UW
at,'AE T', s, AE
despair,'D IH S P EH R', s, IH
therefre,'DH EH R F AO R', s, AO
and,'AH N D', s, 
be,'B IY', s, IY
cheerful,'CH IH R F AH L', s, IH
for,'F AO R', s, AO
the,'DH AH', s, 
souls,'S OW L Z', s, 
of,'AH V', s, 
princes,'P R IH N S AH Z', s, IH
in,'IH N', s, IH
comforts,'K ɤ M F ǝ R T S', s, 
thee,'DH IY', s, IY
