you,'Y UW', s, UW
the,'DH AH', s, 
lion's,'L AY AH N Z', s, AY
part,'P AA R T', s, AA
written,'R IH T AH N', s, IH
you,'Y UW', s, UW
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
it,'IH T', s, IH
me,'M IY', s, IY
for,'F AO R', s, AO
i,'AY', s, AY
am,'AE M', s, AE
of,'AH V', s, 
study,'S T AH D IY', s, IY
that,'DH AE T', s, AE
us,'AH S', s, 
every,'e V r ǝ IH', s, IH
son,'S AO ̃', s, AO
masters,'M AW S T ǝ R Z', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
from,'F R AH M', s, 
the,'DH AH', s, 
and,'AH N D', s, 
is,'IH Z', s, IH
or,'AO R', s, AO
lords,'L AO R D Z', s, AO
and,'AH N D', s, 
ladies,'L EY D IY Z', s, EY IY
if,'IH F', s, IH
our,'OW R', s, 
sport,'S P AO R T', s, AO
had,'HH AE D', s, AE
we,'W IY', s, IY
had,'HH AE D', s, AE
all,'AA L', s, AA
been,'B IH N', s, IH
men,'M EH N', s, 
you,'Y UW', s, UW
ladies,'L EY D IY Z', s, EY IY
you,'Y UW', s, UW
hearts,'HH AA R T S', s, AA
do,'D OW', s, 
fear,'F IY R', s, IY
the,'DH AH', s, 
smallest,'S M AA L ǝ S T', s, AA
that,'DH AE T', s, AE
creeps,'K R IY P S', s, IY
on,'AA N', s, AA
floor,'F L AO R', s, AO
perchace,'P ER CH AE N S', s, AE
both,'B OW TH', s, 
and,'AH N D', s, 
when,'ʍ e N', s, 
in,'IH N', s, IH
doth,'D AO TH', s, AO
roar,'r AO R', s, AO
then,'DH EH N', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
as,'AE Z', s, AE
snug,'S N AH G', s, 
the,'DH AH', s, 
am,'AE M', s, AE
a,'AH', s, 
fell,'F EH L', s, 
nor,'N AO R', s, AO
no,'N OW', s, 
lion's,'L AY AH N Z', s, AY
dam,'D AE M', s, AE
for,'F AO R', s, AO
if,'IH F', s, IH
i,'AY', s, AY
as,'AE Z', s, AE
in,'IH N', s, IH
into,'IH N T UW', s, IH UW
this,'DH IH S', s, IH
on,'AA N', s, AA
my,'M AY', s, AY
o,'OW', s, 
