my, M AY1 , s, 
liege, L IY1 JH , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
strangest, EH: : N D ZH ǝ S T, s, 
controversy, ˌ K ɒ N T r ǝ ˈ V ɐ : R S ǝ IH, s, 
come, K ɤ M, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
country, K AH1 N T R IY0 , s, 
to, T UW1 , s, 
be, B IY1 , s, 
judged, JH AH1 JH D , s, 
by, B AY1 , s, 
you, Y UW1 , s, 
that, DH AE1 T , s, 
i, AY1 , s, 
heard, EH: : R D, s, 
shall, SH AE1 L , s, 
i, AY1 , s, 
produce, P r ǝ ˈ D Y UW : S, s, 
the, DH AH0 , s, 
men, M EH1 N , s, 
my, M AY1 , s, 
liege, L IY1 JH , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
strangest, EH: : N D ZH ǝ S T, s, 
controversy, ˌ K ɒ N T r ǝ ˈ V ɐ : R S ǝ IH, s, 
come, K ɤ M, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
country, K AH1 N T R IY0 , s, 
to, T UW1 , s, 
be, B IY1 , s, 
judged, JH AH1 JH D , s, 
by, B AY1 , s, 
you, Y UW1 , s, 
that, DH AE1 T , s, 
i, AY1 , s, 
heard, EH: : R D, s, 
shall, SH AE1 L , s, 
i, AY1 , s, 
produce, P r ǝ ˈ D Y UW : S, s, 
the, DH AH0 , s, 
men, M EH1 N , s, 
my, M AY1 , s, 
liege, L IY1 JH , s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
strangest, EH: : N D ZH ǝ S T, s, 
controversy, ˌ K ɒ N T r ǝ ˈ V ɐ : R S ǝ IH, s, 
come, K ɤ M, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
country, K AH1 N T R IY0 , s, 
to, T UW1 , s, 
be, B IY1 , s, 
judged, JH AH1 JH D , s, 
by, B AY1 , s, 
you, Y UW1 , s, 
that, DH AE1 T , s, 
i, AY1 , s, 
heard, EH: : R D, s, 
shall, SH AE1 L , s, 
i, AY1 , s, 
produce, P r ǝ ˈ D Y UW : S, s, 
the, DH AH0 , s, 
men, M EH1 N , s, 
