lord,'L AO R D',s,'AO'
of,'AH V',s,''
is,'IH Z',s,'IH'
either,'EH DH ǝ R',s,''
slain,'S L EH N',s,''
or,'AO R',s,'AO'
i,'AY',s,'AY'
cleft,'K L EH F T',s,''
his,'HH IH Z',s,'IH'
beaver,'B IY V ə R',s,'IY'
with,'W IH DH',s,'IH'
a,'AH',s,''
that,'DH AE T',s,'AE'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
true,'T R UW',s,'UW'
behold,'B IH HH OW L D',s,'IH'
his,'HH IH Z',s,'IH'
blood,'B L AH D',s,''
sweet,'S W IY T',s,'IY'
do,'D OW',s,''
so,'S OW',s,''
set,'S EH T',s,''
it,'IH T',s,'IH'
on,'AA N',s,'AA'
your,'Y AO R',s,'AO'
no,'N OW',s,''
i,'AY',s,'AY'
can,'K AE N',s,'AE'
better,'B e T ə R',s,''
the,'DH AH',s,''
no,'N OW',s,''
but,'B AH T',s,''
a,'AH',s,''
you,'Y UW',s,'UW'
therefre,'DH EH R F AO R',s,'AO'
it,'IH T',s,'IH'
by,'B AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
lancaster,'L AW NG K AW S T ǝ R',s,''
to,'T UW',s,'UW'
it,'IH T',s,'IH'
will,'W IH L',s,'IH'
you,'Y UW',s,'UW'
in,'IH N',s,'IH'
the,'DH AH',s,''
end,'EH N D',s,''
but,'B AH T',s,''
for,'F AO R',s,'AO'
a,'AH',s,''
oath,'OW TH',s,''
be,'B IY',s,'IY'
broken,'B R OW K AH N',s,''
i,'AY',s,'AY'
break,'B R EY K',s,'EY'
a,'AH',s,''
to,'T UW',s,'UW'
year,'Y IH R',s,'IH'
i,'AY',s,'AY'
their,'DH EH R',s,''
drums,'D R AH M Z',s,''
set,'S EH T',s,''
our,'OW R',s,''
men,'M EH N',s,''
in,'IH N',s,'IH'
order,'AO R D ǝ R',s,'AO'
and,'AH N D',s,''
forth,'F AO R TH',s,'AO'
and,'AH N D',s,''
bid,'B IH D',s,'IH'
them,'DH EH M',s,''
i,'AY',s,'AY'
wonder,'W ɤ N D ǝ R',s,''
our,'OW R',s,''
princely,'P r IH N S L ǝ IH',s,'IH IH'
or,'AO R',s,'AO'
he,'HH IY',s,'IY'
be,'B IY',s,'IY'
or,'AO R',s,'AO'
no,'N OW',s,''
from,'F R AH M',s,''
and,'AH N D',s,''
had,'HH AE D',s,'AE'
he,'HH IY',s,'IY'
been,'B IH N',s,'IH'
we,'W IY',s,'IY'
the,'DH AH',s,''
had,'HH AE D',s,'AE'
he,'HH IY',s,'IY'
been,'B IH N',s,'IH'
slain,'S L EH N',s,''
we,'W IY',s,'IY'
the,'DH AH',s,''
or,'AO R',s,'AO'
had,'HH AE D',s,'AE'
he,'HH IY',s,'IY'
methinks,'M IH TH IH NG K S',s,'IH IH'
we,'W IY',s,'IY'
the,'DH AH',s,''
tidings,'T ǝ IH D IH N Z',s,'IH IH'
of,'AH V',s,''
his,'HH IH Z',s,'IH'
good,'G UH D',s,'UH'
my,'M AY',s,'AY'
whhy,'ʍ ǝ IH',s,'IH'
is,'IH Z',s,'IH'
he,'HH IY',s,'IY'
so,'S OW',s,''
sad,'S AE D',s,'AE'
or,'AO R',s,'AO'
do,'D OW',s,''
i,'AY',s,'AY'
see,'S IY',s,'IY'
suns,'S AH N Z',s,''
wondrous,'W AH N D R AH S',s,''
the,'DH AH',s,''
yet,'Y EH T',s,''
never,'N e V ǝ R',s,''
of,'AH V',s,''
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
it,'IH T',s,'IH'
us,'AH S',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
field,'F IY L D',s,'IY'
that,'DH AE T',s,'AE'
we,'W IY',s,'IY'
the,'DH AH',s,''
sons,'S AH N Z',s,''
of,'AH V',s,''
each,'IY CH',s,'IY'
by,'B AY',s,'AY'
our,'OW R',s,''
join,'JH OY N',s,''
our,'OW R',s,''
and,'AH N D',s,''
the,'DH AH',s,''
as,'AE Z',s,'AE'
this,'DH IH S',s,'IH'
the,'DH AH',s,''
it,'IH T',s,'IH'
will,'W IH L',s,'IH'
i,'AY',s,'AY'
bear,'B EH R',s,''
upon,'AH P AA N',s,'AA'
my,'M AY',s,'AY'
target,'T AA R G AH T',s,'AA'
fair,'F EH R',s,''
shining,'SH ǝ IH N IH N',s,'IH IH'
suns,'S AH N Z',s,''
o,'OW',s,''
speak,'S P IY K',s,'IY'
no,'N OW',s,''
for,'F AO R',s,'AO'
i,'AY',s,'AY'
too,'T UW',s,'UW'
