my,'M AY', s, AY
cousin,'K AH Z AH N', s, 
means,'M IY N Z', s, IY
benedick,'B EH N AH D IH K', s, IH
of,'AH V', s, 
he,'HH IY', s, IY
is,'IH Z', s, IH
of,'AH V', s, 
a,'AH', s, 
very,'V EH R IY', s, IY
disposition,'D IH S P AH Z IH SH AH N', s, IH IH
so,'S OW', s, 
you,'Y UW', s, UW
softly,'S AO F T L IY', s, AO IY
and,'AH N D', s, 
look,'L UH K', s, UH
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
yours,'Y UH R Z', s, UH
for,'F AO R', s, AO
the,'DH AH', s, 
and,'AH N D', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
i,'AY', s, AY
so,'S OW', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
when,'ʍ e N', s, 
i,'AY', s, AY
your,'Y AO R', s, AO
for,'F AO R', s, AO
god,'G AA D', s, AA
defend,'D IH F EH N D', s, IH
the,'DH AH', s, 
be,'B IY', s, IY
the,'DH AH', s, 
whhy,'ʍ ǝ IH', s, IH
then,'DH EH N', s, 
your,'Y AO R', s, AO
be,'B IY', s, IY
i,'AY', s, AY
will,'W IH L', s, IH
do,'D OW', s, 
modest,'M AA D AH S T', s, AA
my,'M AY', s, AY
lord,'L AO R D', s, AO
to,'T UW', s, UW
my,'M AY', s, AY
cousin,'K AH Z AH N', s, 
to,'T UW', s, UW
a,'AH', s, 
good,'G UH D', s, UH
good,'G UH D', s, UH
run,'r ɤ N', s, 
thee,'DH IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
shalt,'SH AE L T', s, AE
thou,'DH AW', s, 
my,'M AY', s, AY
cousin,'K AH Z AH N', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
whisper,'ʍ IH S P ǝ R', s, IH
ear,'IY R', s, IY
and,'AH N D', s, 
tell,'T EH L', s, 
i,'AY', s, AY
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
our,'OW R', s, 
is,'IH Z', s, IH
all,'AA L', s, AA
of,'AH V', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
us,'AH S', s, 
and,'AH N D', s, 
bid,'B IH D', s, IH
steal,'S T IY L', s, IY
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
ripened,'r ǝ IH P ǝ N D', s, IH
by,'B AY', s, AY
the,'DH AH', s, 
sun,'S AH N', s, 
forbid,'F ǝ R B IH D', s, IH
the,'DH AH', s, 
sun,'S AH N', s, 
to,'T UW', s, UW
enter,'e N T ǝ R', s, 
by,'B AY', s, AY
princes,'P R IH N S AH Z', s, IH
that,'DH AE T', s, AE
their,'DH EH R', s, 
against,'AH G EH N S T', s, 
that,'DH AE T', s, AE
that,'DH AE T', s, AE
bred,'B R EH D', s, 
it,'IH T', s, IH
will,'W IH L', s, IH
she,'SH IY', s, IY
to,'T UW', s, UW
our,'OW R', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
bear,'B EH R', s, 
thee,'DH IY', s, IY
well,'W EH L', s, 
in,'IH N', s, IH
it,'IH T', s, IH
and,'AH N D', s, 
us,'AH S', s, 
when,'ʍ e N', s, 
doth,'D AO TH', s, AO
as,'AE Z', s, AE
we,'W IY', s, IY
do,'D OW', s, 
this,'DH IH S', s, IH
alley,'AW L ǝ IH', s, IH
up,'AH P', s, 
and,'AH N D', s, 
down,'D ǝ UH N', s, UH
our,'OW R', s, 
must,'M AH S T', s, 
only,'OW N L IY', s, IY
be,'B IY', s, IY
of,'AH V', s, 
benedick,'B EH N AH D IH K', s, IH
when,'ʍ e N', s, 
i,'AY', s, AY
do,'D OW', s, 
him,'HH IH M', s, IH
let,'L EH T', s, 
it,'IH T', s, IH
be,'B IY', s, IY
part,'P AA R T', s, AA
to,'T UW', s, UW
him,'HH IH M', s, IH
than,'DH AE N', s, AE
man,'M AE N', s, AE
did,'D IH D', s, IH
merit,'M EH R AH T', s, 
my,'M AY', s, AY
to,'T UW', s, UW
thee,'DH IY', s, IY
must,'M AH S T', s, 
be,'B IY', s, IY
benedick,'B EH N AH D IH K', s, IH
is,'IH Z', s, IH
sick,'S IH K', s, IH
in,'IH N', s, IH
with,'W IH DH', s, IH
of,'AH V', s, 
this,'DH IH S', s, IH
matter,'M AW T ǝ R', s, 
is,'IH Z', s, IH
crafty,'K R AE F T IY', s, AE IY
that,'DH AE T', s, AE
only,'OW N L IY', s, IY
wounds,'W UW N D Z', s, UW
by,'B AY', s, AY
begin,'B IH G IH N', s, IH IH
for,'F AO R', s, AO
look,'L UH K', s, UH
a,'AH', s, 
runs,'R AH N Z', s, 
by,'B AY', s, AY
the,'DH AH', s, 
to,'T UW', s, UW
our,'OW R', s, 
conferece,'K AA N F ER AH N S', s, AA
then,'DH EH N', s, 
go,'G OW', s, 
we,'W IY', s, IY
near,'N IY R', s, IY
that,'DH AE T', s, AE
ear,'IY R', s, IY
of,'AH V', s, 
the,'DH AH', s, 
sweet,'S W IY T', s, IY
bait,'B EH T', s, 
that,'DH AE T', s, AE
we,'W IY', s, IY
for,'F AO R', s, AO
it,'IH T', s, IH
no,'N OW', s, 
she,'SH IY', s, IY
is,'IH Z', s, IH
too,'T UW', s, UW
disdainful,'D IH S D EY N F AH L', s, IH EY
i,'AY', s, AY
spirits,'S P IH R AH T S', s, IH
as,'AE Z', s, AE
coy,'K ǝ IH', s, IH
and,'AH N D', s, 
as,'AE Z', s, AE
of,'AH V', s, 
the,'DH AH', s, 
rock,'R AA K', s, AA
so,'S OW', s, 
the,'DH AH', s, 
and,'AH N D', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
did,'D IH D', s, IH
me,'M IY', s, IY
to,'T UW', s, UW
acquaint,'AH K W EY N T', s, EY
of,'AH V', s, 
it,'IH T', s, IH
but,'B AH T', s, 
i,'AY', s, AY
persuaded,'P ER S W EY D AH D', s, EY
them,'DH EH M', s, 
if,'IH F', s, IH
benedick,'B EH N AH D IH K', s, IH
to,'T UW', s, UW
wish,'W IH SH', s, IH
him,'HH IH M', s, IH
with,'W IH DH', s, IH
affection,'AH F EH K SH AH N', s, 
and,'AH N D', s, 
never,'N e V ǝ R', s, 
to,'T UW', s, UW
let,'L EH T', s, 
of,'AH V', s, 
it,'IH T', s, IH
o,'OW', s, 
god,'G AA D', s, AA
of,'AH V', s, 
i,'AY', s, AY
he,'HH IY', s, IY
doth,'D AO TH', s, AO
as,'AE Z', s, AE
as,'AE Z', s, AE
be,'B IY', s, IY
yielded,'Y IY L D AH D', s, IY
to,'T UW', s, UW
a,'AH', s, 
man,'M AE N', s, AE
but,'B AH T', s, 
natre,'N EY CH ER', s, EY
never,'N e V ǝ R', s, 
a,'AH', s, 
heart,'HH AA R T', s, AA
of,'AH V', s, 
stuff,'S T ɤ F', s, 
than,'DH AE N', s, AE
that,'DH AE T', s, AE
of,'AH V', s, 
disdain,'D IH S D EH N', s, IH
and,'AH N D', s, 
in,'IH N', s, IH
what,'W AH T', s, 
look,'L UH K', s, UH
on,'AA N', s, AA
and,'AH N D', s, 
wit,'W IH T', s, IH
itself,'IH T S EH L F', s, IH
so,'S OW', s, 
that,'DH AE T', s, AE
to,'T UW', s, UW
all,'AA L', s, AA
matter,'M AW T ǝ R', s, 
seems,'S IY M Z', s, IY
weak,'W IY K', s, IY
she,'SH IY', s, IY
cannot,'K AE N AA T', s, AE AA
nor,'N AO R', s, AO
no,'N OW', s, 
nor,'N AO R', s, AO
project,'P R AA JH EH K T', s, AA
of,'AH V', s, 
affection,'AH F EH K SH AH N', s, 
she,'SH IY', s, IY
is,'IH Z', s, IH
so,'S OW', s, 
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
speak,'S P IY K', s, IY
truth,'T R UW TH', s, UW
i,'AY', s, AY
never,'N e V ǝ R', s, 
yet,'Y EH T', s, 
man,'M AE N', s, AE
rarely,'r EH R L ǝ IH', s, IH
but,'B AH T', s, 
she,'SH IY', s, IY
spell,'S P EH L', s, 
him,'HH IH M', s, IH
if,'IH F', s, IH
she,'SH IY', s, IY
swear,'S W EH R', s, 
the,'DH AH', s, 
gentleman,'JH EH N T AH L M AH N', s, 
be,'B IY', s, IY
if,'IH F', s, IH
black,'B L AE K', s, AE
whhy,'ʍ ǝ IH', s, IH
natre,'N EY CH ER', s, EY
of,'AH V', s, 
an,'AE N', s, AE
antic,'AE N T IH K', s, AE IH
a,'AH', s, 
blot,'B L AA T', s, AA
if,'IH F', s, IH
tall,'T AO L', s, AO
a,'AH', s, 
if,'IH F', s, IH
an,'AE N', s, AE
very,'V EH R IY', s, IY
vilely,'V ǝ IH L ǝ IH', s, IH IH
cut,'K ɤ T', s, 
if,'IH F', s, IH
whhy,'ʍ ǝ IH', s, IH
a,'AH', s, 
with,'W IH DH', s, IH
all,'AA L', s, AA
if,'IH F', s, IH
silent,'S AY L AH N T', s, AY
whhy,'ʍ ǝ IH', s, IH
a,'AH', s, 
block,'B L AA K', s, AA
with,'W IH DH', s, IH
so,'S OW', s, 
turns,'T ɐ R N Z', s, 
she,'SH IY', s, IY
every,'e V r ǝ IH', s, IH
man,'M AE N', s, AE
the,'DH AH', s, 
out,'AW T', s, 
and,'AH N D', s, 
never,'N e V ǝ R', s, 
to,'T UW', s, UW
truth,'T R UW TH', s, UW
and,'AH N D', s, 
that,'DH AE T', s, AE
and,'AH N D', s, 
merit,'M EH R AH T', s, 
no,'N OW', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
be,'B IY', s, IY
so,'S OW', s, 
odd,'AA D', s, AA
and,'AH N D', s, 
from,'F R AH M', s, 
all,'AA L', s, AA
fashions,'F AE SH AH N Z', s, AE
as,'AE Z', s, AE
