i,'AY', s, AY
shall,'SH AE L', s, AE
no,'N OW', s, 
to,'T UW', s, UW
sea,'S IY', s, IY
to,'T UW', s, UW
sea,'S IY', s, IY
shall,'SH AE L', s, AE
i,'AY', s, AY
this,'DH IH S', s, IH
is,'IH Z', s, IH
a,'AH', s, 
very,'V EH R IY', s, IY
to,'T UW', s, UW
at,'AE T', s, AE
a,'AH', s, 
funeral,'F Y UW N ER AH L', s, UW
well,'W EH L', s, 
my,'M AY', s, AY
comfort,'K ɤ M F ǝ R T', s, 
the,'DH AH', s, 
master,'M AW S T ǝ R', s, 
the,'DH AH', s, 
swabber,'S W ɒ B ǝ R', s, 
the,'DH AH', s, 
boatswain,'B OW T S W EY N', s, EY
and,'AH N D', s, 
i,'AY', s, AY
the,'DH AH', s, 
gunner,'G ɤ N ǝ R', s, 
and,'AH N D', s, 
his,'HH IH Z', s, IH
mall,'M ɒ L', s, 
meg,'M EH G', s, 
and,'AH N D', s, 
and,'AH N D', s, 
but,'B AH T', s, 
of,'AH V', s, 
us,'AH S', s, 
for,'F AO R', s, AO
for,'F AO R', s, AO
she,'SH IY', s, IY
had,'HH AE D', s, AE
a,'AH', s, 
with,'W IH DH', s, IH
a,'AH', s, 
to,'T UW', s, UW
a,'AH', s, 
go,'G OW', s, 
she,'SH IY', s, IY
not,'N AA T', s, AA
the,'DH AH', s, 
of,'AH V', s, 
tar,'T AA R', s, AA
nor,'N AO R', s, AO
of,'AH V', s, 
yet,'Y EH T', s, 
a,'AH', s, 
she,'SH IY', s, IY
did,'D IH D', s, IH
then,'DH EH N', s, 
to,'T UW', s, UW
sea,'S IY', s, IY
and,'AH N D', s, 
let,'L EH T', s, 
go,'G OW', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
a,'AH', s, 
too,'T UW', s, UW
but,'B AH T', s, 
my,'M AY', s, AY
comfort,'K ɤ M F ǝ R T', s, 
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
we,'W IY', s, IY
devils,'D EH V AH L Z', s, 
do,'D OW', s, 
you,'Y UW', s, UW
put,'P UH T', s, UH
upon,'AH P AA N', s, AA
's,'EH S', s, 
with,'W IH DH', s, IH
savages,'S AE V AH JH AH Z', s, AE
and,'AH N D', s, 
men,'M EH N', s, 
of,'AH V', s, 
i,'AY', s, AY
not,'N AA T', s, AA
to,'T UW', s, UW
be,'B IY', s, IY
of,'AH V', s, 
your,'Y AO R', s, AO
four,'F AO R', s, AO
legs,'L EH G Z', s, 
for,'F AO R', s, AO
it,'IH T', s, IH
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
said,'S EH D', s, 
as,'AE Z', s, AE
a,'AH', s, 
man,'M AE N', s, AE
as,'AE Z', s, AE
went,'W EH N T', s, 
on,'AA N', s, AA
four,'F AO R', s, AO
legs,'L EH G Z', s, 
cannot,'K AE N AA T', s, AE AA
him,'HH IH M', s, IH
and,'AH N D', s, 
it,'IH T', s, IH
shall,'SH AE L', s, AE
be,'B IY', s, IY
said,'S EH D', s, 
so,'S OW', s, 
again,'ǝ ɡ EH N', s, 
nostrils,'N AA S T R AH L Z', s, AA
this,'DH IH S', s, IH
is,'IH Z', s, IH
monster,'M ɒ N S T ǝ R', s, 
of,'AH V', s, 
the,'DH AH', s, 
with,'W IH DH', s, IH
four,'F AO R', s, AO
legs,'L EH G Z', s, 
who,'HH UW', s, UW
hath,'HH AE TH', s, AE
got,'G AA T', s, AA
as,'AE Z', s, AE
i,'AY', s, AY
it,'IH T', s, IH
an,'AE N', s, AE
the,'DH AH', s, 
devil,'D IH V ǝ L', s, IH
he,'HH IY', s, IY
our,'OW R', s, 
i,'AY', s, AY
will,'W IH L', s, IH
him,'HH IH M', s, IH
relief,'R IH L IY F', s, IH IY
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
but,'B AH T', s, 
for,'F AO R', s, AO
that,'DH AE T', s, AE
if,'IH F', s, IH
i,'AY', s, AY
can,'K AE N', s, AE
recover,'r IH K ɤ V ǝ R', s, IH
him,'HH IH M', s, IH
and,'AH N D', s, 
keep,'K IY P', s, IY
him,'HH IH M', s, IH
and,'AH N D', s, 
get,'G EH T', s, 
to,'T UW', s, UW
naples,'N EY P AH L Z', s, EY
with,'W IH DH', s, IH
him,'HH IH M', s, IH
a,'AH', s, 
present,'P r IH Z e N T', s, IH
for,'F AO R', s, AO
that,'DH AE T', s, AE
trod,'T R AA D', s, AA
on,'AA N', s, AA
leather,'L e DH ǝ R', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
fit,'F IH T', s, IH
and,'AH N D', s, 
does,'D AH Z', s, 
not,'N AA T', s, AA
after,'AW F T ǝ R', s, 
the,'DH AH', s, 
wisest,'W AY Z AH S T', s, AY
he,'HH IY', s, IY
shall,'SH AE L', s, AE
of,'AH V', s, 
my,'M AY', s, AY
if,'IH F', s, IH
he,'HH IY', s, IY
never,'N e V ǝ R', s, 
drunk,'D R AH NG K', s, 
it,'IH T', s, IH
will,'W IH L', s, IH
go,'G OW', s, 
