my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
of,'AH V', s, 
great,'G r e T', s, 
the,'DH AH', s, 
i,'AY', s, AY
to,'T UW', s, UW
tell,'T EH L', s, 
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
is,'IH Z', s, IH
that,'DH AE T', s, AE
by,'B AY', s, AY
sudden,'S AH D AH N', s, 
floods,'F L AH D Z', s, 
and,'AH N D', s, 
fall,'F AA L', s, AA
of,'AH V', s, 
waters,'W AA T ǝ R Z', s, AA
is,'IH Z', s, IH
and,'AH N D', s, 
scattered,'S K AW T ǝ R D', s, 
and,'AH N D', s, 
he,'HH IY', s, IY
himself,'HH IH M S EH L F', s, IH
no,'N OW', s, 
man,'M AE N', s, AE
proclamation,'P R AA K L AH M EY SH AH N', s, AA EY
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
