is,'IH Z', s, IH
the,'DH AH', s, 
robin,'R AA B AH N', s, AA
you,'Y UW', s, UW
must,'M AH S T', s, 
snout,'S N AW T', s, 
the,'DH AH', s, 
you,'Y UW', s, UW
the,'DH AH', s, 
you,'Y UW', s, UW
the,'DH AH', s, 
lion's,'L AY AH N Z', s, AY
part,'P AA R T', s, AA
and,'AH N D', s, 
i,'AY', s, AY
is,'IH Z', s, IH
a,'AH', s, 
fitted,'F IH T AH D', s, IH
you,'Y UW', s, UW
do,'D OW', s, 
it,'IH T', s, IH
for,'F AO R', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
but,'B AH T', s, 
an,'AE N', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
it,'IH T', s, IH
too,'T UW', s, UW
you,'Y UW', s, UW
the,'DH AH', s, 
duchess,'D AH CH AH S', s, 
and,'AH N D', s, 
the,'DH AH', s, 
ladies,'L EY D IY Z', s, EY IY
that,'DH AE T', s, AE
and,'AH N D', s, 
that,'DH AE T', s, AE
wre,'W ER', s, 
to,'T UW', s, UW
us,'AH S', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
us,'AH S', s, 
every,'e V r ǝ IH', s, IH
son,'S AO ̃', s, AO
you,'Y UW', s, UW
can,'K AE N', s, AE
no,'N OW', s, 
part,'P AA R T', s, AA
but,'B AH T', s, 
for,'F AO R', s, AO
is,'IH Z', s, IH
a,'AH', s, 
man,'M AE N', s, AE
a,'AH', s, 
man,'M AE N', s, AE
as,'AE Z', s, AE
shall,'SH AE L', s, AE
see,'S IY', s, IY
in,'IH N', s, IH
a,'AH', s, 
a,'AH', s, 
most,'M OW S T', s, 
lovely,'L ɤ V L ǝ IH', s, IH
man,'M AE N', s, AE
therefre,'DH EH R F AO R', s, AO
you,'Y UW', s, UW
must,'M AH S T', s, 
needs,'N IY D Z', s, IY
whhy,'ʍ ǝ IH', s, IH
what,'W AH T', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
of,'AH V', s, 
your,'Y AO R', s, AO
french,'F R EH N CH', s, 
crowns,'K r ǝ UH N Z', s, UH
no,'N OW', s, 
hair,'HH EH R', s, 
at,'AE T', s, AE
all,'AA L', s, AA
and,'AH N D', s, 
then,'DH EH N', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
but,'B AH T', s, 
masters,'M AW S T ǝ R Z', s, 
your,'Y AO R', s, AO
parts,'P AA R T S', s, AA
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
to,'T UW', s, UW
you,'Y UW', s, UW
you,'Y UW', s, UW
and,'AH N D', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
con,'K ɒ N', s, 
them,'DH EH M', s, 
by,'B AY', s, AY
and,'AH N D', s, 
meet,'M IY T', s, IY
me,'M IY', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
wood,'W UH D', s, UH
a,'AH', s, 
the,'DH AH', s, 
by,'B AY', s, AY
will,'W IH L', s, IH
we,'W IY', s, IY
rehease,'R IY HH ER S', s, IY
for,'F AO R', s, AO
if,'IH F', s, IH
we,'W IY', s, IY
meet,'M IY T', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
we,'W IY', s, IY
shall,'SH AE L', s, AE
be,'B IY', s, IY
dogged,'D ɒ G IH D', s, IH
with,'W IH DH', s, IH
company,'K AH M P AH N IY', s, IY
and,'AH N D', s, 
our,'OW R', s, 
devices,'D IH V AY S AH Z', s, IH AY
in,'IH N', s, IH
the,'DH AH', s, 
i,'AY', s, AY
will,'W IH L', s, IH
a,'AH', s, 
bill,'B IH L', s, IH
of,'AH V', s, 
as,'AE Z', s, AE
our,'OW R', s, 
wants,'W AA N T S', s, AA
i,'AY', s, AY
you,'Y UW', s, UW
fail,'F EH L', s, 
me,'M IY', s, IY
not,'N AA T', s, AA
at,'AE T', s, AE
the,'DH AH', s, 
oak,'OW K', s, 
we,'W IY', s, IY
meet,'M IY T', s, IY
pat,'P AE T', s, AE
pat,'P AE T', s, AE
and,'AH N D', s, 
a,'AH', s, 
marvels,'M AA R V ǝ L Z', s, AA
for,'F AO R', s, AO
our,'OW R', s, 
this,'DH IH S', s, IH
green,'G R IY N', s, IY
plot,'P L AA T', s, AA
shall,'SH AE L', s, AE
be,'B IY', s, IY
our,'OW R', s, 
this,'DH IH S', s, IH
our,'OW R', s, 
and,'AH N D', s, 
we,'W IY', s, IY
will,'W IH L', s, IH
do,'D OW', s, 
it,'IH T', s, IH
in,'IH N', s, IH
action,'AE K SH AH N', s, AE
as,'AE Z', s, AE
we,'W IY', s, IY
will,'W IH L', s, IH
do,'D OW', s, 
it,'IH T', s, IH
the,'DH AH', s, 
what,'W AH T', s, 
thou,'DH AW', s, 
bullly,'B UH L ə IH', s, UH IH
bottom,'B AA T AH M', s, AA
well,'W EH L', s, 
we,'W IY', s, IY
will,'W IH L', s, IH
a,'AH', s, 
and,'AH N D', s, 
it,'IH T', s, IH
shall,'SH AE L', s, AE
be,'B IY', s, IY
written,'R IH T AH N', s, IH
in,'IH N', s, IH
and,'AH N D', s, 
well,'W EH L', s, 
it,'IH T', s, IH
shall,'SH AE L', s, AE
be,'B IY', s, IY
so,'S OW', s, 
but,'B AH T', s, 
is,'IH Z', s, IH
that,'DH AE T', s, AE
is,'IH Z', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
into,'IH N T UW', s, IH UW
a,'AH', s, 
for,'F AO R', s, AO
you,'Y UW', s, UW
and,'AH N D', s, 
meet,'M IY T', s, IY
by,'B AY', s, AY
yes,'Y IH S', s, IH
it,'IH T', s, IH
doth,'D AO TH', s, AO
that,'DH AE T', s, AE
or,'AO R', s, AO
must,'M AH S T', s, 
in,'IH N', s, IH
with,'W IH DH', s, IH
a,'AH', s, 
bush,'B UH SH', s, UH
of,'AH V', s, 
thorns,'TH AO R N Z', s, AO
and,'AH N D', s, 
a,'AH', s, 
lantern,'L AW N T ǝ R N', s, 
and,'AH N D', s, 
he,'HH IY', s, IY
to,'T UW', s, UW
or,'AO R', s, AO
to,'T UW', s, UW
present,'P r IH Z e N T', s, IH
the,'DH AH', s, 
of,'AH V', s, 
then,'DH EH N', s, 
is,'IH Z', s, IH
another,'ǝ N ɤ DH ǝ R', s, 
we,'W IY', s, IY
must,'M AH S T', s, 
a,'AH', s, 
wall,'W AO L', s, AO
in,'IH N', s, IH
the,'DH AH', s, 
great,'G r e T', s, 
for,'F AO R', s, AO
and,'AH N D', s, 
the,'DH AH', s, 
story,'S T AO R IY', s, AO IY
did,'D IH D', s, IH
the,'DH AH', s, 
chink,'CH IH NG K', s, IH
of,'AH V', s, 
a,'AH', s, 
wall,'W AO L', s, AO
if,'IH F', s, IH
that,'DH AE T', s, AE
be,'B IY', s, IY
then,'DH EH N', s, 
all,'AA L', s, AA
is,'IH Z', s, IH
well,'W EH L', s, 
sit,'S IH T', s, IH
down,'D ǝ UH N', s, UH
every,'e V r ǝ IH', s, IH
son,'S AO ̃', s, AO
and,'AH N D', s, 
rehease,'R IY HH ER S', s, IY
your,'Y AO R', s, AO
parts,'P AA R T S', s, AA
you,'Y UW', s, UW
begin,'B IH G IH N', s, IH IH
when,'ʍ e N', s, 
you,'Y UW', s, UW
spoken,'S P IY K ǝ N', s, IY
your,'Y AO R', s, AO
speech,'S P IY CH', s, IY
enter,'e N T ǝ R', s, 
into,'IH N T UW', s, IH UW
that,'DH AE T', s, AE
and,'AH N D', s, 
so,'S OW', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
speak,'S P IY K', s, IY
stand,'S T AE N D', s, AE
forth,'F AO R TH', s, AO
marrry,'M AW r ǝ IH', s, IH
must,'M AH S T', s, 
you,'Y UW', s, UW
for,'F AO R', s, AO
you,'Y UW', s, UW
must,'M AH S T', s, 
he,'HH IY', s, IY
goes,'G OW Z', s, 
but,'B AH T', s, 
to,'T UW', s, UW
see,'S IY', s, IY
a,'AH', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
and,'AH N D', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
again,'ǝ ɡ EH N', s, 
man,'M AE N', s, AE
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
must,'M AH S T', s, 
not,'N AA T', s, AA
speak,'S P IY K', s, IY
that,'DH AE T', s, AE
yet,'Y EH T', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
to,'T UW', s, UW
you,'Y UW', s, UW
speak,'S P IY K', s, IY
all,'AA L', s, AA
your,'Y AO R', s, AO
part,'P AA R T', s, AA
at,'AE T', s, AE
and,'AH N D', s, 
enter,'e N T ǝ R', s, 
your,'Y AO R', s, AO
is,'IH Z', s, IH
past,'P AW S T', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
never,'N e V ǝ R', s, 
o,'OW', s, 
o,'OW', s, 
we,'W IY', s, IY
masters,'M AW S T ǝ R Z', s, 
masters,'M AW S T ǝ R Z', s, 
bless,'B L EH S', s, 
thee,'DH IY', s, IY
bottom,'B AA T AH M', s, AA
bless,'B L EH S', s, 
thee,'DH IY', s, IY
thou,'DH AW', s, 
art,'AA R T', s, AA
translated,'T r AW N S L EH T IH D', s, IH
you,'Y UW', s, UW
sent,'S EH N T', s, 
to,'T UW', s, UW
is,'IH Z', s, IH
he,'HH IY', s, IY
hme,'OW M', s, 
yet,'Y EH T', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
you,'Y UW', s, UW
not,'N AA T', s, AA
a,'AH', s, 
man,'M AE N', s, AE
in,'IH N', s, IH
all,'AA L', s, AA
athens,'AW T ǝ N Z', s, 
to,'T UW', s, UW
but,'B AH T', s, 
he,'HH IY', s, IY
yea,'Y EH', s, 
and,'AH N D', s, 
the,'DH AH', s, 
best,'B EH S T', s, 
too,'T UW', s, UW
and,'AH N D', s, 
he,'HH IY', s, IY
is,'IH Z', s, IH
a,'AH', s, 
very,'V EH R IY', s, IY
for,'F AO R', s, AO
a,'AH', s, 
sweet,'S W IY T', s, IY
bottom,'B AA T AH M', s, AA
o,'OW', s, 
most,'M OW S T', s, 
o,'OW', s, 
most,'M OW S T', s, 
let,'L EH T', s, 
us,'AH S', s, 
sweet,'S W IY T', s, IY
bottom,'B AA T AH M', s, AA
if,'IH F', s, IH
we,'W IY', s, IY
offend,'AH F EH N D', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
with,'W IH DH', s, IH
our,'OW R', s, 
goodwill,'G UH D W IH L', s, UH IH
that,'DH AE T', s, AE
you,'Y UW', s, UW
think,'TH IH NG K', s, IH
we,'W IY', s, IY
not,'N AA T', s, AA
to,'T UW', s, UW
offend,'AH F EH N D', s, 
but,'B AH T', s, 
with,'W IH DH', s, IH
goodwill,'G UH D W IH L', s, UH IH
to,'T UW', s, UW
our,'OW R', s, 
skill,'S K IH L', s, IH
that,'DH AE T', s, AE
is,'IH Z', s, IH
the,'DH AH', s, 
true,'T R UW', s, UW
of,'AH V', s, 
our,'OW R', s, 
end,'EH N D', s, 
then,'DH EH N', s, 
we,'W IY', s, IY
but,'B AH T', s, 
in,'IH N', s, IH
we,'W IY', s, IY
do,'D OW', s, 
not,'N AA T', s, AA
as,'AE Z', s, AE
minding,'M ǝ IH N D IH N', s, IH IH
to,'T UW', s, UW
content,'K ǝ N T e N T', s, 
you,'Y UW', s, UW
our,'OW R', s, 
true,'T R UW', s, UW
intent,'IH N T EH N T', s, IH
is,'IH Z', s, IH
all,'AA L', s, AA
for,'F AO R', s, AO
your,'Y AO R', s, AO
we,'W IY', s, IY
not,'N AA T', s, AA
that,'DH AE T', s, AE
you,'Y UW', s, UW
repent,'R IH P EH N T', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
at,'AE T', s, AE
and,'AH N D', s, 
by,'B AY', s, AY
their,'DH EH R', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
all,'AA L', s, AA
that,'DH AE T', s, AE
you,'Y UW', s, UW
to,'T UW', s, UW
gentles,'JH EH N T AH L Z', s, 
perchace,'P ER CH AE N S', s, AE
you,'Y UW', s, UW
wonder,'W ɤ N D ǝ R', s, 
at,'AE T', s, AE
this,'DH IH S', s, IH
but,'B AH T', s, 
wonder,'W ɤ N D ǝ R', s, 
on,'AA N', s, AA
till,'T IH L', s, IH
truth,'T R UW TH', s, UW
all,'AA L', s, AA
plain,'P L EH N', s, 
this,'DH IH S', s, IH
man,'M AE N', s, AE
is,'IH Z', s, IH
if,'IH F', s, IH
you,'Y UW', s, UW
this,'DH IH S', s, IH
lady,'L EY D IY', s, EY IY
is,'IH Z', s, IH
certain,'S ɐ R T ǝ N', s, 
this,'DH IH S', s, IH
man,'M AE N', s, AE
with,'W IH DH', s, IH
and,'AH N D', s, 
roughcast,'r ɤ F ˌ K AW S T', s, 
doth,'D AO TH', s, AO
present,'P r IH Z e N T', s, IH
wall,'W AO L', s, AO
that,'DH AE T', s, AE
wall,'W AO L', s, AO
did,'D IH D', s, IH
sunder,'S ɤ N D ǝ R', s, 
and,'AH N D', s, 
chink,'CH IH NG K', s, IH
poor,'P UH R', s, UH
souls,'S OW L Z', s, 
content,'K ǝ N T e N T', s, 
to,'T UW', s, UW
whisper,'ʍ IH S P ǝ R', s, IH
at,'AE T', s, AE
the,'DH AH', s, 
let,'L EH T', s, 
no,'N OW', s, 
man,'M AE N', s, AE
wonder,'W ɤ N D ǝ R', s, 
this,'DH IH S', s, IH
man,'M AE N', s, AE
with,'W IH DH', s, IH
lantern,'L AW N T ǝ R N', s, 
dog,'D AO G', s, AO
and,'AH N D', s, 
bush,'B UH SH', s, UH
of,'AH V', s, 
thorn,'TH AO R N', s, AO
presenteth,'P r IH Z e N T ǝ TH', s, IH
for,'F AO R', s, AO
if,'IH F', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
by,'B AY', s, AY
did,'D IH D', s, IH
think,'TH IH NG K', s, IH
no,'N OW', s, 
to,'T UW', s, UW
meet,'M IY T', s, IY
at,'AE T', s, AE
to,'T UW', s, UW
woo,'W UW', s, UW
this,'DH IH S', s, IH
beast,'B e S T', s, 
by,'B AY', s, AY
the,'DH AH', s, 
by,'B AY', s, AY
did,'D IH D', s, IH
or,'AO R', s, AO
did,'D IH D', s, IH
and,'AH N D', s, 
as,'AE Z', s, AE
she,'SH IY', s, IY
fled,'F L EH D', s, 
she,'SH IY', s, IY
did,'D IH D', s, IH
fall,'F AA L', s, AA
with,'W IH DH', s, IH
bloody,'B L AH D IY', s, IY
did,'D IH D', s, IH
stain,'S T EH N', s, 
sweet,'S W IY T', s, IY
youth,'Y UW TH', s, UW
and,'AH N D', s, 
tall,'T AO L', s, AO
and,'AH N D', s, 
his,'HH IH Z', s, IH
slain,'S L EH N', s, 
with,'W IH DH', s, IH
with,'W IH DH', s, IH
bloody,'B L AH D IY', s, IY
he,'HH IY', s, IY
his,'HH IH Z', s, IH
boiling,'B ə IH L IH N', s, IH IH
bloody,'B L AH D IY', s, IY
breast,'B R EH S T', s, 
and,'AH N D', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
and,'AH N D', s, 
died,'D AY D', s, AY
for,'F AO R', s, AO
all,'AA L', s, AA
the,'DH AH', s, 
rest,'R EH S T', s, 
let,'L EH T', s, 
wall,'W AO L', s, AO
and,'AH N D', s, 
twain,'T W EY N', s, EY
at,'AE T', s, AE
do,'D OW', s, 
remain,'r IH M EH N', s, IH
