is, IH1 Z , s, 
this, DH IH1 S , s, 
athenian, ǝ ˈ T IY : N IH ǝ N, s, 
minion, M IH1 N Y AH0 N , s, 
whom, HH UW1 M , s, 
the, DH AH0 , s, 
world, W ER1 L D , s, 
voiced, V ǝ IH S T, s, 
so, S OW :, s, 
regardfully, r IH ˈ G AA : R D F ǝ ˌ L ǝ IH, s, 
yes, Y IH S, s, 
hang, AW NG, s, 
thee, DH IY1 , s, 
monster, ˈ M ɒ N S T ǝ R, s, 
give, G IH1 V , s, 
us, AH1 S , s, 
some, S AH1 M , s, 
gold, G OW : L D, s, 
good, G UH1 D , s, 
timon, ˈ T ǝ IH M ǝ N, s, 
hast, HH AE1 S T , s, 
thou, DH AW1 , s, 
more, M AO1 R , s, 
well, W EH1 L , s, 
more, M AO1 R , s, 
gold, G OW : L D, s, 
what, W AH1 T , s, 
then, DH EH1 N , s, 
believe, B IH0 L IY1 V , s, 
that, DH AE1 T , s, 
we'll, W IY1 L , s, 
do, D OW :, s, 
anything, EH1 N IY0 TH IH2 NG , s, 
for, F AO1 R , s, 
gold, G OW : L D, s, 
more, M AO1 R , s, 
counsel, ˈ K ǝ UH N S ǝ L, s, 
with, W IH1 DH , s, 
more, M AO1 R , s, 
money, M AH1 N IY0 , s, 
bounteous, ˈ B ə UH N T IH ə S, s, 
timon, ˈ T ǝ IH M ǝ N, s, 
is, IH1 Z , s, 
this, DH IH1 S , s, 
athenian, ǝ ˈ T IY : N IH ǝ N, s, 
minion, M IH1 N Y AH0 N , s, 
whom, HH UW1 M , s, 
the, DH AH0 , s, 
world, W ER1 L D , s, 
voiced, V ǝ IH S T, s, 
so, S OW :, s, 
regardfully, r IH ˈ G AA : R D F ǝ ˌ L ǝ IH, s, 
yes, Y IH S, s, 
hang, AW NG, s, 
thee, DH IY1 , s, 
monster, ˈ M ɒ N S T ǝ R, s, 
give, G IH1 V , s, 
us, AH1 S , s, 
some, S AH1 M , s, 
gold, G OW : L D, s, 
good, G UH1 D , s, 
timon, ˈ T ǝ IH M ǝ N, s, 
hast, HH AE1 S T , s, 
thou, DH AW1 , s, 
more, M AO1 R , s, 
well, W EH1 L , s, 
more, M AO1 R , s, 
gold, G OW : L D, s, 
what, W AH1 T , s, 
then, DH EH1 N , s, 
believe, B IH0 L IY1 V , s, 
that, DH AE1 T , s, 
we'll, W IY1 L , s, 
do, D OW :, s, 
anything, EH1 N IY0 TH IH2 NG , s, 
for, F AO1 R , s, 
gold, G OW : L D, s, 
more, M AO1 R , s, 
counsel, ˈ K ǝ UH N S ǝ L, s, 
with, W IH1 DH , s, 
more, M AO1 R , s, 
money, M AH1 N IY0 , s, 
bounteous, ˈ B ə UH N T IH ə S, s, 
timon, ˈ T ǝ IH M ǝ N, s, 
is, IH1 Z , s, 
this, DH IH1 S , s, 
athenian, ǝ ˈ T IY : N IH ǝ N, s, 
minion, M IH1 N Y AH0 N , s, 
whom, HH UW1 M , s, 
the, DH AH0 , s, 
world, W ER1 L D , s, 
voiced, V ǝ IH S T, s, 
so, S OW :, s, 
regardfully, r IH ˈ G AA : R D F ǝ ˌ L ǝ IH, s, 
yes, Y IH S, s, 
hang, AW NG, s, 
thee, DH IY1 , s, 
monster, ˈ M ɒ N S T ǝ R, s, 
give, G IH1 V , s, 
us, AH1 S , s, 
some, S AH1 M , s, 
gold, G OW : L D, s, 
good, G UH1 D , s, 
timon, ˈ T ǝ IH M ǝ N, s, 
hast, HH AE1 S T , s, 
thou, DH AW1 , s, 
more, M AO1 R , s, 
well, W EH1 L , s, 
more, M AO1 R , s, 
gold, G OW : L D, s, 
what, W AH1 T , s, 
then, DH EH1 N , s, 
believe, B IH0 L IY1 V , s, 
that, DH AE1 T , s, 
we'll, W IY1 L , s, 
do, D OW :, s, 
anything, EH1 N IY0 TH IH2 NG , s, 
for, F AO1 R , s, 
gold, G OW : L D, s, 
more, M AO1 R , s, 
counsel, ˈ K ǝ UH N S ǝ L, s, 
with, W IH1 DH , s, 
more, M AO1 R , s, 
money, M AH1 N IY0 , s, 
bounteous, ˈ B ə UH N T IH ə S, s, 
timon, ˈ T ǝ IH M ǝ N, s, 
