by, B AY1 , s, 
your, Y AO1 R , s, 
leave, L IY1 V , s, 
sir, S ER1 , s, 
no, N OW :, s, 
matter, ˈ M AW T ǝ R, s, 
what, W AH1 T , s, 
he's, HH IY1 Z , s, 
poor, P UW1 R , s, 
and, AH0 N D , s, 
that's, DH AE1 T S , s, 
revenge, R IY0 V EH1 N JH , s, 
enough, IH ˈ N ɤ F, s, 
who, HH UW1 , s, 
can, K AE1 N , s, 
speak, S P IY : K, s, 
broader, B R AO1 D ER0 , s, 
than, DH AE1 N , s, 
he, HH IY1 , s, 
that, DH AE1 T , s, 
has, AW Z, s, 
no, N OW :, s, 
house, ǝ UH Z, s, 
to, T UW1 , s, 
put, P UH1 T , s, 
his, HH IH1 Z , s, 
head, e D, s, 
in, IH N, s, 
such, S ɤ T SH, s, 
may, M EH: :, s, 
rail, r EH: : L, s, 
against, AH0 G EH1 N S T , s, 
great, G r e T, s, 
buildings, B IH1 L D IH0 NG Z , s, 
and, AH0 N D , s, 
ours, OW : R Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
by, B AY1 , s, 
your, Y AO1 R , s, 
leave, L IY1 V , s, 
sir, S ER1 , s, 
no, N OW :, s, 
matter, ˈ M AW T ǝ R, s, 
what, W AH1 T , s, 
he's, HH IY1 Z , s, 
poor, P UH1 R , s, 
and, AH0 N D , s, 
that's, DH AE1 T S , s, 
revenge, R IY0 V EH1 N JH , s, 
enough, IH ˈ N ɤ F, s, 
who, HH UW1 , s, 
can, K AE1 N , s, 
speak, S P IY : K, s, 
broader, B R AO1 D ER0 , s, 
than, DH AE1 N , s, 
he, HH IY1 , s, 
that, DH AE1 T , s, 
has, AW Z, s, 
no, N OW :, s, 
house, ǝ UH Z, s, 
to, T UW1 , s, 
put, P UH1 T , s, 
his, HH IH1 Z , s, 
head, e D, s, 
in, IH N, s, 
such, S ɤ T SH, s, 
may, M EH: :, s, 
rail, r EH: : L, s, 
against, AH0 G EH1 N S T , s, 
great, G r e T, s, 
buildings, B IH1 L D IH0 NG Z , s, 
and, AH0 N D , s, 
ours, OW : R Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
by, B AY1 , s, 
your, Y AO1 R , s, 
leave, L IY1 V , s, 
sir, S ER1 , s, 
no, N OW :, s, 
matter, ˈ M AW T ǝ R, s, 
what, W AH1 T , s, 
he's, HH IY1 Z , s, 
poor, P UH1 R , s, 
and, AH0 N D , s, 
that's, DH AE1 T S , s, 
revenge, R IY0 V EH1 N JH , s, 
enough, IH ˈ N ɤ F, s, 
who, HH UW1 , s, 
can, K AE1 N , s, 
speak, S P IY : K, s, 
broader, B R AO1 D ER0 , s, 
than, DH AE1 N , s, 
he, HH IY1 , s, 
that, DH AE1 T , s, 
has, AW Z, s, 
no, N OW :, s, 
house, ǝ UH Z, s, 
to, T UW1 , s, 
put, P UH1 T , s, 
his, HH IH1 Z , s, 
head, e D, s, 
in, IH N, s, 
such, S ɤ T SH, s, 
may, M EH: :, s, 
rail, r EH: : L, s, 
against, AH0 G EH1 N S T , s, 
great, G r e T, s, 
buildings, B IH1 L D IH0 NG Z , s, 
and, AH0 N D , s, 
ours, OW : R Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
