was,'W AA Z', s, AA
a,'AH', s, 
fourth,'F AO R TH', s, AO
man,'M AE N', s, AE
in,'IH N', s, IH
a,'AH', s, 
habit,'HH AE B AH T', s, AE
that,'DH AE T', s, AE
with,'W IH DH', s, IH
them,'DH EH M', s, 
on,'AA N', s, AA
him,'HH IH M', s, IH
a,'AH', s, 
dog,'D AO G', s, AO
a,'AH', s, 
leg,'L EH G', s, 
of,'AH V', s, 
shall,'SH AE L', s, AE
not,'N AA T', s, AA
return,'r IH T ɐ R N', s, IH
to,'T UW', s, UW
tell,'T EH L', s, 
what,'W AH T', s, 
them,'DH EH M', s, 
he,'HH IY', s, IY
brags,'B R AE G Z', s, AE
his,'HH IH Z', s, IH
as,'AE Z', s, AE
if,'IH F', s, IH
he,'HH IY', s, IY
wre,'W ER', s, 
of,'AH V', s, 
him,'HH IH M', s, IH
to,'T UW', s, UW
