come, K ɤ M, s, 
come, K ɤ M, s, 
dispatch, D IH0 S P AE1 CH , s, 
'tis, T IH1 Z , s, 
to, T UW1 , s, 
exclaim, IH K S ˈ K L EH: : M, s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
head, e D, s, 
of, AH1 V , s, 
that, DH AE1 T , s, 
ignoble, IH G ˈ N OW : B ǝ L, s, 
traitor, T R EY1 T ER0 , s, 
the, DH AH0 , s, 
dangerous, D EY1 N JH ER0 AH0 S , s, 
and, AH0 N D , s, 
unsuspected, AH2 N S AH0 S P EH1 K T IH0 D , s, 
hastings, HH EY1 S T IH0 NG Z , s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
dispatch, D IH0 S P AE1 CH , s, 
'tis, T IH1 Z , s, 
to, T UW1 , s, 
exclaim, IH K S ˈ K L EH: : M, s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
head, e D, s, 
of, AH1 V , s, 
that, DH AE1 T , s, 
ignoble, IH G ˈ N OW : B ǝ L, s, 
traitor, T R EY1 T ER0 , s, 
the, DH AH0 , s, 
dangerous, D EY1 N JH ER0 AH0 S , s, 
and, AH0 N D , s, 
unsuspected, AH2 N S AH0 S P EH1 K T IH0 D , s, 
hastings, HH EY1 S T IH0 NG Z , s, 
come, K ɤ M, s, 
come, K ɤ M, s, 
dispatch, D IH0 S P AE1 CH , s, 
'tis, T IH1 Z , s, 
to, T UW1 , s, 
exclaim, IH K S ˈ K L EH: : M, s, 
here, HH IY1 R , s, 
is, IH1 Z , s, 
the, DH AH0 , s, 
head, e D, s, 
of, AH1 V , s, 
that, DH AE1 T , s, 
ignoble, IH G ˈ N OW : B ǝ L, s, 
traitor, T R EY1 T ER0 , s, 
the, DH AH0 , s, 
dangerous, D EY1 N JH ER0 AH0 S , s, 
and, AH0 N D , s, 
unsuspected, AH2 N S AH0 S P EH1 K T IH0 D , s, 
hastings, HH EY1 S T IH0 NG Z , s, 
