i,'AY', s, AY
tell,'T EH L', s, 
thee,'DH IY', s, IY
she,'SH IY', s, IY
is,'IH Z', s, IH
therefre,'DH EH R F AO R', s, AO
the,'DH AH', s, 
crowner,'K r ǝ UH N ǝ R', s, UH
hath,'HH AE TH', s, AE
sat,'S AE T', s, AE
on,'AA N', s, AA
and,'AH N D', s, 
it,'IH T', s, IH
chhristian,'K r IH S T IH ǝ N', s, IH IH
whhy,'ʍ ǝ IH', s, IH
so,'S OW', s, 
but,'B AH T', s, 
you,'Y UW', s, UW
goodman,'G UH D M AH N', s, UH
but,'B AH T', s, 
is,'IH Z', s, IH
this,'DH IH S', s, IH
will,'W IH L', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
truth,'T R UW TH', s, UW
on,'AA N', s, AA
if,'IH F', s, IH
this,'DH IH S', s, IH
had,'HH AE D', s, AE
not,'N AA T', s, AA
been,'B IH N', s, IH
a,'AH', s, 
gentlewoman,'JH EH N T AH L W UH M AH N', s, UH
she,'SH IY', s, IY
been,'B IH N', s, IH
out,'AW T', s, 
chhristian,'K r IH S T IH ǝ N', s, IH IH
was,'W AA Z', s, AA
he,'HH IY', s, IY
a,'AH', s, 
gentleman,'JH EH N T AH L M AH N', s, 
whhy,'ʍ ǝ IH', s, IH
he,'HH IY', s, IY
had,'HH AE D', s, AE
go,'G OW', s, 
to,'T UW', s, UW
the,'DH AH', s, 
gallows-maker,'G AW L ǝ Z - ˌ M EH K ǝ R', s, 
for,'F AO R', s, AO
that,'DH AE T', s, AE
a,'AH', s, 
tenants,'T EH N AH N T S', s, 
who,'HH UW', s, UW
builds,'B IH L D Z', s, IH
stronger,'S T r ɒ NG G ǝ R', s, 
than,'DH AE N', s, AE
a,'AH', s, 
mason,'M EY S AH N', s, EY
a,'AH', s, 
or,'AO R', s, AO
a,'AH', s, 
carpenter,'K AA R P IH N T ǝ R', s, AA IH
marrry,'M AW r ǝ IH', s, IH
i,'AY', s, AY
can,'K AE N', s, AE
tell,'T EH L', s, 
mass,'M AW S', s, 
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
tell,'T EH L', s, 
