macbeth, M AH0 K B EH1 TH , s, 
hark, AA : R K, s, 
i, AY1 , s, 
hear, IY : R, s, 
horses, HH AO1 R S AH0 Z , s, 
almost, ˈ AA : L M OW : S T, s, 
a, AH0 , s, 
mile, M AY1 L , s, 
but, B AH1 T , s, 
he, HH IY1 , s, 
does, D AH1 Z , s, 
usually, ˈ Y UW : Z W AA L ǝ IH, s, 
so, S OW :, s, 
all, AA : L, s, 
men, M EH1 N , s, 
do, D OW :, s, 
from, F R AH1 M , s, 
hence, HH EH1 N S , s, 
to, T UW1 , s, 
palace, P AE1 L AH0 S , s, 
gate, G EH: : T, s, 
make, M EH: : K, s, 
it, IH1 T , s, 
their, DH EH1 R , s, 
walk, W AO1 K , s, 
'tis, T IH1 Z , s, 
he, HH IY1 , s, 
who, HH UW1 , s, 
did, D IH1 D , s, 
strike, ǝ IH K, s, 
out, AW1 T , s, 
the, DH AH0 , s, 
light, L ǝ IH T, s, 
there's, DH EH1 R Z , s, 
but, B AH1 T , s, 
one, W AH1 N , s, 
down, D ǝ UH N, s, 
the, DH AH0 , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
fled, F L EH1 D , s, 
macbeth, M AH0 K B EH1 TH , s, 
hark, AA : R K, s, 
i, AY1 , s, 
hear, IY : R, s, 
horses, HH AO1 R S AH0 Z , s, 
almost, ˈ AA : L M OW : S T, s, 
a, AH0 , s, 
mile, M AY1 L , s, 
but, B AH1 T , s, 
he, HH IY1 , s, 
does, D AH1 Z , s, 
usually, ˈ Y UW : Z W AA L ǝ IH, s, 
so, S OW :, s, 
all, AA : L, s, 
men, M EH1 N , s, 
do, D OW :, s, 
from, F R AH1 M , s, 
hence, HH EH1 N S , s, 
to, T UW1 , s, 
palace, P AE1 L AH0 S , s, 
gate, G EH: : T, s, 
make, M EH: : K, s, 
it, IH1 T , s, 
their, DH EH1 R , s, 
walk, W AO1 K , s, 
'tis, T IH1 Z , s, 
he, HH IY1 , s, 
who, HH UW1 , s, 
did, D IH1 D , s, 
strike, ǝ IH K, s, 
out, AW1 T , s, 
the, DH AH0 , s, 
light, L ǝ IH T, s, 
there's, DH EH1 R Z , s, 
but, B AH1 T , s, 
one, W AH1 N , s, 
down, D ǝ UH N, s, 
the, DH AH0 , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
fled, F L EH1 D , s, 
macbeth, M AH0 K B EH1 TH , s, 
hark, AA : R K, s, 
i, AY1 , s, 
hear, IY : R, s, 
horses, HH AO1 R S AH0 Z , s, 
almost, ˈ AA : L M OW : S T, s, 
a, AH0 , s, 
mile, M AY1 L , s, 
but, B AH1 T , s, 
he, HH IY1 , s, 
does, D AH1 Z , s, 
usually, ˈ Y UW : Z W AA L ǝ IH, s, 
so, S OW :, s, 
all, AA : L, s, 
men, M EH1 N , s, 
do, D OW :, s, 
from, F R AH1 M , s, 
hence, HH EH1 N S , s, 
to, T UW1 , s, 
palace, P AE1 L AH0 S , s, 
gate, G EH: : T, s, 
make, M EH: : K, s, 
it, IH1 T , s, 
their, DH EH1 R , s, 
walk, W AO1 K , s, 
'tis, T IH1 Z , s, 
he, HH IY1 , s, 
who, HH UW1 , s, 
did, D IH1 D , s, 
strike, ǝ IH K, s, 
out, AW1 T , s, 
the, DH AH0 , s, 
light, L ǝ IH T, s, 
there's, DH EH1 R Z , s, 
but, B AH1 T , s, 
one, W AH1 N , s, 
down, D ǝ UH N, s, 
the, DH AH0 , s, 
son, S AO ̃, s, 
is, IH1 Z , s, 
fled, F L EH1 D , s, 
