o, OW :, s, 
that, DH AE1 T , s, 
it, IH1 T , s, 
were, W ER1 , s, 
to, T UW1 , s, 
do, D OW :, s, 
what, W AH1 T , s, 
have, HH AE1 V , s, 
we, W IY1 , s, 
done, D AH1 N , s, 
ever, EH1 V ER0 , s, 
hear, IY : R, s, 
a, AH0 , s, 
man, M AE1 N , s, 
so, S OW :, s, 
penitent, ˈ P e N IH ˌ T e N T, s, 
o, OW :, s, 
that, DH AE1 T , s, 
it, IH1 T , s, 
were, W ER0 , s, 
to, T UW1 , s, 
do, D OW :, s, 
what, W AH1 T , s, 
have, HH AE1 V , s, 
we, W IY1 , s, 
done, D AH1 N , s, 
ever, EH1 V ER0 , s, 
hear, IY : R, s, 
a, AH0 , s, 
man, M AE1 N , s, 
so, S OW :, s, 
penitent, ˈ P e N IH ˌ T e N T, s, 
o, OW :, s, 
that, DH AE1 T , s, 
it, IH1 T , s, 
were, W ER0 , s, 
to, T UW1 , s, 
do, D OW :, s, 
what, W AH1 T , s, 
have, HH AE1 V , s, 
we, W IY1 , s, 
done, D AH1 N , s, 
ever, EH1 V ER0 , s, 
hear, IY : R, s, 
a, AH0 , s, 
man, M AE1 N , s, 
so, S OW :, s, 
penitent, ˈ P e N IH ˌ T e N T, s, 
