what,'W AH T', s, 
will,'W IH L', s, IH
he,'HH IY', s, IY
not,'N AA T', s, AA
to,'T UW', s, UW
bed,'B EH D', s, 
then,'DH EH N', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
the,'DH AH', s, 
if,'IH F', s, IH
be,'B IY', s, IY
so,'S OW', s, 
near,'N IY R', s, IY
as,'AE Z', s, AE
men,'M EH N', s, 
report,'r IH P AO R T', s, IH AO
the,'DH AH', s, 
guard,'G AA R D', s, AA
we,'W IY', s, IY
his,'HH IH Z', s, IH
tent,'T EH N T', s, 
but,'B AH T', s, 
to,'T UW', s, UW
defend,'D IH F EH N D', s, IH
his,'HH IH Z', s, IH
from,'F R AH M', s, 
foes,'F OW Z', s, 
or,'AO R', s, AO
thou,'DH AW', s, 
