go,'G OW',s,''
not,'N AA T',s,'AA'
from,'F R AH M',s,''
me,'M IY',s,'IY'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
thee,'DH IY',s,'IY'
who,'HH UW',s,'UW'
can,'K AE N',s,'AE'
be,'B IY',s,'IY'
in,'IH N',s,'IH'
man,'M AE N',s,'AE'
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
died,'D AY D',s,'AY'
a,'AH',s,''
maid,'M EY D',s,'EY'
and,'AH N D',s,''
never,'N e V ǝ R',s,''
seen,'S IY N',s,'IY'
thee,'DH IY',s,'IY'
never,'N e V ǝ R',s,''
thee,'DH IY',s,'IY'
son,'S AO ̃',s,'AO'
seeing,'S IY IH N',s,'IY IH'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
so,'S OW',s,''
unnatural,'ɤ N N AW T r ǝ L',s,''
a,'AH',s,''
hath,'HH AE TH',s,'AE'
he,'HH IY',s,'IY'
deserved,'D IH Z ɐ R V IH D',s,'IH IH'
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
thus,'DH ɤ S',s,''
thou,'DH AW',s,''
but,'B AH T',s,''
him,'HH IH M',s,'IH'
so,'S OW',s,''
well,'W EH L',s,''
as,'AE Z',s,'AE'
i,'AY',s,'AY'
or,'AO R',s,'AO'
felt,'F EH L T',s,''
that,'DH AE T',s,'AE'
pain,'P EH N',s,''
i,'AY',s,'AY'
did,'D IH D',s,'IH'
for,'F AO R',s,'AO'
him,'HH IH M',s,'IH'
or,'AO R',s,'AO'
him,'HH IH M',s,'IH'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
did,'D IH D',s,'IH'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
blood,'B L AH D',s,''
thou,'DH AW',s,''
left,'L EH F T',s,''
dearest,'D IY R ǝ S T',s,'IY'
than,'DH AE N',s,'AE'
that,'DH AE T',s,'AE'
and,'AH N D',s,''
disinherited,'ˌ D IH S IH N e r IH T IH D',s,'IH IH IH IH'
only,'OW N L IY',s,'IY'
son,'S AO ̃',s,'AO'
thee,'DH IY',s,'IY'
art,'AA R T',s,'AA'
thou,'DH AW',s,''
and,'AH N D',s,''
wilt,'W IH L T',s,'IH'
be,'B IY',s,'IY'
forced,'F AO R S IH D',s,'AO IH'
i,'AY',s,'AY'
to,'T UW',s,'UW'
thee,'DH IY',s,'IY'
speak,'S P IY K',s,'IY'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
son,'S AO ̃',s,'AO'
and,'AH N D',s,''
me,'M IY',s,'IY'
and,'AH N D',s,''
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
as,'AE Z',s,'AE'
thou,'DH AW',s,''
shalt,'SH AE L T',s,'AE'
but,'B AH T',s,''
by,'B AY',s,'AY'
their,'DH EH R',s,''
to,'T UW',s,'UW'
entail,'e N T EH L',s,''
him,'HH IH M',s,'IH'
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
what,'W AH T',s,''
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
but,'B AH T',s,''
to,'T UW',s,'UW'
and,'AH N D',s,''
creep,'K R IY P',s,'IY'
into,'IH N T UW',s,'IH UW'
it,'IH T',s,'IH'
far,'F AA R',s,'AA'
is,'IH Z',s,'IH'
chancellor,'T SH AW N S L ǝ R',s,''
and,'AH N D',s,''
the,'DH AH',s,''
lord,'L AO R D',s,'AO'
of,'AH V',s,''
stern,'S T ɐ R N',s,''
