here's, HH IH1 R Z , s, 
romeo's, R OW1 M IY0 OW2 Z , s, 
man, M AE1 N , s, 
we, W IY1 , s, 
found, F ǝ UH N D, s, 
him, HH IH1 M , s, 
in, IH N, s, 
the, DH AH0 , s, 
churchyard, ˈ T SH ɐ : R T SH Y AA : R D, s, 
here's, HH IH1 R Z , s, 
man, M AE1 N , s, 
we, W IY1 , s, 
found, F ǝ UH N D, s, 
him, HH IH1 M , s, 
in, IH N, s, 
the, DH AH0 , s, 
churchyard, ˈ T SH ɐ : R T SH Y AA : R D, s, 
here's, HH IH1 R Z , s, 
man, M AE1 N , s, 
we, W IY1 , s, 
found, F ǝ UH N D, s, 
him, HH IH1 M , s, 
in, IH N, s, 
the, DH AH0 , s, 
churchyard, ˈ T SH ɐ : R T SH Y AA : R D, s, 
