great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
be, B IY1 , s, 
praised, P r EH: : Z IH D, s, 
lucius, L UW1 SH AH0 S , s, 
is, IH1 Z , s, 
taken, T EY1 K AH0 N , s, 
'tis, T IH1 Z , s, 
thought, TH AO1 T , s, 
the, DH AH0 , s, 
old, OW : L D, s, 
man, M AE1 N , s, 
and, AH0 N D , s, 
his, HH IH1 Z , s, 
sons, S AH1 N Z , s, 
were, W ER1 , s, 
angels, EY1 N JH AH0 L Z , s, 
so, S OW :, s, 
'tis, T IH1 Z , s, 
reported, R IY2 P AO1 R T IH0 D , s, 
but, B AH1 T , s, 
none, N AH1 N , s, 
of, AH1 V , s, 
'em, AH0 M , s, 
can, K AE1 N , s, 
be, B IY1 , s, 
who's, HH UW1 Z , s, 
there, DH EH1 R , s, 
great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
be, B IY1 , s, 
praised, P r EH: : Z IH D, s, 
lucius, L UW1 SH AH0 S , s, 
is, IH1 Z , s, 
taken, T EY1 K AH0 N , s, 
'tis, T IH1 Z , s, 
thought, TH AO1 T , s, 
the, DH AH0 , s, 
old, OW : L D, s, 
man, M AE1 N , s, 
and, AH0 N D , s, 
his, HH IH1 Z , s, 
sons, S AH1 N Z , s, 
were, W ER0 , s, 
angels, EY1 N JH AH0 L Z , s, 
so, S OW :, s, 
'tis, T IH1 Z , s, 
reported, R IY2 P AO1 R T AH0 D , s, 
but, B AH1 T , s, 
none, N AH1 N , s, 
of, AH1 V , s, 
'em, AH0 M , s, 
can, K AE1 N , s, 
be, B IY1 , s, 
who's, HH UW1 Z , s, 
there, DH EH1 R , s, 
great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
be, B IY1 , s, 
praised, P r EH: : Z IH D, s, 
lucius, L UW1 SH AH0 S , s, 
is, IH1 Z , s, 
taken, T EY1 K AH0 N , s, 
'tis, T IH1 Z , s, 
thought, TH AO1 T , s, 
the, DH AH0 , s, 
old, OW : L D, s, 
man, M AE1 N , s, 
and, AH0 N D , s, 
his, HH IH1 Z , s, 
sons, S AH1 N Z , s, 
were, W ER0 , s, 
angels, EY1 N JH AH0 L Z , s, 
so, S OW :, s, 
'tis, T IH1 Z , s, 
reported, R IY2 P AO1 R T AH0 D , s, 
but, B AH1 T , s, 
none, N AH1 N , s, 
of, AH1 V , s, 
'em, AH0 M , s, 
can, K AE1 N , s, 
be, B IY1 , s, 
who's, HH UW1 Z , s, 
there, DH EH1 R , s, 
great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
praised, P r EH: : Z IH D, s, 
old, OW : L D, s, 
so, S OW :, s, 
great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
praised, P r EH: : Z IH D, s, 
old, OW : L D, s, 
so, S OW :, s, 
great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
praised, P r EH: : Z IH D, s, 
old, OW : L D, s, 
so, S OW :, s, 
great, G r e T, s, 
jupiter, ˈ D ZH UW : P IH T ǝ R, s, 
praised, P r EH: : Z IH D, s, 
old, OW : L D, s, 
so, S OW :, s, 
