his,'HH IH Z', s, IH
majesty,'M AE JH AH S T IY', s, AE IY
my,'M AY', s, AY
safety,'S EH F T ǝ IH', s, IH
hath,'HH AE TH', s, AE
appointed,'P ǝ IH N T IH D', s, IH IH
this,'DH IH S', s, IH
conduct,'K ɒ N D ǝ K T', s, 
to,'T UW', s, UW
me,'M IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
my,'M AY', s, AY
is,'IH Z', s, IH
yea,'Y EH', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
for,'F AO R', s, AO
i,'AY', s, AY
protest,'P R OW T EH S T', s, 
as,'AE Z', s, AE
yet,'Y EH T', s, 
i,'AY', s, AY
do,'D OW', s, 
not,'N AA T', s, AA
but,'B AH T', s, 
as,'AE Z', s, AE
i,'AY', s, AY
can,'K AE N', s, AE
he,'HH IY', s, IY
hearkens,'HH AA R K AH N Z', s, AA
after,'AW F T ǝ R', s, 
and,'AH N D', s, 
dreams,'D R IY M Z', s, IY
and,'AH N D', s, 
from,'F R AH M', s, 
the,'DH AH', s, 
the,'DH AH', s, 
and,'AH N D', s, 
a,'AH', s, 
wizard,'W IH Z ǝ R D', s, IH
told,'T OW L D', s, 
him,'HH IH M', s, IH
that,'DH AE T', s, AE
by,'B AY', s, AY
his,'HH IH Z', s, IH
disinherited,'ˌ D IH S IH N e r IH T IH D', s, IH IH IH IH
be,'B IY', s, IY
and,'AH N D', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
of,'AH V', s, 
begins,'B IH G IH N Z', s, IH IH
with,'W IH DH', s, IH
it,'IH T', s, IH
in,'IH N', s, IH
his,'HH IH Z', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
am,'AE M', s, AE
he,'HH IY', s, IY
as,'AE Z', s, AE
i,'AY', s, AY
and,'AH N D', s, 
as,'AE Z', s, AE
hath,'HH AE TH', s, AE
his,'HH IH Z', s, IH
to,'T UW', s, UW
commit,'K AH M IH T', s, IH
me,'M IY', s, IY
by,'B AY', s, AY
heaven,'HH EH V AH N', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
is,'IH Z', s, IH
no,'N OW', s, 
man,'M AE N', s, AE
but,'B AH T', s, 
the,'DH AH', s, 
queen's,'K W IY N Z', s, IY
and,'AH N D', s, 
heralds,'HH EH R AH L D Z', s, 
that,'DH AE T', s, AE
the,'DH AH', s, 
and,'AH N D', s, 
mistress,'M IH S T R AH S', s, IH
you,'Y UW', s, UW
not,'N AA T', s, AA
what,'W AH T', s, 
an,'AE N', s, AE
supppliant,'S ɤ P L IH ǝ N T', s, IH
lord,'L AO R D', s, AO
was,'W AA Z', s, AA
to,'T UW', s, UW
for,'F AO R', s, AO
