mates, M EH: : T S, s, 
come, K ɤ M, s, 
let's, L EH1 T S , s, 
have, HH AE1 V , s, 
her, HH ER1 , s, 
aboard, AH0 B AO1 R D , s, 
suddenly, S AH1 D AH0 N L IY0 , s, 
mates, M EH: : T S, s, 
come, K ɤ M, s, 
let's, L EH1 T S , s, 
have, HH AE1 V , s, 
her, HH ER0 , s, 
aboard, AH0 B AO1 R D , s, 
suddenly, S AH1 D AH0 N L IY0 , s, 
mates, M EH: : T S, s, 
come, K ɤ M, s, 
let's, L EH1 T S , s, 
have, HH AE1 V , s, 
her, HH ER0 , s, 
aboard, AH0 B AO1 R D , s, 
suddenly, S AH1 D AH0 N L IY0 , s, 
