lord,'L AO R D', s, AO
me,'M IY', s, IY
speak,'S P IY K', s, IY
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
a,'AH', s, 
servant,'S ɐ R V ǝ N T', s, 
most,'M OW S T', s, 
call,'K AO L', s, AO
the,'DH AH', s, 
man,'M AE N', s, AE
thee,'DH IY', s, IY
this,'DH IH S', s, IH
lord,'L AO R D', s, AO
this,'DH IH S', s, IH
creatre,'K R IY CH ER', s, IY
by,'B AY', s, AY
my,'M AY', s, AY
i,'AY', s, AY
am,'AE M', s, AE
a,'AH', s, 
man,'M AE N', s, AE
that,'DH AE T', s, AE
from,'F R AH M', s, 
my,'M AY', s, AY
been,'B IH N', s, IH
to,'T UW', s, UW
and,'AH N D', s, 
my,'M AY', s, AY
an,'AE N', s, AE
than,'DH AE N', s, AE
a,'AH', s, 
only,'OW N L IY', s, IY
i,'AY', s, AY
no,'N OW', s, 
kin,'K IH N', s, IH
on,'AA N', s, AA
whom,'HH UW M', s, UW
i,'AY', s, AY
confer,'K ǝ N F ɐ R', s, 
what,'W AH T', s, 
i,'AY', s, AY
got,'G AA T', s, AA
the,'DH AH', s, 
maid,'M EY D', s, EY
is,'IH Z', s, IH
fair,'F EH R', s, 
youngest,'Y ɒ NG G ǝ S T', s, 
for,'F AO R', s, AO
a,'AH', s, 
and,'AH N D', s, 
i,'AY', s, AY
bred,'B R EH D', s, 
at,'AE T', s, AE
my,'M AY', s, AY
dearest,'D IY R ǝ S T', s, IY
cost,'K AA S T', s, AA
in,'IH N', s, IH
of,'AH V', s, 
the,'DH AH', s, 
best,'B EH S T', s, 
this,'DH IH S', s, IH
man,'M AE N', s, AE
of,'AH V', s, 
i,'AY', s, AY
prithee,'P r e DH IY', s, IY
lord,'L AO R D', s, AO
join,'JH OY N', s, 
with,'W IH DH', s, IH
me,'M IY', s, IY
to,'T UW', s, UW
forbid,'F ǝ R B IH D', s, IH
him,'HH IH M', s, IH
resort,'r IH S AO R T', s, IH AO
myself,'M AY S EH L F', s, AY
in,'IH N', s, IH
vain,'V EY N', s, EY
therefre,'DH EH R F AO R', s, AO
he,'HH IY', s, IY
will,'W IH L', s, IH
be,'B IY', s, IY
his,'HH IH Z', s, IH
rewards,'r IH W AA R D Z', s, IH AA
him,'HH IH M', s, IH
in,'IH N', s, IH
itself,'IH T S EH L F', s, IH
it,'IH T', s, IH
must,'M AH S T', s, 
not,'N AA T', s, AA
bear,'B EH R', s, 
my,'M AY', s, AY
she,'SH IY', s, IY
is,'IH Z', s, IH
and,'AH N D', s, 
apt,'AE P T', s, AE
our,'OW R', s, 
passions,'P AE SH AH N Z', s, AE
do,'D OW', s, 
instruct,'IH N S T R AH K T', s, IH
us,'AH S', s, 
what,'W AH T', s, 
in,'IH N', s, IH
youth,'Y UW TH', s, UW
if,'IH F', s, IH
in,'IH N', s, IH
my,'M AY', s, AY
consent,'K AH N S EH N T', s, 
be,'B IY', s, IY
i,'AY', s, AY
call,'K AO L', s, AO
the,'DH AH', s, 
gods,'G AA D Z', s, AA
to,'T UW', s, UW
will,'W IH L', s, IH
from,'F R AH M', s, 
forth,'F AO R TH', s, AO
the,'DH AH', s, 
beggars,'B e ɡ ə R Z', s, 
of,'AH V', s, 
the,'DH AH', s, 
and,'AH N D', s, 
all,'AA L', s, AA
talents,'T AE L AH N T S', s, AE
on,'AA N', s, AA
the,'DH AH', s, 
present,'P r IH Z e N T', s, IH
in,'IH N', s, IH
all,'AA L', s, AA
most,'M OW S T', s, 
lord,'L AO R D', s, AO
me,'M IY', s, IY
to,'T UW', s, UW
this,'DH IH S', s, IH
your,'Y AO R', s, AO
she,'SH IY', s, IY
is,'IH Z', s, IH
his,'HH IH Z', s, IH
