returned,'r IH T ɐ R N IH D', s, IH IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
it,'IH T', s, IH
out,'AW T', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
is,'IH Z', s, IH
to,'T UW', s, UW
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
to,'T UW', s, UW
with,'W IH DH', s, IH
talbot,'T AE L B AH T', s, AE
as,'AE Z', s, AE
he,'HH IY', s, IY
by,'B AY', s, AY
your,'Y AO R', s, AO
wre,'W ER', s, 
troops,'T R UW P S', s, UW
than,'DH AE N', s, AE
that,'DH AE T', s, AE
the,'DH AH', s, 
led,'L EH D', s, 
with,'W IH DH', s, IH
him,'HH IH M', s, IH
and,'AH N D', s, 
their,'DH EH R', s, 
for,'F AO R', s, AO
