is,'IH Z', s, IH
to,'T UW', s, UW
that,'DH AE T', s, AE
i,'AY', s, AY
had,'HH AE D', s, AE
weariness,'W IH R IY N AH S', s, IH IY
not,'N AA T', s, AA
attached,'ǝ T AW T SH T', s, 
of,'AH V', s, 
so,'S OW', s, 
blood,'B L AH D', s, 
whhy,'ʍ ǝ IH', s, IH
a,'AH', s, 
not,'N AA T', s, AA
be,'B IY', s, IY
so,'S OW', s, 
loosely,'L UW S L ǝ IH', s, UW IH
as,'AE Z', s, AE
to,'T UW', s, UW
so,'S OW', s, 
weak,'W IY K', s, IY
a,'AH', s, 
composition,'K AA M P AH Z IH SH AH N', s, AA IH
ill,'IH L', s, IH
it,'IH T', s, IH
after,'AW F T ǝ R', s, 
you,'Y UW', s, UW
so,'S OW', s, 
you,'Y UW', s, UW
so,'S OW', s, 
idly,'AY D L IY', s, AY IY
tell,'T EH L', s, 
me,'M IY', s, IY
good,'G UH D', s, UH
princes,'P R IH N S AH Z', s, IH
do,'D OW', s, 
so,'S OW', s, 
their,'DH EH R', s, 
being,'B IY IH NG', s, IY IH
so,'S OW', s, 
sick,'S IH K', s, IH
as,'AE Z', s, AE
yours,'Y UH R Z', s, UH
at,'AE T', s, AE
this,'DH IH S', s, IH
is,'IH Z', s, IH
yes,'Y IH S', s, IH
faith,'F EY TH', s, EY
and,'AH N D', s, 
let,'L EH T', s, 
it,'IH T', s, IH
be,'B IY', s, IY
an,'AE N', s, AE
good,'G UH D', s, UH
go,'G OW', s, 
to,'T UW', s, UW
i,'AY', s, AY
stand,'S T AE N D', s, AE
the,'DH AH', s, 
push,'P UH SH', s, UH
of,'AH V', s, 
your,'Y AO R', s, AO
that,'DH AE T', s, AE
you,'Y UW', s, UW
will,'W IH L', s, IH
tell,'T EH L', s, 
very,'V EH R IY', s, IY
hardly,'HH AA R D L IY', s, AA IY
upon,'AH P AA N', s, AA
a,'AH', s, 
subject,'S AH B JH EH K T', s, 
the,'DH AH', s, 
reason,'r EH Z ǝ N', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
thee,'DH IY', s, IY
a,'AH', s, 
most,'M OW S T', s, 
princely,'P r IH N S L ǝ IH', s, IH IH
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
been,'B IH N', s, IH
so,'S OW', s, 
and,'AH N D', s, 
so,'S OW', s, 
to,'T UW', s, UW
falstaff,'F AO L S T AE F', s, AO AE
by,'B AY', s, AY
this,'DH IH S', s, IH
i,'AY', s, AY
am,'AE M', s, AE
well,'W EH L', s, 
on,'AA N', s, AA
i,'AY', s, AY
can,'K AE N', s, AE
it,'IH T', s, IH
with,'W IH DH', s, IH
ears,'IY R Z', s, IY
the,'DH AH', s, 
worst,'W AO R S T', s, AO
that,'DH AE T', s, AE
can,'K AE N', s, AE
of,'AH V', s, 
me,'M IY', s, IY
is,'IH Z', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
am,'AE M', s, AE
a,'AH', s, 
second,'S EH K AH N D', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
am,'AE M', s, AE
a,'AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
and,'AH N D', s, 
i,'AY', s, AY
confess,'K AH N F EH S', s, 
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
by,'B AY', s, AY
the,'DH AH', s, 
mass,'M AW S', s, 
you,'Y UW', s, UW
virtuous,'V ER CH UW AH S', s, UW
ass,'AE S', s, AE
you,'Y UW', s, UW
fool,'F UH L', s, UH
must,'M AH S T', s, 
you,'Y UW', s, UW
be,'B IY', s, IY
blush,'B L ɤ SH', s, 
you,'Y UW', s, UW
what,'W AH T', s, 
a,'AH', s, 
you,'Y UW', s, UW
is,'IH Z', s, IH
a,'AH', s, 
matter,'M AW T ǝ R', s, 
to,'T UW', s, UW
get,'G EH T', s, 
a,'AH', s, 
o,'OW', s, 
that,'DH AE T', s, AE
this,'DH IH S', s, IH
good,'G UH D', s, UH
blossom,'B L AA S AH M', s, AA
be,'B IY', s, IY
kept,'K EH P T', s, 
from,'F R AH M', s, 
cankers,'K AW NG K ǝ R Z', s, 
well,'W EH L', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
preseve,'P R AH Z ER V', s, 
thee,'DH IY', s, IY
with,'W IH DH', s, IH
good,'G UH D', s, UH
respect,'R IH S P EH K T', s, IH
and,'AH N D', s, 
doth,'D AO TH', s, AO
the,'DH AH', s, 
your,'Y AO R', s, AO
master,'M AW S T ǝ R', s, 
marrry,'M AW r ǝ IH', s, IH
the,'DH AH', s, 
immortal,'IH M AO R T AH L', s, IH AO
part,'P AA R T', s, AA
needs,'N IY D Z', s, IY
a,'AH', s, 
but,'B AH T', s, 
that,'DH AE T', s, AE
not,'N AA T', s, AA
him,'HH IH M', s, IH
that,'DH AE T', s, AE
be,'B IY', s, IY
sick,'S IH K', s, IH
it,'IH T', s, IH
not,'N AA T', s, AA
falstaff,'F AO L S T AE F', s, AO AE
every,'e V r ǝ IH', s, IH
man,'M AE N', s, AE
must,'M AH S T', s, 
that,'DH AE T', s, AE
as,'AE Z', s, AE
oft,'AO F T', s, AO
as,'AE Z', s, AE
he,'HH IY', s, IY
to,'T UW', s, UW
himself,'HH IH M S EH L F', s, IH
even,'IY V IH N', s, IY IH
that,'DH AE T', s, AE
kin,'K IH N', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
for,'F AO R', s, AO
never,'N e V ǝ R', s, 
prick,'P R IH K', s, IH
their,'DH EH R', s, 
but,'B AH T', s, 
of,'AH V', s, 
the,'DH AH', s, 
blood,'B L AH D', s, 
spilt,'S P IH L T', s, IH
that,'DH AE T', s, AE
he,'HH IY', s, IY
that,'DH AE T', s, AE
upon,'AH P AA N', s, AA
him,'HH IH M', s, IH
not,'N AA T', s, AA
