but,'B AH T', s, 
you,'Y UW', s, UW
this,'DH IH S', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
that,'DH AE T', s, AE
not,'N AA T', s, AA
ago,'ǝ ɡ OW', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
men,'M EH N', s, 
was,'W AA Z', s, AA
with,'W IH DH', s, IH
the,'DH AH', s, 
lord,'L AO R D', s, AO
to,'T UW', s, UW
fifty,'F IH F T IY', s, IH IY
talents,'T AE L AH N T S', s, AE
extremely,'IH K S T R IY M L IY', s, IH IY IY
for,'F AO R', s, AO
and,'AH N D', s, 
what,'W AH T', s, 
necessity,'N AH S EH S AH T IY', s, IY
to,'T UW', s, UW
and,'AH N D', s, 
yet,'Y EH T', s, 
was,'W AA Z', s, AA
i,'AY', s, AY
tell,'T EH L', s, 
you,'Y UW', s, UW
my,'M AY', s, AY
lord,'L AO R D', s, AO
too,'T UW', s, UW
well,'W EH L', s, 
