speak,'S P IY K', s, IY
thou,'DH AW', s, 
for,'F AO R', s, AO
me,'M IY', s, IY
and,'AH N D', s, 
tell,'T EH L', s, 
them,'DH EH M', s, 
what,'W AH T', s, 
i,'AY', s, AY
did,'D IH D', s, IH
thus,'DH ɤ S', s, 
do,'D OW', s, 
i,'AY', s, AY
to,'T UW', s, UW
as,'AE Z', s, AE
we,'W IY', s, IY
within,'W IH DH IH N', s, IH IH
this,'DH IH S', s, IH
you,'Y UW', s, UW
old,'OW L D', s, 
and,'AH N D', s, 
yet,'Y EH T', s, 
methinks,'M IH TH IH NG K S', s, IH IH
you,'Y UW', s, UW
tear,'T IY R', s, IY
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
from,'F R AH M', s, 
the,'DH AH', s, 
drums,'D R AH M Z', s, 
and,'AH N D', s, 
trumpets,'T R AH M P AH T S', s, 
and,'AH N D', s, 
the,'DH AH', s, 
will,'W IH L', s, IH
i,'AY', s, AY
be,'B IY', s, IY
youngest,'Y ɒ NG G ǝ S T', s, 
me,'M IY', s, IY
that,'DH AE T', s, AE
your,'Y AO R', s, AO
and,'AH N D', s, 
us,'AH S', s, 
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
of,'AH V', s, 
england,'IH NG G L AH N D', s, IH
is,'IH Z', s, IH
yours,'Y UH R Z', s, UH
your,'Y AO R', s, AO
depends,'D IH P EH N D Z', s, IH
not,'N AA T', s, AA
on,'AA N', s, AA
his,'HH IH Z', s, IH
or,'AO R', s, AO
death,'D EH TH', s, 
no,'N OW', s, 
god,'G AA D', s, AA
forbid,'F ǝ R B IH D', s, IH
your,'Y AO R', s, AO
be,'B IY', s, IY
forsworn,'F AO R S W AO R N', s, AO AO
the,'DH AH', s, 
if,'IH F', s, IH
me,'M IY', s, IY
speak,'S P IY K', s, IY
an,'AE N', s, AE
oath,'OW TH', s, 
is,'IH Z', s, IH
of,'AH V', s, 
no,'N OW', s, 
moment,'M OW M AH N T', s, 
being,'B IY IH NG', s, IY IH
not,'N AA T', s, AA
took,'T UH K', s, UH
a,'AH', s, 
true,'T R UW', s, UW
and,'AH N D', s, 
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
over,'OW V ǝ R', s, 
him,'HH IH M', s, IH
that,'DH AE T', s, AE
swears,'S W EH R Z', s, 
henry,'HH EH N R IY', s, IY
had,'HH AE D', s, AE
but,'B AH T', s, 
