indeed,'IH N D IY D', s, IH IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
at,'AE T', s, AE
that,'DH AE T', s, AE
and,'AH N D', s, 
in,'IH N', s, IH
that,'DH AE T', s, AE
swears,'S W EH R Z', s, 
you,'Y UW', s, UW
do,'D OW', s, 
usurp,'Y UW S ER P', s, UW
than,'DH AE N', s, AE
doth,'D AO TH', s, AO
your,'Y AO R', s, AO
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
you,'Y UW', s, UW
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
and,'AH N D', s, 
myself,'M AY S EH L F', s, AY
did,'D IH D', s, IH
steal,'S T IY L', s, IY
behind,'B IH ə IH N D', s, IH IH
him,'HH IH M', s, IH
as,'AE Z', s, AE
he,'HH IY', s, IY
under,'ɤ N D ǝ R', s, 
an,'AE N', s, AE
oak,'OW K', s, 
root,'R UW T', s, UW
peeps,'P IY P S', s, IY
out,'AW T', s, 
upon,'AH P AA N', s, AA
the,'DH AH', s, 
brook,'B R UH K', s, UH
that,'DH AE T', s, AE
this,'DH IH S', s, IH
wood,'W UH D', s, UH
to,'T UW', s, UW
the,'DH AH', s, 
a,'AH', s, 
poor,'P UH R', s, UH
stag,'S T AE G', s, AE
that,'DH AE T', s, AE
from,'F R AH M', s, 
the,'DH AH', s, 
aim,'EH M', s, 
had,'HH AE D', s, AE
a,'AH', s, 
did,'D IH D', s, IH
to,'T UW', s, UW
and,'AH N D', s, 
indeed,'IH N D IY D', s, IH IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
animal,'AE N AH M AH L', s, AE
forth,'F AO R TH', s, AO
groans,'G r OW N Z', s, 
that,'DH AE T', s, AE
their,'DH EH R', s, 
did,'D IH D', s, IH
his,'HH IH Z', s, IH
leathern,'L e DH ǝ R N', s, 
coat,'K OW T', s, 
almost,'AA L M OW S T', s, AA
to,'T UW', s, UW
and,'AH N D', s, 
the,'DH AH', s, 
big,'B IH G', s, IH
tears,'T EH R Z', s, 
another,'ǝ N ɤ DH ǝ R', s, 
down,'D ǝ UH N', s, UH
his,'HH IH Z', s, IH
in,'IH N', s, IH
and,'AH N D', s, 
thus,'DH ɤ S', s, 
the,'DH AH', s, 
hairy,'HH EH R IY', s, IY
fool,'F UH L', s, UH
of,'AH V', s, 
the,'DH AH', s, 
stood,'S T UH D', s, UH
on,'AA N', s, AA
vege,'V ER JH', s, 
of,'AH V', s, 
the,'DH AH', s, 
swift,'S W IH F T', s, IH
brook,'B R UH K', s, UH
it,'IH T', s, IH
with,'W IH DH', s, IH
tears,'T EH R Z', s, 
o,'OW', s, 
yes,'Y IH S', s, IH
into,'IH N T UW', s, IH UW
a,'AH', s, 
for,'F AO R', s, AO
his,'HH IH Z', s, IH
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
needless,'N IY D L AH S', s, IY
stream,'S T R IY M', s, IY
poor,'P UH R', s, UH
deer,'D IY R', s, IY
quoth,'K ɒ TH', s, 
he,'HH IY', s, IY
thou,'DH AW', s, 
a,'AH', s, 
testament,'T EH S T AH M AH N T', s, 
as,'AE Z', s, AE
do,'D OW', s, 
sum,'S ɤ M', s, 
of,'AH V', s, 
to,'T UW', s, UW
that,'DH AE T', s, AE
had,'HH AE D', s, AE
too,'T UW', s, UW
then,'DH EH N', s, 
being,'B IY IH NG', s, IY IH
left,'L EH F T', s, 
and,'AH N D', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
velvet,'V EH L V AH T', s, 
friends,'F R EH N D Z', s, 
quoth,'K ɒ TH', s, 
he,'HH IY', s, IY
thus,'DH ɤ S', s, 
doth,'D AO TH', s, AO
part,'P AA R T', s, AA
the,'DH AH', s, 
of,'AH V', s, 
company,'K AH M P AH N IY', s, IY
a,'AH', s, 
full,'F UH L', s, UH
of,'AH V', s, 
the,'DH AH', s, 
pastre,'P AE S CH ER', s, AE
jumps,'JH AH M P S', s, 
by,'B AY', s, AY
him,'HH IH M', s, IH
and,'AH N D', s, 
never,'N e V ǝ R', s, 
to,'T UW', s, UW
greet,'G R IY T', s, IY
him,'HH IH M', s, IH
quoth,'K ɒ TH', s, 
sweep,'S W IY P', s, IY
on,'AA N', s, AA
you,'Y UW', s, UW
fat,'F AE T', s, AE
and,'AH N D', s, 
greasy,'G R IY S IY', s, IY IY
citizens,'S IH T AH Z AH N Z', s, IH
the,'DH AH', s, 
fashion,'F AE SH AH N', s, AE
do,'D OW', s, 
you,'Y UW', s, UW
look,'L UH K', s, UH
upon,'AH P AA N', s, AA
that,'DH AE T', s, AE
