in,'IH N', s, IH
my,'M AY', s, AY
son,'S AO ̃', s, AO
from,'F R AH M', s, 
me,'M IY', s, IY
i,'AY', s, AY
a,'AH', s, 
second,'S EH K AH N D', s, 
what,'W AH T', s, 
is,'IH Z', s, IH
of,'AH V', s, 
his,'HH IH Z', s, IH
amendment,'ǝ M e N D M ǝ N T', s, 
this,'DH IH S', s, IH
gentlewoman,'JH EH N T AH L W UH M AH N', s, UH
had,'HH AE D', s, AE
a,'AH', s, 
that,'DH AE T', s, AE
had,'HH AE D', s, AE
sad,'S AE D', s, AE
a,'AH', s, 
skill,'S K IH L', s, IH
was,'W AA Z', s, AA
almost,'AA L M OW S T', s, AA
as,'AE Z', s, AE
great,'G r e T', s, 
as,'AE Z', s, AE
his,'HH IH Z', s, IH
had,'HH AE D', s, AE
it,'IH T', s, IH
so,'S OW', s, 
far,'F AA R', s, AA
natre,'N EY CH ER', s, EY
immortal,'IH M AO R T AH L', s, IH AO
and,'AH N D', s, 
death,'D EH TH', s, 
for,'F AO R', s, AO
lack,'L AE K', s, AE
of,'AH V', s, 
work,'W AO R K', s, AO
for,'F AO R', s, AO
the,'DH AH', s, 
he,'HH IY', s, IY
wre,'W ER', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
the,'DH AH', s, 
death,'D EH TH', s, 
of,'AH V', s, 
the,'DH AH', s, 
he,'HH IY', s, IY
was,'W AA Z', s, AA
famous,'F EY M AH S', s, EY
in,'IH N', s, IH
his,'HH IH Z', s, IH
and,'AH N D', s, 
it,'IH T', s, IH
was,'W AA Z', s, AA
his,'HH IH Z', s, IH
great,'G r e T', s, 
to,'T UW', s, UW
be,'B IY', s, IY
so,'S OW', s, 
de,'D e', s, 
his,'HH IH Z', s, IH
child,'CH AY L D', s, AY
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
bequeathed,'B AH K W IY TH T', s, IY
to,'T UW', s, UW
my,'M AY', s, AY
i,'AY', s, AY
of,'AH V', s, 
good,'G UH D', s, UH
that,'DH AE T', s, AE
education,'EH JH AH K EY SH AH N', s, EY
promises,'P R AA M AH S AH Z', s, AA
dispositions,'D IH S P AH Z IH SH AH N Z', s, IH IH
she,'SH IY', s, IY
inherits,'IH N HH EH R AH T S', s, IH
fair,'F EH R', s, 
gifts,'G IH F T S', s, IH
fairer,'F EH R ǝ R', s, 
for,'F AO R', s, AO
an,'AE N', s, AE
unclean,'AH N K L IY N', s, IY
virtuous,'V ER CH UW AH S', s, UW
go,'G OW', s, 
with,'W IH DH', s, IH
and,'AH N D', s, 
too,'T UW', s, UW
in,'IH N', s, IH
the,'DH AH', s, 
better,'B e T ə R', s, 
for,'F AO R', s, AO
their,'DH EH R', s, 
she,'SH IY', s, IY
and,'AH N D', s, 
achieves,'ǝ T SH IY V Z', s, IY
goodness,'G UH D N AH S', s, UH
the,'DH AH', s, 
best,'B EH S T', s, 
a,'AH', s, 
maiden,'M EY D AH N', s, EY
can,'K AE N', s, AE
season,'S IY Z AH N', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
never,'N e V ǝ R', s, 
appproaches,'ǝ P r OW T SH IH Z', s, IH
heart,'HH AA R T', s, AA
but,'B AH T', s, 
the,'DH AH', s, 
tyrannny,'T IH r ǝ N ǝ IH', s, IH IH
of,'AH V', s, 
sorrows,'S ɒ r ǝ ǝ Z', s, 
all,'AA L', s, AA
from,'F R AH M', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
go,'G OW', s, 
to,'T UW', s, UW
no,'N OW', s, 
lest,'L EH S T', s, 
it,'IH T', s, IH
be,'B IY', s, IY
you,'Y UW', s, UW
affect,'ǝ F e K T', s, 
a,'AH', s, 
than,'DH AE N', s, AE
to,'T UW', s, UW
if,'IH F', s, IH
the,'DH AH', s, 
be,'B IY', s, IY
enemy,'EH N AH M IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
grief,'G R IY F', s, IY
the,'DH AH', s, 
excess,'EH K S EH S', s, 
it,'IH T', s, IH
soon,'S UW N', s, UW
mortal,'M AO R T AA L', s, AO AA
be,'B IY', s, IY
thou,'DH AW', s, 
blessed,'B L e S IH D', s, IH
bertram,'B ɐ R T r ə M', s, 
and,'AH N D', s, 
in,'IH N', s, IH
as,'AE Z', s, AE
in,'IH N', s, IH
blood,'B L AH D', s, 
and,'AH N D', s, 
contend,'K AH N T EH N D', s, 
for,'F AO R', s, AO
in,'IH N', s, IH
thee,'DH IY', s, IY
and,'AH N D', s, 
goodness,'G UH D N AH S', s, UH
with,'W IH DH', s, IH
all,'AA L', s, AA
trust,'T r ɤ S T', s, 
a,'AH', s, 
few,'F Y UW', s, UW
do,'D OW', s, 
to,'T UW', s, UW
be,'B IY', s, IY
for,'F AO R', s, AO
enemy,'EH N AH M IY', s, IY
in,'IH N', s, IH
than,'DH AE N', s, AE
and,'AH N D', s, 
keep,'K IY P', s, IY
friend,'F R EH N D', s, 
under,'ɤ N D ǝ R', s, 
be,'B IY', s, IY
for,'F AO R', s, AO
but,'B AH T', s, 
never,'N e V ǝ R', s, 
taxed,'T AE K S T', s, AE
for,'F AO R', s, AO
speech,'S P IY CH', s, IY
what,'W AH T', s, 
heaven,'HH EH V AH N', s, 
will,'W IH L', s, IH
that,'DH AE T', s, AE
thee,'DH IY', s, IY
and,'AH N D', s, 
my,'M AY', s, AY
pluck,'P L ɤ K', s, 
down,'D ǝ UH N', s, UH
fall,'F AA L', s, AA
on,'AA N', s, AA
my,'M AY', s, AY
lord,'L AO R D', s, AO
an,'AE N', s, AE
courtier,'K AO R T IY ER', s, AO IY
good,'G UH D', s, UH
my,'M AY', s, AY
lord,'L AO R D', s, AO
him,'HH IH M', s, IH
heaven,'HH EH V AH N', s, 
bless,'B L EH S', s, 
bertram,'B ɐ R T r ə M', s, 
i,'AY', s, AY
will,'W IH L', s, IH
what,'W AH T', s, 
you,'Y UW', s, UW
of,'AH V', s, 
this,'DH IH S', s, IH
