narcissus,'N AA R S IH S ǝ S', s, AA IH
madam,'M AE D AH M', s, AE
not,'N AA T', s, AA
be,'B IY', s, IY
to,'T UW', s, UW
so,'S OW', s, 
fair,'F EH R', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
i,'AY', s, AY
not,'N AA T', s, AA
madam,'M AE D AH M', s, AE
whhy,'ʍ ǝ IH', s, IH
madam,'M AE D AH M', s, AE
yes,'Y IH S', s, IH
madam,'M AE D AH M', s, AE
whhy,'ʍ ǝ IH', s, IH
madam,'M AE D AH M', s, AE
yet,'Y EH T', s, 
good,'G UH D', s, UH
madam,'M AE D AH M', s, AE
modesty,'M AA D AH S T IY', s, AA IY
will,'W IH L', s, IH
so,'S OW', s, 
far,'F AA R', s, AA
she,'SH IY', s, IY
for,'F AO R', s, AO
a,'AH', s, 
maid,'M EY D', s, EY
if,'IH F', s, IH
she,'SH IY', s, IY
be,'B IY', s, IY
loath,'L OW TH', s, 
to,'T UW', s, UW
by,'B AY', s, AY
i,'AY', s, AY
down,'D ǝ UH N', s, UH
i,'AY', s, AY
am,'AE M', s, AE
as,'AE Z', s, AE
we,'W IY', s, IY
bargain,'B AA R ɡ IH N', s, AA IH
madam,'M AE D AH M', s, AE
