o,'OW', s, 
master,'M AW S T ǝ R', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
did,'D IH D', s, IH
but,'B AH T', s, 
the,'DH AH', s, 
at,'AE T', s, AE
the,'DH AH', s, 
door,'D AO R', s, AO
you,'Y UW', s, UW
never,'N e V ǝ R', s, 
again,'ǝ ɡ EH N', s, 
after,'AW F T ǝ R', s, 
a,'AH', s, 
tabor,'T AW B ǝ R', s, 
and,'AH N D', s, 
no,'N OW', s, 
the,'DH AH', s, 
not,'N AA T', s, AA
you,'Y UW', s, UW
he,'HH IY', s, IY
tunes,'T Y UW N Z', s, UW
than,'DH AE N', s, AE
tell,'T EH L', s, 
he,'HH IY', s, IY
them,'DH EH M', s, 
as,'AE Z', s, AE
he,'HH IY', s, IY
had,'HH AE D', s, AE
eaten,'e T ǝ N', s, 
ballads,'B AE L AH D Z', s, AE
and,'AH N D', s, 
all,'AA L', s, AA
ears,'IY R Z', s, IY
to,'T UW', s, UW
his,'HH IH Z', s, IH
tunes,'T Y UW N Z', s, UW
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
for,'F AO R', s, AO
man,'M AE N', s, AE
or,'AO R', s, AO
woman,'W UH M AH N', s, UH
of,'AH V', s, 
all,'AA L', s, AA
sizes,'S AY Z AH Z', s, AY
no,'N OW', s, 
can,'K AE N', s, AE
so,'S OW', s, 
fit,'F IH T', s, IH
his,'HH IH Z', s, IH
customers,'K ɤ S T ǝ M ǝ R Z', s, 
with,'W IH DH', s, IH
he,'HH IY', s, IY
the,'DH AH', s, 
for,'F AO R', s, AO
maids,'M EY D Z', s, EY
so,'S OW', s, 
is,'IH Z', s, IH
with,'W IH DH', s, IH
burdens,'B ɐ R   - Z', s, 
of,'AH V', s, 
and,'AH N D', s, 
and,'AH N D', s, 
thump,'TH ɤ M P', s, 
and,'AH N D', s, 
stretchh-mouthed,'S T r e T SH - ˌ M ǝ UH DH D', s, UH
as,'AE Z', s, AE
it,'IH T', s, IH
wre,'W ER', s, 
mean,'M IY N', s, IY
miscchief,'M IH S CH AH F', s, IH
and,'AH N D', s, 
break,'B R EY K', s, EY
a,'AH', s, 
gap,'G AE P', s, AE
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
he,'HH IY', s, IY
the,'DH AH', s, 
maid,'M EY D', s, EY
to,'T UW', s, UW
whoop,'ʍ UW P', s, UW
do,'D OW', s, 
me,'M IY', s, IY
no,'N OW', s, 
good,'G UH D', s, UH
man,'M AE N', s, AE
puts,'P UH T S', s, UH
him,'HH IH M', s, IH
off,'AO F', s, AO
him,'HH IH M', s, IH
with,'W IH DH', s, IH
whoop,'ʍ UW P', s, UW
do,'D OW', s, 
me,'M IY', s, IY
no,'N OW', s, 
good,'G UH D', s, UH
man,'M AE N', s, AE
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
ribbons,'R IH B AH N Z', s, IH
of,'AH V', s, 
all,'AA L', s, AA
the,'DH AH', s, 
than,'DH AE N', s, AE
all,'AA L', s, AA
the,'DH AH', s, 
in,'IH N', s, IH
can,'K AE N', s, AE
to,'T UW', s, UW
him,'HH IH M', s, IH
by,'B AY', s, AY
gross,'G r OW S', s, 
he,'HH IY', s, IY
over,'OW V ǝ R', s, 
as,'AE Z', s, AE
wre,'W ER', s, 
gods,'G AA D Z', s, AA
or,'AO R', s, AO
goddesses,'G ɒ D e S IH Z', s, IH
you,'Y UW', s, UW
think,'TH IH NG K', s, IH
a,'AH', s, 
smock,'S M AA K', s, AA
wre,'W ER', s, 
a,'AH', s, 
he,'HH IY', s, IY
so,'S OW', s, 
chants,'CH AE N T S', s, AE
to,'T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
the,'DH AH', s, 
work,'W AO R K', s, AO
the,'DH AH', s, 
on,'AA N', s, AA
master,'M AW S T ǝ R', s, 
is,'IH Z', s, IH
that,'DH AE T', s, AE
all,'AA L', s, AA
men,'M EH N', s, 
of,'AH V', s, 
hair,'HH EH R', s, 
call,'K AO L', s, AO
and,'AH N D', s, 
a,'AH', s, 
the,'DH AH', s, 
wenches,'W EH N CH IH Z', s, IH
is,'IH Z', s, IH
a,'AH', s, 
of,'AH V', s, 
not,'N AA T', s, AA
in,'IH N', s, IH
but,'B AH T', s, 
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
not,'N AA T', s, AA
too,'T UW', s, UW
for,'F AO R', s, AO
that,'DH AE T', s, AE
but,'B AH T', s, 
it,'IH T', s, IH
will,'W IH L', s, IH
of,'AH V', s, 
them,'DH EH M', s, 
by,'B AY', s, AY
their,'DH EH R', s, 
report,'r IH P AO R T', s, IH AO
hath,'HH AE TH', s, AE
the,'DH AH', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
the,'DH AH', s, 
worst,'W AO R S T', s, AO
of,'AH V', s, 
the,'DH AH', s, 
but,'B AH T', s, 
jumps,'JH AH M P S', s, 
foot,'F UH T', s, UH
and,'AH N D', s, 
a,'AH', s, 
by,'B AY', s, AY
whhy,'ʍ ǝ IH', s, IH
at,'AE T', s, AE
door,'D AO R', s, AO
