stand,'S T AE N D', s, AE
and,'AH N D', s, 
us,'AH S', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
you,'Y UW', s, UW
if,'IH F', s, IH
not,'N AA T', s, AA
you,'Y UW', s, UW
sit,'S IH T', s, IH
and,'AH N D', s, 
you,'Y UW', s, UW
by,'B AY', s, AY
my,'M AY', s, AY
beard,'B EH R D', s, 
will,'W IH L', s, IH
we,'W IY', s, IY
for,'F AO R', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
a,'AH', s, 
man,'M AE N', s, AE
you,'Y UW', s, UW
sojourned,'S ɒ D ZH ǝ R N D', s, 
by,'B AY', s, AY
the,'DH AH', s, 
of,'AH V', s, 
robin,'R AA B AH N', s, AA
fat,'F AE T', s, AE
friar,'F R AY ER', s, AY
this,'DH IH S', s, IH
wre,'W ER', s, 
a,'AH', s, 
for,'F AO R', s, AO
our,'OW R', s, 
faction,'F AE K SH AH N', s, AE
then,'DH EH N', s, 
that,'DH AE T', s, AE
of,'AH V', s, 
us,'AH S', s, 
gentlemen,'JH EH N T AH L M IH N', s, IH
as,'AE Z', s, AE
the,'DH AH', s, 
of,'AH V', s, 
youth,'Y UW TH', s, UW
from,'F R AH M', s, 
the,'DH AH', s, 
company,'K AH M P AH N IY', s, IY
of,'AH V', s, 
men,'M EH N', s, 
myself,'M AY S EH L F', s, AY
was,'W AA Z', s, AA
from,'F R AH M', s, 
for,'F AO R', s, AO
to,'T UW', s, UW
steal,'S T IY L', s, IY
a,'AH', s, 
lady,'L EY D IY', s, EY IY
an,'AE N', s, AE
and,'AH N D', s, 
near,'N IY R', s, IY
allied,'AH L AY D', s, AY
unto,'AH N T UW', s, UW
the,'DH AH', s, 
what,'W AH T', s, 
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
be,'B IY', s, IY
of,'AH V', s, 
our,'OW R', s, 
consort,'K ǝ N S AO R T', s, AO
and,'AH N D', s, 
be,'B IY', s, IY
the,'DH AH', s, 
captain,'K AE P T AH N', s, AE
of,'AH V', s, 
us,'AH S', s, 
all,'AA L', s, AA
do,'D OW', s, 
thee,'DH IY', s, IY
and,'AH N D', s, 
be,'B IY', s, IY
by,'B AY', s, AY
thee,'DH IY', s, IY
thee,'DH IY', s, IY
as,'AE Z', s, AE
our,'OW R', s, 
commander,'K ǝ M AW N D ǝ R', s, 
and,'AH N D', s, 
our,'OW R', s, 
no,'N OW', s, 
we,'W IY', s, IY
detest,'D IH T EH S T', s, IH
practices,'P R AE K T AH S AH Z', s, AE
go,'G OW', s, 
with,'W IH DH', s, IH
us,'AH S', s, 
thee,'DH IY', s, IY
to,'T UW', s, UW
our,'OW R', s, 
and,'AH N D', s, 
thee,'DH IY', s, IY
all,'AA L', s, AA
the,'DH AH', s, 
we,'W IY', s, IY
got,'G AA T', s, AA
with,'W IH DH', s, IH
all,'AA L', s, AA
rest,'R EH S T', s, 
at,'AE T', s, AE
being,'B IY IH NG', s, IY IH
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
us,'AH S', s, 
but,'B AH T', s, 
and,'AH N D', s, 
him,'HH IH M', s, IH
go,'G OW', s, 
thou,'DH AW', s, 
with,'W IH DH', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
west,'W EH S T', s, 
end,'EH N D', s, 
of,'AH V', s, 
the,'DH AH', s, 
wood,'W UH D', s, UH
is,'IH Z', s, IH
our,'OW R', s, 
captain,'K AE P T AH N', s, AE
him,'HH IH M', s, IH
fled,'F L EH D', s, 
the,'DH AH', s, 
thicket,'TH IH K IH T', s, IH IH
is,'IH Z', s, IH
beset,'B IH S EH T', s, IH
he,'HH IY', s, IY
cannot,'K AE N AA T', s, AE AA
a,'AH', s, 
a,'AH', s, 
a,'AH', s, 
