Bassanio     BəˈSAA:NIHOW: [3 SyLLS] 
Bassanio’s     BəˈSAA:NIHOW: [3 SyLLS] Z
Belarius     BIHˈLAWrIHəS [3 SyLLS]
Bentii     ˈBeNTIHIY: [3 SyLLS]
Emillius     eˈMIHLIHǝS [3 SyLLS]
barbarism    ˈBAA:RBəˌrIHZM [3 SyLLS]
bounteous     ˈBəUHNTIHəS [2 SyLLS]
contente [Pistol H4 2.4.176]     KɒNˈTeNTe:
moys [Pistol misunderstanding of moi, H5 4.4.13ff]     MǝIH Z
piteously    ˈPIHTIHǝSˌLǝIH [3 SyLLS]
plenteous     ˈPLeNTIHǝS [2 SyLLS]
qualtitie calmie custure me [Pistol H5 4.4.4]     ˈKAWLTIHTIY: ˈKAO:MIY: KUHˈSTUW:re: ˈMe:
tormente [Pistol H4 2.4.176]     TAO:RˈMEH:NTEH:
