Epidamium     ˌePIHˈDAWMIHǝM
Jeronimy     DZHǝˈrɒNIHMǝIH
enclog     =
fettle     =
pond     =
returned    rIHˈTɐ:RNIHD
surety     ˈSHUW:RTǝIH
twilled    ˈTWIHLIHD
type    TǝIHP
uprightness    ɤPˈrǝIHTNǝS
- ton     TAÕ
Amyntas     ǝˈMIHNTǝS
Antiopa    AWNˈTǝIHǝˌPAW
Arc     AA:RK
Ascanius     ǝˈSKEH::NIHǝS
Castiliano     ˌKAWSTIHLIHˈAA:NOW:
Cornwall     ˈKAO:RNWAA:L
Emillius     eˈMIHLIHǝS 
Isabel    ˈIHZBeL
Luccicos     ˈLUW:TSHIHKǝS
Martext     ˈMAA:RTeKST
Othello    ǝˈTHeLOW:
PP ~s     = 
Shylock    ˈSHǝIHLɒK
Somervile    ˈSɤMǝRˌVIHL
a-making     ǝˈMEH::KIHN
abhorring    ǝˈBAO:RIHN
acquittance     =
affirm     ǝˈFɐ:RM
aglet-baby     ˈAWɡLIHT-ˌBEH::BǝIH
apish     ˈEH::PIHSH
appeared    ǝˈPIY:RD
ashes     = 
attainted    ǝˈTEH::NTIHD
attraction     ǝˈTrAWKSIHǝN
bankrupts    ˈBAWNGKrUW:TS
barn    BAA:RN
bate     BEH::T
beggest    =ST
bladders    ˈBLAWDəRZ
blasted    BLAWSTIHD
blowze     BLəUHZ
boon     =
borrow    ˈBɒrə
bossed     = 
bounded    BəUHNDZIHD
brach     BrAWTSH
buttock    ˈBɤTəK
carlot     ˈKAA:RLǝT
caused     = 
cherry-pit     ˈTSHerǝIH-ˌPIHT
choke    TSHOW:K
cloy    KLǝIH
colossus     =
commending     KǝˈMeNDIHN
contumeliously    ˌKɒNTYǝˈMIY:LIHǝSˌLǝIH
convinced    KǝNˈVIHNSIHD
corporate     ˈKAO:RPrǝT
counsel    ˈKǝUHNSǝL
crazed    KrEH::ZD
cuckold-maker     ˈKɤKǝLD-ˌMEH::KǝR
cull     KɤL 
deliver    DIHˈLIHVǝR
derived    DIHˈrǝIHVD
desired    DIHˈZǝIHRD
disclose     DIHSˈKLOW:Z
discolours    DIHSˈKɤLǝRZ
disdainfully     DIHSˈDEH::NFLǝIH
distemperature    DIHSˈTeMPrǝTǝR
distributed     = 
divorced    DIHˈVAO:RSIHD
docks     = 
drone    DrOW:N
dubbed    DɤBD
emphasis    ˈeMFǝˌSIHS
endue    eNˈDYUW:
enduring    eNˈDYUW:RIHN
espy    IHˈSPǝIH
ess     =
exhale    eKˈSEH::L
extorted     IHKˈSTAO:RTIHD
extract     = 
foisons    ˈFǝIHZǝNZ
fordone    FǝRˈDUW:ˈDɤN
frolic     =
furnace-burning     ˈFɐ:RNǝS-ˈBɐ:RNIHN
goblins     = 
grace    GrEH::S
