play,character,phoneme,zscore,numlines
1H4,Archbishop,AA,0.3766020997690049,2862
1H4,Archbishop,AE,-2.3200764674940877,2862
1H4,Archbishop,AH,1.7533103070997724,2862
1H4,Archbishop,AO,0.3088119743510567,2862
1H4,Archbishop,AW,0.11240005035832057,2862
1H4,Archbishop,AY,-1.0711477023010743,2862
1H4,Archbishop,B,-1.5118645242273008,2862
1H4,Archbishop,CH,-1.632874479479477,2862
1H4,Archbishop,D,-0.06084545657131685,2862
1H4,Archbishop,DH,1.0860334633882203,2862
1H4,Archbishop,EH,0.6655839739838062,2862
1H4,Archbishop,ER,0.7793037659728759,2862
1H4,Archbishop,EY,-0.7178250119605966,2862
1H4,Archbishop,F,0.3058913294877949,2862
1H4,Archbishop,G,-0.40337690483147964,2862
1H4,Archbishop,HH,-0.7467948275042128,2862
1H4,Archbishop,IH,0.37128973240872715,2862
1H4,Archbishop,IY,-1.5969940699404919,2862
1H4,Archbishop,JH,-0.1136000287353818,2862
1H4,Archbishop,K,-0.07963214507373867,2862
1H4,Archbishop,L,-3.435493726935298,2862
1H4,Archbishop,M,1.2413008325694002,2862
1H4,Archbishop,N,0.4275710236652272,2862
1H4,Archbishop,NG,0.510038879079145,2862
1H4,Archbishop,OW,0.6516099721049157,2862
1H4,Archbishop,OY,-0.6414104430050894,2862
1H4,Archbishop,P,0.6276412343595034,2862
1H4,Archbishop,R,1.009656780346994,2862
1H4,Archbishop,S,1.8854851975097586,2862
1H4,Archbishop,SH,-1.7214114707577353,2862
1H4,Archbishop,T,0.37873688568805663,2862
1H4,Archbishop,TH,-0.15904814169115794,2862
1H4,Archbishop,UH,-1.0692804413185077,2862
1H4,Archbishop,UW,0.7947945406585118,2862
1H4,Archbishop,V,-0.7080033031912422,2862
1H4,Archbishop,W,0.6423370286997593,2862
1H4,Archbishop,Y,-1.0518921581316458,2862
1H4,Archbishop,Z,0.04458992497410962,2862
1H4,Archbishop,ZH,-1.0718024229773868,2862
1H4,Bardolph,AA,2.258670772712913,2124
1H4,Bardolph,AE,-0.6446707768094839,2124
1H4,Bardolph,AH,0.16028361421853116,2124
1H4,Bardolph,AO,1.0033347215589223,2124
1H4,Bardolph,AW,-1.9786488005538918,2124
1H4,Bardolph,AY,0.9832648361287197,2124
1H4,Bardolph,B,0.12322857977458077,2124
1H4,Bardolph,CH,-1.632874479479477,2124
1H4,Bardolph,D,0.39456887211776,2124
1H4,Bardolph,DH,-0.8798530188559868,2124
1H4,Bardolph,EH,0.8754806568290675,2124
1H4,Bardolph,ER,-0.2312292866046105,2124
1H4,Bardolph,EY,0.499486921288446,2124
1H4,Bardolph,F,0.33515578374816485,2124
1H4,Bardolph,G,-1.248414402360611,2124
1H4,Bardolph,HH,-2.698814180130889,2124
1H4,Bardolph,IH,-2.1602882405621693,2124
1H4,Bardolph,IY,-1.3113472466403913,2124
1H4,Bardolph,JH,3.916202995050227,2124
1H4,Bardolph,K,-1.066297703630173,2124
1H4,Bardolph,L,-0.22482840901913662,2124
1H4,Bardolph,M,1.1041999196040797,2124
1H4,Bardolph,N,1.1536686000335674,2124
1H4,Bardolph,NG,-0.24374057298843152,2124
1H4,Bardolph,OW,0.6782194681627857,2124
1H4,Bardolph,OY,-0.6414104430050894,2124
1H4,Bardolph,P,-1.271978483481511,2124
1H4,Bardolph,R,0.22396662596769945,2124
1H4,Bardolph,S,1.0497744698863067,2124
1H4,Bardolph,SH,0.3372476146389477,2124
1H4,Bardolph,T,-0.35464020345652625,2124
1H4,Bardolph,TH,-0.901046007405709,2124
1H4,Bardolph,UH,-1.695078634295704,2124
1H4,Bardolph,UW,1.9933978914574861,2124
1H4,Bardolph,V,-1.1798383645626709,2124
1H4,Bardolph,W,0.8990821959466019,2124
1H4,Bardolph,Y,2.1108694714800427,2124
1H4,Bardolph,Z,-0.025430138285547445,2124
1H4,Bardolph,ZH,-1.0718024229773868,2124
1H4,Bedford,AA,1.4674166099189518,714
1H4,Bedford,AE,1.6428515034779922,714
1H4,Bedford,AH,-4.276557607052122,714
1H4,Bedford,AO,1.7104530692937483,714
1H4,Bedford,AW,-1.4720598896909072,714
1H4,Bedford,AY,1.4294011940496414,714
1H4,Bedford,B,-0.7990963577549401,714
1H4,Bedford,CH,-1.632874479479477,714
1H4,Bedford,D,2.282777345715329,714
1H4,Bedford,DH,0.27790901048944344,714
1H4,Bedford,EH,-1.2058070125399631,714
1H4,Bedford,ER,-0.8627306366419267,714
1H4,Bedford,EY,1.336629603805772,714
1H4,Bedford,F,0.21302320585228532,714
1H4,Bedford,G,2.278273882125127,714
1H4,Bedford,HH,-0.6384141379379594,714
1H4,Bedford,IH,-0.206321394455587,714
1H4,Bedford,IY,2.5634319379854684,714
1H4,Bedford,JH,-1.4817891815234456,714
1H4,Bedford,K,1.981585458535211,714
1H4,Bedford,L,1.6303004381921227,714
1H4,Bedford,M,-0.4508853298093727,714
1H4,Bedford,N,-3.5579245706705183,714
1H4,Bedford,NG,1.3710077901865854,714
1H4,Bedford,OW,-2.883836967809473,714
1H4,Bedford,OY,-0.6414104430050894,714
1H4,Bedford,P,-4.290110534398987,714
1H4,Bedford,R,0.32104727120036664,714
1H4,Bedford,S,0.41618155426935766,714
1H4,Bedford,SH,-0.7435465103275117,714
1H4,Bedford,T,2.0009173606879074,714
1H4,Bedford,TH,-0.06511208794378184,714
1H4,Bedford,UH,-2.896744313363618,714
1H4,Bedford,UW,1.0031762249778866,714
1H4,Bedford,V,-0.5420434923882425,714
1H4,Bedford,W,1.8844153304272575,714
1H4,Bedford,Y,-0.3331200067728553,714
1H4,Bedford,Z,-0.8027418833227531,714
1H4,Bedford,ZH,4.6531982256564755,714
1H4,Blunt,AA,0.14980651615763763,3321
1H4,Blunt,AE,0.9319329874204986,3321
1H4,Blunt,AH,1.1479072997371824,3321
1H4,Blunt,AO,-0.3712013447690619,3321
1H4,Blunt,AW,0.7956974893717801,3321
1H4,Blunt,AY,-0.8913491355338407,3321
1H4,Blunt,B,-0.7238458641768917,3321
1H4,Blunt,CH,0.607130746620698,3321
1H4,Blunt,D,1.3764977038755966,3321
1H4,Blunt,DH,0.5266646222862401,3321
1H4,Blunt,EH,1.0866872025964531,3321
1H4,Blunt,ER,-0.8112078095428377,3321
1H4,Blunt,EY,0.211818411082797,3321
1H4,Blunt,F,-0.4546318032449147,3321
1H4,Blunt,G,0.9853659845176523,3321
1H4,Blunt,HH,-0.7605688288228258,3321
1H4,Blunt,IH,-0.6776288836745666,3321
1H4,Blunt,IY,-0.7247692049888246,3321
1H4,Blunt,JH,0.8507552536902073,3321
1H4,Blunt,K,-0.5042684056104498,3321
1H4,Blunt,L,-0.3974246977847952,3321
1H4,Blunt,M,-1.374290201730367,3321
1H4,Blunt,N,-0.34223415159153847,3321
1H4,Blunt,NG,0.8106351574693528,3321
1H4,Blunt,OW,-1.6846096518174154,3321
1H4,Blunt,OY,-0.6414104430050894,3321
1H4,Blunt,P,0.46081313421507936,3321
1H4,Blunt,R,0.45628855280028463,3321
1H4,Blunt,S,1.5839804005135474,3321
1H4,Blunt,SH,0.44692529023342814,3321
1H4,Blunt,T,1.5055809072383732,3321
1H4,Blunt,TH,0.44468601059500906,3321
1H4,Blunt,UH,-0.1706515125029367,3321
1H4,Blunt,UW,0.08542753185780666,3321
1H4,Blunt,V,-0.45716298466703775,3321
1H4,Blunt,W,-1.3453272852179436,3321
1H4,Blunt,Y,0.25417924665431924,3321
1H4,Blunt,Z,-1.8040885480488025,3321
1H4,Blunt,ZH,-1.0718024229773868,3321
1H4,Chamberlain,AA,0.40735005729127816,1575
1H4,Chamberlain,AE,3.0648558458325916,1575
1H4,Chamberlain,AH,0.22084082445089673,1575
1H4,Chamberlain,AO,0.628189414689846,1575
1H4,Chamberlain,AW,-0.03384672175667561,1575
1H4,Chamberlain,AY,0.11075837542078526,1575
1H4,Chamberlain,B,-0.9529292629389554,1575
1H4,Chamberlain,CH,-1.632874479479477,1575
1H4,Chamberlain,D,-1.3929355420482605,1575
1H4,Chamberlain,DH,-0.03267965467953112,1575
1H4,Chamberlain,EH,-0.868779251933786,1575
1H4,Chamberlain,ER,-1.2993587864605884,1575
1H4,Chamberlain,EY,1.4347869374382012,1575
