feature,count
linguaalveolar,75
linguapalatal,13
fricative,45
nonsonorant,84
glide,4
affricate,3
voiceless,40
liquid,24
nasal,22
labiodental,12
bilabial,15
stop,36
linguavelar,4
coronal,80
glottal,3
sonorant,50
nonsibilant,116
voiced,94
sibilant,18
noncoronal,54
linguadental,12
