feature,count
linguaalveolar,173
linguapalatal,22
fricative,128
nonsonorant,229
glide,19
affricate,11
voiceless,124
liquid,38
nasal,71
labiodental,26
bilabial,69
stop,90
linguavelar,16
coronal,185
glottal,17
sonorant,128
nonsibilant,306
voiced,233
sibilant,51
noncoronal,172
linguadental,34
