feature,count
linguaalveolar,62
linguapalatal,13
fricative,35
nonsonorant,77
glide,7
affricate,2
voiceless,44
liquid,19
nasal,26
labiodental,12
bilabial,22
stop,40
linguavelar,11
coronal,65
glottal,4
sonorant,52
nonsibilant,115
voiced,85
sibilant,14
noncoronal,64
linguadental,5
