feature,count
linguaalveolar,108
linguapalatal,27
fricative,68
nonsonorant,122
glide,28
affricate,3
voiceless,78
liquid,23
nasal,44
labiodental,16
bilabial,37
stop,51
linguavelar,12
coronal,104
glottal,10
sonorant,95
nonsibilant,182
voiced,139
sibilant,35
noncoronal,113
linguadental,7
