feature,count
linguaalveolar,1057
linguapalatal,281
fricative,650
nonsonorant,1324
glide,138
affricate,27
voiceless,782
liquid,335
nasal,402
labiodental,158
bilabial,336
stop,647
linguavelar,136
coronal,1138
glottal,116
sonorant,875
nonsibilant,1938
voiced,1417
sibilant,261
noncoronal,1061
linguadental,115
