feature,count
linguaalveolar,1571
linguapalatal,316
fricative,914
nonsonorant,1872
glide,143
affricate,65
voiceless,1022
liquid,487
nasal,500
labiodental,198
bilabial,414
stop,893
linguavelar,209
coronal,1704
glottal,87
sonorant,1130
nonsibilant,2580
voiced,1980
sibilant,422
noncoronal,1298
linguadental,207
