feature,count
linguaalveolar,2062
linguapalatal,406
fricative,1231
nonsonorant,2497
glide,206
affricate,69
voiceless,1463
liquid,543
nasal,707
labiodental,237
bilabial,590
stop,1197
linguavelar,253
coronal,2182
glottal,172
sonorant,1456
nonsibilant,3364
voiced,2490
sibilant,589
noncoronal,1771
linguadental,233
