feature,count
linguaalveolar,41
linguapalatal,2
fricative,26
nonsonorant,46
glide,3
affricate,1
voiceless,27
liquid,11
nasal,16
labiodental,8
bilabial,11
stop,19
linguavelar,6
coronal,39
glottal,4
sonorant,30
nonsibilant,66
voiced,49
sibilant,10
noncoronal,37
linguadental,4
