feature,count
linguaalveolar,1947
linguapalatal,384
fricative,1209
nonsonorant,2486
glide,210
affricate,50
voiceless,1455
liquid,511
nasal,761
labiodental,210
bilabial,698
stop,1227
linguavelar,244
coronal,2118
glottal,228
sonorant,1482
nonsibilant,3454
voiced,2513
sibilant,514
noncoronal,1850
linguadental,257
