feature,count
linguaalveolar,26
linguapalatal,8
fricative,9
nonsonorant,30
glide,3
affricate,0
voiceless,18
liquid,9
nasal,9
labiodental,0
bilabial,9
stop,21
linguavelar,5
coronal,29
glottal,2
sonorant,21
nonsibilant,45
voiced,33
sibilant,6
noncoronal,22
linguadental,1
